Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,ori_l,ori_theta,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35302214566258555,5.355441434348963,0.084702647239985,4.933216026615867e-15,14.921050640367124,0.3278307806531444,2.6126272105984274e-16,a279b471,-5.2252544211968545e-15,672.7,6.1,32.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35302214566258555,5.355441434348963,0.084702647239985,5.097977101721707e-15,14.921050640367124,0.3278307806531444,2.6126272105984274e-16,a279b471,-5.2252544211968545e-15,672.7,6.1,32.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35302214566258555,5.355441434348963,0.084702647239985,5.218938395630701e-15,14.921050640367124,0.3278307806531444,2.6126272105984274e-16,a279b471,-5.2252544211968545e-15,672.7,6.1,32.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30644495025055096,5.644852884644427,-0.3080721873191723,2.178265326801882e-14,16.499558371151934,0.36013783441714936,1.2137366127877574e-15,bf6c8579,-2.427473225575515e-14,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30644495025055096,5.644852884644427,-0.3080721873191723,2.1443622574112973e-14,16.499558371151934,0.36013783441714936,1.2137366127877574e-15,bf6c8579,-2.427473225575515e-14,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30644495025055096,5.644852884644427,-0.3080721873191723,2.1332379305995794e-14,16.499558371151934,0.36013783441714936,1.2137366127877574e-15,bf6c8579,-2.427473225575515e-14,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30644495025055096,5.644852884644427,-0.3080721873191723,2.1368913332586763e-14,16.499558371151934,0.36013783441714936,1.2137366127877574e-15,bf6c8579,-2.427473225575515e-14,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30644495025055096,5.644852884644427,-0.3080721873191723,2.2635650041405516e-14,16.499558371151934,0.36013783441714936,1.2137366127877574e-15,bf6c8579,-2.427473225575515e-14,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3227230278543127,4.408358411743686,0.05893827390431716,1.1947515137795932e-14,15.961356912699626,0.34910589764356525,6.433074042129119e-16,6ee5676d,-1.2866148084258239e-14,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3227230278543127,4.408358411743686,0.05893827390431716,1.1829710414442754e-14,15.961356912699626,0.34910589764356525,6.433074042129119e-16,6ee5676d,-1.2866148084258239e-14,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3227230278543127,4.408358411743686,0.05893827390431716,1.1669875044741573e-14,15.961356912699626,0.34910589764356525,6.433074042129119e-16,6ee5676d,-1.2866148084258239e-14,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3227230278543127,4.408358411743686,0.05893827390431716,1.2115699327450365e-14,15.961356912699626,0.34910589764356525,6.433074042129119e-16,6ee5676d,-1.2866148084258239e-14,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3227230278543127,4.408358411743686,0.05893827390431716,1.258342848018129e-14,15.961356912699626,0.34910589764356525,6.433074042129119e-16,6ee5676d,-1.2866148084258239e-14,518.7,3.8,29.2
