Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000004539709516,0.05886781762707017,10.608125462027875,0.26923940982809885,0.17522456648128062,669ce02b,710.2,2.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3001351793550435,0.04977233835777308,10.614927643420247,0.26934001055189966,0.17594532716657363,b7328430,717.4,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3001351793550435,0.056950317157953914,10.614927643420247,0.26934001055189966,0.17594532716657363,b7328430,717.4,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3001351793550435,0.05802839704395231,10.614927643420247,0.26934001055189966,0.17594532716657363,b7328430,717.4,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3001351793550435,0.05773225812532996,10.614927643420247,0.26934001055189966,0.17594532716657363,b7328430,717.4,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3001351793550435,0.05847927284118726,10.614927643420247,0.26934001055189966,0.17594532716657363,b7328430,717.4,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000193430326855,0.056096359054135854,10.608717783276914,0.26925351043472046,0.1752051606221571,c2f0b651,714.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000193430326855,0.057785673683632625,10.608717783276914,0.26925351043472046,0.1752051606221571,c2f0b651,714.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000193430326855,0.0582115309848656,10.608717783276914,0.26925351043472046,0.1752051606221571,c2f0b651,714.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000193430326855,0.05799221387219192,10.608717783276914,0.26925351043472046,0.1752051606221571,c2f0b651,714.7,2.4,10.0
