thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3205817634434413,5,1.6199345525741524,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3254582936277172,1,1.3951112493521833,570.6,3.3,19.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30372418966356185,7,1.3237694978935606,568.5,3.3,20.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30078232054892945,0,1.2024457761142107,586.3,1.6,18.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3117491648045774,5,1.193489022709926,377.7,2.2,16.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30522238037868493,1,1.0334754019589392,537.4,2.4,13.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3005121916273237,5,1.0949846004907426,552.6,3.7,15.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3006366021398946,5,0.9825142944525291,662.6,3.0,13.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30396566126847685,6,0.9126620909388001,590.0,3.5,10.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3002497711520511,6,0.8646490410789385,533.8,4.0,10.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30187161455934053,2,0.8977746471659334,373.5,4.2,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.300305844577679,6,0.8688790668031023,522.1,6.0,10.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3001344531237392,4,0.8560933932633747,418.4,6.1,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000041468572788,7,0.8655468837546016,328.9,4.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30328773448351426,3,0.8839263983341534,351.6,5.7,10.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000010758565656,3,0.8756798554035474,157.7,6.4,10.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000000746090398,3,0.8680912735690569,281.4,5.9,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3012178557044428,5,0.4973655634173024,54.9,8.0,10.1
