thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3205817634434413,5,0.2807498061316549,468.6,4.1,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30051121372689865,5,0.06040890230445539,489.8,3.9,26.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30008544670409104,1,-0.6177593688940353,582.4,4.3,10.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3020438687283451,1,-0.6039701100632233,764.5,4.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.304849526524074,4,-0.5001040789536084,789.3,2.9,11.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000269162942804,6,-0.5525186461082945,612.5,3.4,12.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30002418021233707,3,-0.6294482719380223,619.7,1.5,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3007274723609903,2,-0.619188925547224,756.4,1.7,10.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3009646317138705,3,-0.6060996511301782,749.0,3.5,10.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30327035013584813,6,-0.599367273172501,678.2,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30013446044656394,2,-0.6231280410813391,765.4,3.8,10.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.300144182135167,2,-0.6195335869218845,799.8,3.2,10.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000954514110594,4,-0.6054895071485267,723.5,3.9,10.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3031582423743272,0,-0.6024171308802218,689.8,3.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30072468377268513,2,-0.6281361437403672,686.6,3.2,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30002639981733387,7,-0.6481561233867823,711.1,2.9,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3001395094837672,4,-0.6417482002601154,678.6,3.0,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000895675720698,2,-0.6464648959570956,709.9,2.9,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30024556306269967,2,-0.6389090650163145,743.1,2.3,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000430961450677,0,-0.6477092055051772,769.6,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000652393874254,7,-0.647116383721237,748.0,2.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000224416145816,4,-0.648262069465702,753.5,2.2,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30003116994521967,4,-0.6480284427285619,741.9,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000266659297787,5,-0.6481490005005304,753.9,2.9,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30004013361519494,2,-0.6477885075579941,755.7,2.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000333543233109,7,-0.6479699732171609,768.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000351091910975,4,-0.6479230000571414,741.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.30003551630287106,0,-0.6479121027027555,754.9,2.2,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000214880752977,0,-0.6482875918240638,751.3,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000315863009978,0,-0.648017298126137,755.6,2.4,10.0
