iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
1 , 8.2 , 0.5 , 0.5 , 80 , 56 , 28 , 192 , 164 , 4 , 6.086 , 17.764 , 27.932 , 17.764 , 27.932 , 1.66 , 0.929 , 61.991 , -0.07472579420858627 , 37.344 , 0.149 , 134.79587134900035
2 , 8.2 , 0.5 , 0.5 , 80 , 56 , 28 , 192 , 164 , 4 , 6.086 , 17.764 , 27.932 , 17.764 , 27.932 , 1.66 , 0.929 , 61.991 , -0.07472579420858627 , 37.344 , 0.149 , 134.79587134900035
2 , 8.2 , 0.5 , 0.5 , 80 , 56 , 28 , 192 , 164 , 4 , 6.086 , 17.764 , 27.932 , 17.764 , 27.932 , 1.66 , 0.929 , 61.991 , -0.07472579420858627 , 37.344 , 0.149 , 134.79587134900035
2 , 8.2 , 0.5 , 0.5 , 80 , 56 , 28 , 192 , 164 , 4 , 6.086 , 17.764 , 27.932 , 17.764 , 27.932 , 1.66 , 0.929 , 61.991 , -0.07472579420858627 , 37.344 , 0.149 , 134.79587134900035
4 , 8.2 , 0.5 , 0.5 , 80 , 56 , 28 , 192 , 164 , 4 , 6.086 , 17.764 , 27.932 , 17.764 , 27.932 , 1.66 , 0.929 , 61.991 , -0.07472579420858627 , 37.344 , 0.149 , 134.79587134900035
3 , 8.333333333333334 , 0.5 , 0.5 , 72 , 60 , 28 , 192 , 160 , 4 , 6.857 , 17.924 , 29.074 , 17.924 , 29.074 , 1.653 , 0.934 , 62.999 , -0.08058086515771867 , 38.112 , 0.149 , 136.09803993882687
4 , 8.421052631578947 , 0.5 , 0.5 , 76 , 56 , 28 , 188 , 160 , 4 , 6.461 , 18.689 , 29.38 , 18.689 , 29.38 , 1.663 , 0.928 , 63.662 , -0.0732121828039175 , 38.281 , 0.149 , 137.16839015153158
5 , 8.46031746031746 , 0.5 , 0.5 , 84 , 52 , 28 , 188 , 164 , 4 , 5.769 , 18.994 , 28.819 , 18.994 , 28.819 , 1.679 , 0.921 , 63.959 , -0.06271717055038628 , 38.094 , 0.149 , 136.91283057025888
4 , 8.602941176470589 , 0.5 , 0.5 , 68 , 60 , 28 , 188 , 156 , 4 , 7.321 , 18.969 , 30.759 , 18.969 , 30.759 , 1.64 , 0.934 , 65.037 , -0.08423794669416784 , 39.657 , 0.134 , 138.82755560057072
3 , 8.666666666666666 , 0.5 , 0.5 , 64 , 64 , 28 , 192 , 156 , 4 , 7.823 , 18.581 , 30.987 , 18.581 , 30.987 , 1.639 , 0.938 , 65.519 , -0.08784931536546625 , 39.975 , 0.134 , 138.66737617165515
4 , 8.765217391304347 , 0.5 , 0.5 , 92 , 48 , 28 , 188 , 168 , 4 , 5.218 , 20.037 , 29.168 , 20.037 , 29.168 , 1.711 , 0.909 , 66.264 , -0.0448676993829088 , 38.728 , 0.149 , 138.305149407703
