iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
3 , 22.5625 , 0.5 , 0.5 , 24 , 57 , 33 , 138 , 114 , 3 , 10.867 , 29.547 , 41.74 , 29.547 , 41.74 , 0.864 , 0.898 , 51.709 , -0.31670774046107975 , 59.848 , 0.05 , 136.2877218195745
4 , 22.666666666666668 , 0.6 , 0.6 , 24 , 48 , 30 , 120 , 102 , 3 , 7.612 , 24.214 , 33.363 , 24.214 , 33.363 , 0.818 , 0.878 , 51.948 , -0.3180019354552209 , 63.506 , 0.05 , 122.57737567728077
3 , 22.77777777777778 , 0.5 , 0.5 , 27 , 60 , 36 , 147 , 123 , 3 , 9.232 , 27.886 , 38.193 , 27.886 , 38.193 , 0.867 , 0.901 , 52.203 , -0.3178569072196728 , 60.211 , 0.05 , 131.07886183582727
2 , 22.857142857142858 , 0.5 , 0.5 , 21 , 66 , 33 , 153 , 120 , 3 , 12.965 , 26.59 , 40.268 , 26.59 , 40.268 , 0.867 , 0.912 , 52.385 , -0.32490979573941675 , 60.421 , 0.05 , 131.85783442437008
3 , 23.0 , 0.5 , 0.5 , 40 , 46 , 34 , 132 , 120 , 4 , 4.187 , 24.43 , 30.114 , 24.43 , 30.114 , 0.824 , 0.851 , 52.712 , -0.29815692888114154 , 63.971 , 0.05 , 119.54404942060975
8 , 23.142857142857142 , 0.5 , 0.5 , 42 , 54 , 39 , 150 , 135 , 3 , 5.212 , 28.212 , 34.733 , 28.212 , 34.733 , 0.923 , 0.874 , 53.04 , -0.2809389082682822 , 57.465 , 0.081 , 129.944690678017
5 , 23.22222222222222 , 0.5 , 0.5 , 36 , 57 , 39 , 150 , 132 , 3 , 6.315 , 28.097 , 35.613 , 28.097 , 35.613 , 0.921 , 0.887 , 53.221 , -0.2903517154922759 , 57.786 , 0.081 , 130.71008031563443
3 , 23.296296296296298 , 0.5 , 0.5 , 27 , 51 , 33 , 129 , 111 , 3 , 9.304 , 33.138 , 44.204 , 33.138 , 44.204 , 0.864 , 0.881 , 53.391 , -0.30491140998818916 , 61.795 , 0.038 , 142.34251648029692
2 , 23.4 , 0.5 , 0.5 , 21 , 63 , 33 , 147 , 117 , 3 , 12.992 , 28.5 , 42.232 , 28.5 , 42.232 , 0.876 , 0.907 , 53.629 , -0.31878531732284676 , 61.22 , 0.05 , 135.73189986560902
4 , 23.5 , 0.5 , 0.5 , 51 , 51 , 39 , 153 , 141 , 3 , 4.142 , 28.371 , 33.823 , 28.371 , 33.823 , 0.968 , 0.855 , 53.858 , -0.25329497683134866 , 55.638 , 0.103 , 130.1941432508546
3 , 23.591836734693878 , 0.6 , 0.6 , 21 , 51 , 30 , 123 , 102 , 3 , 9.114 , 24.407 , 34.725 , 24.407 , 34.725 , 0.829 , 0.885 , 54.069 , -0.31953773158101656 , 65.222 , 0.05 , 124.13139952312065
4 , 23.68 , 0.5 , 0.5 , 30 , 48 , 33 , 126 , 111 , 3 , 8.096 , 34.835 , 44.932 , 34.835 , 44.932 , 0.873 , 0.867 , 54.271 , -0.29300602437700374 , 62.166 , 0.038 , 144.76702937720688
