Thigh,Calf,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.09,0.16,0,1000000.0,-1000000.0,0,ea15e33d,350000.0,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,ea15e33d,350000.0,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,ea15e33d,350000.0,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,ea15e33d,350000.0,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,ea15e33d,350000.0,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,f6a524db,350000.0,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,f6a524db,350000.0,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,f6a524db,350000.0,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,f6a524db,350000.0,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,f6a524db,350000.0,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,11925d14,350000.0,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,11925d14,350000.0,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,11925d14,350000.0,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,11925d14,350000.0,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,11925d14,350000.0,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,7f5ce5e2,350000.0,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,7f5ce5e2,350000.0,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,7f5ce5e2,350000.0,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,7f5ce5e2,350000.0,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,7f5ce5e2,350000.0,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,86766182,350000.0,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,86766182,350000.0,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,86766182,350000.0,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,86766182,350000.0,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,86766182,350000.0,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,282b03b4,350000.0,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,282b03b4,350000.0,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,282b03b4,350000.0,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,282b03b4,350000.0,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,282b03b4,350000.0,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,169dfc01,350000.0,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,169dfc01,350000.0,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,169dfc01,350000.0,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,169dfc01,350000.0,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,169dfc01,350000.0,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,24b82869,350000.0,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,24b82869,350000.0,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,24b82869,350000.0,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,24b82869,350000.0,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,24b82869,350000.0,3996.4,5.6,251.9
