Thigh,Calf,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.09,0.16,0,1000000.0,-1000000.0,0,b7327dc9,319999.99999999994,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,b7327dc9,319999.99999999994,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,b7327dc9,319999.99999999994,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,b7327dc9,319999.99999999994,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,b7327dc9,319999.99999999994,5171.8,3.8,290.0
0.09,0.16,0,1000000.0,-1000000.0,0,de4d7e5e,319999.99999999994,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,de4d7e5e,319999.99999999994,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,de4d7e5e,319999.99999999994,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,de4d7e5e,319999.99999999994,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,de4d7e5e,319999.99999999994,4803.3,6.2,391.0
0.09,0.16,0,1000000.0,-1000000.0,0,094ae91f,319999.99999999994,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,094ae91f,319999.99999999994,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,094ae91f,319999.99999999994,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,094ae91f,319999.99999999994,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,094ae91f,319999.99999999994,3996.4,5.6,251.9
0.09,0.16,0,1000000.0,-1000000.0,0,5cd33595,319999.99999999994,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,5cd33595,319999.99999999994,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,5cd33595,319999.99999999994,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,5cd33595,319999.99999999994,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,5cd33595,319999.99999999994,4595.3,4.4,309.2
0.09,0.16,0,1000000.0,-1000000.0,0,569a2bf6,319999.99999999994,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,569a2bf6,319999.99999999994,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,569a2bf6,319999.99999999994,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,569a2bf6,319999.99999999994,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,569a2bf6,319999.99999999994,5939.0,4.7,419.1
0.09,0.16,0,1000000.0,-1000000.0,0,9f38022e,319999.99999999994,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,9f38022e,319999.99999999994,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,9f38022e,319999.99999999994,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,9f38022e,319999.99999999994,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,9f38022e,319999.99999999994,5249.2,5.1,377.5
0.09,0.16,0,1000000.0,-1000000.0,0,abf4d439,319999.99999999994,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,abf4d439,319999.99999999994,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,abf4d439,319999.99999999994,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,abf4d439,319999.99999999994,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,abf4d439,319999.99999999994,5143.0,5.6,218.4
0.09,0.16,0,1000000.0,-1000000.0,0,f271cbd6,319999.99999999994,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,f271cbd6,319999.99999999994,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,f271cbd6,319999.99999999994,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,f271cbd6,319999.99999999994,4647.4,4.1,279.3
0.09,0.16,0,1000000.0,-1000000.0,0,f271cbd6,319999.99999999994,4647.4,4.1,279.3
