thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,best_cost,ac1,ac2,ac3
0.25025516633412326,0.2737813059828765,MN8014,VT8020,7.608550657008344,4.463102590733637,CPG,CPG,0.0992640611514653,0.3072048638694103,5.789378548371921,-0.589921041161717,5,4.74854292337407,417.3,5.9,29.2
0.2662554346992033,0.23543774506675835,U12,MN8014,7.092524224927602,4.093753142446193,CPG,SSPG,0.10287492263932244,0.3353843684340213,7.4480508444901705,-0.45541760744155146,5,6.686390428638299,416.5,5.8,20.1
0.2638130380567958,0.25902179700938344,MN8014,VT8020,7.903188791920609,4.261902716072808,CPG,CPG,0.10131320076373712,0.33590486902760763,8.409948116636649,-0.6517284582210254,4,4.328751996365428,505.8,6.4,22.3
0.25182713236758525,0.23045390163253354,MN8014,MN8014,4.2604864801045945,7.4590893383564865,CPG,CPG,0.123121510367964,0.30103256884584817,6.577582601191989,-0.783559761930942,6,4.463123639229281,420.4,4.7,19.3
0.24517541363420114,0.23629552837857765,U12,VT8020,4.714182642079989,4.202420427226716,CPG,CPG,0.10589872945421717,0.3000640757656053,5.200376990804797,-0.7883990829438182,5,5.307590875024603,488.6,4.9,24.5
0.22547327420918792,0.20615301677097503,MN8014,VT8020,4.073336143572672,4.471055660363819,SSPG,CPG,0.09846713568853754,0.32480471397547844,5.573742046549118,-1.2693082845134094,1,4.859390776169638,688.9,4.9,26.1
0.2584932851469151,0.22392378849212177,MN8014,VT8020,4.142948896015601,4.185178509858775,SSPG,CPG,0.09922002697441497,0.33158440499471364,6.426375027226241,-0.9110618299676625,7,3.8930805998323983,516.6,4.7,24.3
0.2612623267110796,0.199847993593625,MN8014,VT8020,4.8066018844699325,4.513025949347546,SSPG,CPG,0.10027712912541811,0.343702448848219,5.855378686883092,-1.154157775111913,4,3.5749297284037134,584.0,4.2,31.0
0.24080144051171273,0.20244190087545136,MN8014,MAD_M6C12,4.001699328463821,4.17140608441733,SSPG,CPG,0.10696247483477742,0.3349804560738994,7.6031058313980315,-0.7539726655297353,5,1.339786492680442,390.0,4.5,32.4
0.2845865491095911,0.24706717602777242,MN8014,MAD_M6C12,5.254132416024669,5.774106030221179,CPG,CPG,0.11288188991155707,0.3565111105598976,9.205299090718357,-0.2709478837870034,5,2.118908818974969,440.5,5.8,33.9
