thigh_left_length,calf_left_length,thigh_right_length,calf_right_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.28123064586897784,0.24388291604946666,0.24044529815701193,0.2520147870224655,MN8014,VT8020,12.768951426672798,8.11645175021664,WPG,CPG,0.10355443940675607,0.35808852774051575,3,-17.9905876962749,540.4,6.4,30.9
0.29342680059504256,0.27314058148536474,0.2520767343600363,0.23515765932093152,U12,MN8014,12.924619904730237,6.350924945558705,WPG,CPG,0.09818430544942963,0.3154464254014193,4,-26.370035577589572,545.2,6.2,30.3
0.2724452724978411,0.27468315639511914,0.24705299870123065,0.2538434056496835,U12,MN8014,13.98307038916595,4.221368573415834,CPG,SSPG,0.0874876960248438,0.32361379690891084,2,-52.205479666706424,533.1,3.8,27.9
0.25074125780355705,0.2502199393098492,0.24745224196581078,0.23832905743410193,U12,MN8014,14.837909607607425,4.266831115706451,WPG,CPG,0.098899324105935,0.30755461054669303,7,-51.8607602341266,544.2,4.6,28.2
0.24831308934576873,0.22621288735345063,0.239545886930574,0.22834818073184548,U12,MN8014,18.798344181353947,5.62633950870949,WPG,SSPG,0.09282217825697908,0.3090149453807351,7,-68.3498664819703,651.0,3.5,28.8
0.2661591716471554,0.26300591113482896,0.23120590967416574,0.23726015619335283,U12,MN8014,23.341168815372193,4.350324004582696,WPG,SSPG,0.1017109224632006,0.31734507134069406,3,-62.54583062293922,669.9,3.9,30.5
0.2640432592870719,0.2565766750293067,0.2500375238809496,0.2460731723744572,U12,MN8014,21.34209922542487,6.572649509336035,WPG,CPG,0.10810799374867608,0.32406519678070894,3,-71.63584462727718,673.0,4.3,29.7
0.22892345003479952,0.2599085981878762,0.23019247310091118,0.22182519239568058,U12,VT8020,28.046954715815566,5.326520517444142,WPG,CPG,0.10057786903610952,0.33119720478847403,7,-74.40648806592274,841.4,4.6,26.0
0.23892544460959841,0.2360336414847489,0.23605586283059465,0.21232708480821838,U12,VT8020,27.385702567200813,4.098213137100727,WPG,CPG,0.11585291856527083,0.3444566890978264,2,-79.54773789193713,788.7,5.2,34.2
0.21610980132644556,0.23146696314650583,0.2350011344201534,0.21362659160029135,U12,VT8020,28.843029948478488,4.222288675416988,WPG,CPG,0.10532312226248257,0.3124273641102774,7,-70.07684883306699,681.1,4.2,29.6
0.22021225722086762,0.1798794219082489,0.26516107528248734,0.211761584236047,U10,MAD_M6C12,22.76772997441632,5.328504038405597,WPG,CPG,0.09801383770756752,0.33049718394471383,0,-76.23018760113192,710.1,4.4,29.0
0.25530047075632,0.19254312934051432,0.2796066397619744,0.23245089600211388,U12,VT8020,15.215191122234907,4.299982546719972,WPG,CPG,0.09772525282498495,0.3200593724442808,6,-131.88576241107472,525.8,2.6,24.7
0.20260696245545756,0.21136929770537907,0.2624672726723228,0.2318836930839156,U12,MAD_M6C12,20.092968320200637,4.426254547712689,WPG,SSPG,0.09806448901601147,0.30000031418063716,3,-90.95184422982905,702.7,3.2,27.6
0.21923460119966598,0.21884054316425813,0.22787508807434884,0.2569750465630385,U12,MAD_M6C12,17.722595415009316,6.084519720414557,WPG,SSPG,0.10824905313554845,0.30314639548835565,3,-75.85205148477785,686.0,4.5,29.1
0.21063738700398674,0.22616183240889393,0.24233727308674619,0.24966053214703524,MN8014,VT8020,20.980369772848917,4.068752219261343,WPG,CPG,0.11129045069486185,0.30718413531775424,2,-56.186698380282444,743.3,3.8,28.9
0.21270634887694204,0.20753300518421983,0.21300951964364695,0.24835763341216738,MN8014,MAD_M6C12,23.986465611855333,4.086772736811346,WPG,CPG,0.09769689129547797,0.3119579486408562,1,-69.43462658843261,639.6,4.7,28.4
0.1838766866932437,0.23842384771804792,0.22472085680662982,0.2517525874786134,MN8014,MAD_M6C12,23.3509824665259,6.766920901115029,WPG,CPG,0.10420244073839893,0.3014279787010985,1,-80.23465395006706,613.0,4.3,29.4
0.20116994798914767,0.2365173679828793,0.22977249519784065,0.2509103658256778,MN8014,MAD_M6C12,29.20820002387657,4.284631676084133,WPG,CPG,0.11598255693071,0.30025617430299234,5,-97.52946804595642,580.5,4.0,27.3
0.19405009578446036,0.2400401084026777,0.19842525336846717,0.26127582766711377,U12,VT8020,27.800862028157617,4.021347024818719,WPG,CPG,0.10493359476180977,0.3057865703286791,0,-71.34497513927784,583.6,3.5,26.0
