iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
2 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 27.928 , 27.928 , 59.862 , 59.862 , 1.269 , 0.939 , 83.046 , 1.5480168293615455 , 65.442 , 0.103 , 151.7895540101415
1 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 27.928 , 27.928 , 59.862 , 59.862 , 1.269 , 0.939 , 83.046 , 2.5480168293615595 , 65.442 , 0.103 , 151.7895540101415
1 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 27.928 , 27.928 , 59.862 , 59.862 , 1.269 , 0.939 , 83.046 , 3.5480168293615737 , 65.442 , 0.103 , 151.7895540101415
2 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 2.7969920478815853 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 1.796992047881571 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 0.7969920478815569 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , -0.2030079521184574 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 0.7969920478811305 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 1.7969920478811447 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 2.796992047881159 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 3.796992047881173 , 67.364 , 0.103 , 155.48893373108075
1 , 17.5 , 0.5 , 0.5 , 21 , 77 , 28 , 126 , 3 , 27.914 , 27.914 , 63.575 , 63.575 , 1.29 , 0.938 , 86.899 , 4.796992047881187 , 67.364 , 0.103 , 155.48893373108075
