Thigh_left_length,Calf_left_length,Thigh_right_length,Calf_right_length,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.25025516633412326,0.2737813059828765,0.2485281223029306,0.1928055807357493,MN8014,VT8020,7.608550657008344,4.463102590733637,CPG,CPG,0.952,0.958,0.10789378548371922,0.30125185863856896,21.933453310634178,20.209105470183957,0.19221317359318485,0.9143348958502898,421ddd48,-1.3485444266423077,417.3,5.9,29.2
0.25025516633412326,0.2737813059828765,0.2485281223029306,0.1928055807357493,MN8014,VT8020,7.608550657008344,4.463102590733637,CPG,CPG,0.952,0.958,0.10789378548371922,0.30125185863856896,25.58644358973909,20.209105470183957,0.19221317359318485,0.9143348958502898,421ddd48,-1.3485444266423077,417.3,5.9,29.2
0.25025516633412326,0.2737813059828765,0.2485281223029306,0.1928055807357493,MN8014,VT8020,7.608550657008344,4.463102590733637,CPG,CPG,0.952,0.958,0.10789378548371922,0.30125185863856896,27.129112775125062,20.209105470183957,0.19221317359318485,0.9143348958502898,421ddd48,-1.3485444266423077,417.3,5.9,29.2
0.25025516633412326,0.2737813059828765,0.2485281223029306,0.1928055807357493,MN8014,VT8020,7.608550657008344,4.463102590733637,CPG,CPG,0.952,0.958,0.10789378548371922,0.30125185863856896,26.716350350095468,20.209105470183957,0.19221317359318485,0.9143348958502898,421ddd48,-1.3485444266423077,417.3,5.9,29.2
0.25025516633412326,0.2737813059828765,0.2485281223029306,0.1928055807357493,MN8014,VT8020,7.608550657008344,4.463102590733637,CPG,CPG,0.952,0.958,0.10789378548371922,0.30125185863856896,27.335636924183344,20.209105470183957,0.19221317359318485,0.9143348958502898,421ddd48,-1.3485444266423077,417.3,5.9,29.2
0.2237845373324051,0.236208642315455,0.2384496464868404,0.273044361302456,U12,MN8014,7.559982977148625,15.444392590685124,CPG,WPG,0.963,0.879,0.0989283436648648,0.4178045071318998,10.72421498286149,52.52563542126258,0.49965403587923923,0.5900012922144502,d4b24523,16.50326511255369,527.1,4.2,32.3
0.2237845373324051,0.236208642315455,0.2384496464868404,0.273044361302456,U12,MN8014,7.559982977148625,15.444392590685124,CPG,WPG,0.963,0.879,0.0989283436648648,0.4178045071318998,10.957367640087305,52.52563542126258,0.49965403587923923,0.5900012922144502,d4b24523,16.50326511255369,527.1,4.2,32.3
0.2237845373324051,0.236208642315455,0.2384496464868404,0.273044361302456,U12,MN8014,7.559982977148625,15.444392590685124,CPG,WPG,0.963,0.879,0.0989283436648648,0.4178045071318998,14.028359948188168,52.52563542126258,0.49965403587923923,0.5900012922144502,d4b24523,16.50326511255369,527.1,4.2,32.3
0.2237845373324051,0.236208642315455,0.2384496464868404,0.273044361302456,U12,MN8014,7.559982977148625,15.444392590685124,CPG,WPG,0.963,0.879,0.0989283436648648,0.4178045071318998,16.087403087536078,52.52563542126258,0.49965403587923923,0.5900012922144502,d4b24523,16.50326511255369,527.1,4.2,32.3
0.2237845373324051,0.236208642315455,0.2384496464868404,0.273044361302456,U12,MN8014,7.559982977148625,15.444392590685124,CPG,WPG,0.963,0.879,0.0989283436648648,0.4178045071318998,16.223349110637734,52.52563542126258,0.49965403587923923,0.5900012922144502,d4b24523,16.50326511255369,527.1,4.2,32.3
