Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,MN8014,U12,13.84077593093458,26.845083397951548,WPG,WPG,0.882,0.846,0.125,0.35,0.07753194452850645,2.8840162602538624,-0.0007100370048628514,0.003675013993194668,400f2430,53.6,9.6,24.5
0.297,0.302,MN8014,U12,13.84077593093458,26.845083397951548,WPG,WPG,0.882,0.846,0.125,0.35,0.06405018716144707,2.8840162602538624,-0.0007100370048628514,0.003675013993194668,400f2430,53.6,9.6,24.5
0.297,0.302,MN8014,U12,13.84077593093458,26.845083397951548,WPG,WPG,0.882,0.846,0.125,0.35,0.0630434596798052,2.8840162602538624,-0.0007100370048628514,0.003675013993194668,400f2430,53.6,9.6,24.5
0.297,0.302,MN8014,U12,13.84077593093458,26.845083397951548,WPG,WPG,0.882,0.846,0.125,0.35,0.06401241654538585,2.8840162602538624,-0.0007100370048628514,0.003675013993194668,400f2430,53.6,9.6,24.5
0.297,0.302,MN8014,U12,13.84077593093458,26.845083397951548,WPG,WPG,0.882,0.846,0.125,0.35,0.0694076750902255,2.8840162602538624,-0.0007100370048628514,0.003675013993194668,400f2430,53.6,9.6,24.5
0.297,0.302,U10,U10,21.943506331650976,22.117076701189802,WPG,WPG,0.889,0.869,0.125,0.35,0.06720968451318027,3.659815500595281,-0.0005367172416690249,0.004222766525913442,fcb53f39,50.2,9.8,33.5
0.297,0.302,U10,U10,21.943506331650976,22.117076701189802,WPG,WPG,0.889,0.869,0.125,0.35,0.057141827378886345,3.659815500595281,-0.0005367172416690249,0.004222766525913442,fcb53f39,50.2,9.8,33.5
0.297,0.302,U10,U10,21.943506331650976,22.117076701189802,WPG,WPG,0.889,0.869,0.125,0.35,0.05741672403737383,3.659815500595281,-0.0005367172416690249,0.004222766525913442,fcb53f39,50.2,9.8,33.5
0.297,0.302,U10,U10,21.943506331650976,22.117076701189802,WPG,WPG,0.889,0.869,0.125,0.35,0.06161895139006062,3.659815500595281,-0.0005367172416690249,0.004222766525913442,fcb53f39,50.2,9.8,33.5
0.297,0.302,U10,U10,21.943506331650976,22.117076701189802,WPG,WPG,0.889,0.869,0.125,0.35,0.06988437755021822,3.659815500595281,-0.0005367172416690249,0.004222766525913442,fcb53f39,50.2,9.8,33.5
0.297,0.302,U8,VT8020,7.824220964156486,33.673657356288736,CPG,WPG,0.948,0.895,0.125,0.35,5.731027012503744,28.228316854589348,0.11668075480008132,0.4009624516404149,a05471e4,55.8,7.0,28.1
0.297,0.302,U8,VT8020,7.824220964156486,33.673657356288736,CPG,WPG,0.948,0.895,0.125,0.35,4.939360536315386,28.228316854589348,0.11668075480008132,0.4009624516404149,a05471e4,55.8,7.0,28.1
0.297,0.302,U8,VT8020,7.824220964156486,33.673657356288736,CPG,WPG,0.948,0.895,0.125,0.35,5.025199572005435,28.228316854589348,0.11668075480008132,0.4009624516404149,a05471e4,55.8,7.0,28.1
0.297,0.302,U8,VT8020,7.824220964156486,33.673657356288736,CPG,WPG,0.948,0.895,0.125,0.35,5.713232057008713,28.228316854589348,0.11668075480008132,0.4009624516404149,a05471e4,55.8,7.0,28.1
0.297,0.302,U8,VT8020,7.824220964156486,33.673657356288736,CPG,WPG,0.948,0.895,0.125,0.35,6.109686496689319,28.228316854589348,0.11668075480008132,0.4009624516404149,a05471e4,55.8,7.0,28.1
0.297,0.302,U12,U12,26.581713995015722,25.709682227688724,WPG,WPG,0.902,0.842,0.125,0.35,0,1000000.0,-1000000.0,0,2b4522b7,50.9,8.9,23.7
0.297,0.302,U12,U12,26.581713995015722,25.709682227688724,WPG,WPG,0.902,0.842,0.125,0.35,0,1000000.0,-1000000.0,0,2b4522b7,50.9,8.9,23.7
0.297,0.302,U12,U12,26.581713995015722,25.709682227688724,WPG,WPG,0.902,0.842,0.125,0.35,0,1000000.0,-1000000.0,0,2b4522b7,50.9,8.9,23.7
0.297,0.302,U12,U12,26.581713995015722,25.709682227688724,WPG,WPG,0.902,0.842,0.125,0.35,0,1000000.0,-1000000.0,0,2b4522b7,50.9,8.9,23.7
0.297,0.302,U12,U12,26.581713995015722,25.709682227688724,WPG,WPG,0.902,0.842,0.125,0.35,0,1000000.0,-1000000.0,0,2b4522b7,50.9,8.9,23.7
0.297,0.302,U12,U12,25.513346020982297,20.690944727807743,WPG,WPG,0.878,0.881,0.125,0.35,0.0032767546942538608,0.12194435734707643,-0.0011141631530724345,0.00010643993456807548,94eaf738,52.1,10.0,28.7
0.297,0.302,U12,U12,25.513346020982297,20.690944727807743,WPG,WPG,0.878,0.881,0.125,0.35,0.0030551187192043826,0.12194435734707643,-0.0011141631530724345,0.00010643993456807548,94eaf738,52.1,10.0,28.7
0.297,0.302,U12,U12,25.513346020982297,20.690944727807743,WPG,WPG,0.878,0.881,0.125,0.35,0.0027154979673283492,0.12194435734707643,-0.0011141631530724345,0.00010643993456807548,94eaf738,52.1,10.0,28.7
0.297,0.302,U12,U12,25.513346020982297,20.690944727807743,WPG,WPG,0.878,0.881,0.125,0.35,0.002726792915630068,0.12194435734707643,-0.0011141631530724345,0.00010643993456807548,94eaf738,52.1,10.0,28.7
0.297,0.302,U12,U12,25.513346020982297,20.690944727807743,WPG,WPG,0.878,0.881,0.125,0.35,0.0026630485216717504,0.12194435734707643,-0.0011141631530724345,0.00010643993456807548,94eaf738,52.1,10.0,28.7
0.297,0.302,U12,U12,26.199127389613846,17.51847730625098,WPG,WPG,0.875,0.893,0.125,0.35,0.0005554336571833145,1.000819196286346,-0.000976855395575613,2.208516424729588e-05,2f3b0ad8,55.6,9.6,23.3
0.297,0.302,U12,U12,26.199127389613846,17.51847730625098,WPG,WPG,0.875,0.893,0.125,0.35,0.0005244492220503667,1.000819196286346,-0.000976855395575613,2.208516424729588e-05,2f3b0ad8,55.6,9.6,23.3
0.297,0.302,U12,U12,26.199127389613846,17.51847730625098,WPG,WPG,0.875,0.893,0.125,0.35,0.0004933368807083822,1.000819196286346,-0.000976855395575613,2.208516424729588e-05,2f3b0ad8,55.6,9.6,23.3
0.297,0.302,U12,U12,26.199127389613846,17.51847730625098,WPG,WPG,0.875,0.893,0.125,0.35,0.0005070274814067637,1.000819196286346,-0.000976855395575613,2.208516424729588e-05,2f3b0ad8,55.6,9.6,23.3
0.297,0.302,U12,U12,26.199127389613846,17.51847730625098,WPG,WPG,0.875,0.893,0.125,0.35,0.0005206056996425025,1.000819196286346,-0.000976855395575613,2.208516424729588e-05,2f3b0ad8,55.6,9.6,23.3
0.297,0.302,VT8020,U12,24.572459420836786,36.40812588660243,WPG,WPG,0.895,0.787,0.125,0.35,0.0976993681022369,2.704775380561356,-0.001103684978008742,0.003674664858421441,3667af5c,50.0,9.2,18.6
0.297,0.302,VT8020,U12,24.572459420836786,36.40812588660243,WPG,WPG,0.895,0.787,0.125,0.35,0.0880512192178819,2.704775380561356,-0.001103684978008742,0.003674664858421441,3667af5c,50.0,9.2,18.6
0.297,0.302,VT8020,U12,24.572459420836786,36.40812588660243,WPG,WPG,0.895,0.787,0.125,0.35,0.0800287737842581,2.704775380561356,-0.001103684978008742,0.003674664858421441,3667af5c,50.0,9.2,18.6
0.297,0.302,VT8020,U12,24.572459420836786,36.40812588660243,WPG,WPG,0.895,0.787,0.125,0.35,0.08130070005874417,2.704775380561356,-0.001103684978008742,0.003674664858421441,3667af5c,50.0,9.2,18.6
0.297,0.302,VT8020,U12,24.572459420836786,36.40812588660243,WPG,WPG,0.895,0.787,0.125,0.35,0.0830965312209818,2.704775380561356,-0.001103684978008742,0.003674664858421441,3667af5c,50.0,9.2,18.6
0.297,0.302,MN8014,U12,16.569044526831107,29.91272540886148,WPG,WPG,0.9,0.885,0.125,0.35,0.02768542849481841,0.4826189607938012,-0.0008623220832879555,0.0011820372291962138,01852b31,52.1,10.0,13.3
0.297,0.302,MN8014,U12,16.569044526831107,29.91272540886148,WPG,WPG,0.9,0.885,0.125,0.35,0.026612185135543382,0.4826189607938012,-0.0008623220832879555,0.0011820372291962138,01852b31,52.1,10.0,13.3
0.297,0.302,MN8014,U12,16.569044526831107,29.91272540886148,WPG,WPG,0.9,0.885,0.125,0.35,0.025652052436807175,0.4826189607938012,-0.0008623220832879555,0.0011820372291962138,01852b31,52.1,10.0,13.3
0.297,0.302,MN8014,U12,16.569044526831107,29.91272540886148,WPG,WPG,0.9,0.885,0.125,0.35,0.027499312096503928,0.4826189607938012,-0.0008623220832879555,0.0011820372291962138,01852b31,52.1,10.0,13.3
0.297,0.302,MN8014,U12,16.569044526831107,29.91272540886148,WPG,WPG,0.9,0.885,0.125,0.35,0.028121038658256502,0.4826189607938012,-0.0008623220832879555,0.0011820372291962138,01852b31,52.1,10.0,13.3
0.297,0.302,U12,MN8014,19.855567894989182,21.70912244692202,WPG,WPG,0.895,0.901,0.125,0.35,0.013485964377264702,1.2353918673249056,-0.0006828902794643889,0.0007734350583606409,b1adc151,58.7,9.7,20.1
0.297,0.302,U12,MN8014,19.855567894989182,21.70912244692202,WPG,WPG,0.895,0.901,0.125,0.35,0.011330135580097198,1.2353918673249056,-0.0006828902794643889,0.0007734350583606409,b1adc151,58.7,9.7,20.1
0.297,0.302,U12,MN8014,19.855567894989182,21.70912244692202,WPG,WPG,0.895,0.901,0.125,0.35,0.0125633070206196,1.2353918673249056,-0.0006828902794643889,0.0007734350583606409,b1adc151,58.7,9.7,20.1
0.297,0.302,U12,MN8014,19.855567894989182,21.70912244692202,WPG,WPG,0.895,0.901,0.125,0.35,0.01347610441427639,1.2353918673249056,-0.0006828902794643889,0.0007734350583606409,b1adc151,58.7,9.7,20.1
0.297,0.302,U12,MN8014,19.855567894989182,21.70912244692202,WPG,WPG,0.895,0.901,0.125,0.35,0.01452373638530744,1.2353918673249056,-0.0006828902794643889,0.0007734350583606409,b1adc151,58.7,9.7,20.1
0.297,0.302,U10,MN8014,16.93572161385412,27.13225314500451,WPG,WPG,0.887,0.802,0.125,0.35,5.686162848146978,19.795265476429407,-0.0005873651181234265,0.3717537412388725,9d96dd6a,54.3,7.7,19.6
0.297,0.302,U10,MN8014,16.93572161385412,27.13225314500451,WPG,WPG,0.887,0.802,0.125,0.35,4.8436643334208345,19.795265476429407,-0.0005873651181234265,0.3717537412388725,9d96dd6a,54.3,7.7,19.6
0.297,0.302,U10,MN8014,16.93572161385412,27.13225314500451,WPG,WPG,0.887,0.802,0.125,0.35,4.886470185659969,19.795265476429407,-0.0005873651181234265,0.3717537412388725,9d96dd6a,54.3,7.7,19.6
0.297,0.302,U10,MN8014,16.93572161385412,27.13225314500451,WPG,WPG,0.887,0.802,0.125,0.35,5.511210484453961,19.795265476429407,-0.0005873651181234265,0.3717537412388725,9d96dd6a,54.3,7.7,19.6
0.297,0.302,U10,MN8014,16.93572161385412,27.13225314500451,WPG,WPG,0.887,0.802,0.125,0.35,5.592612054637356,19.795265476429407,-0.0005873651181234265,0.3717537412388725,9d96dd6a,54.3,7.7,19.6
0.297,0.302,U12,MN8014,20.50017840534405,24.27389201585222,WPG,WPG,0.916,0.873,0.125,0.35,4.088598295936401,46.50255181785762,-0.000775074224666439,0.6301170938681738,f16e868c,63.0,8.0,21.3
0.297,0.302,U12,MN8014,20.50017840534405,24.27389201585222,WPG,WPG,0.916,0.873,0.125,0.35,4.218910365651819,46.50255181785762,-0.000775074224666439,0.6301170938681738,f16e868c,63.0,8.0,21.3
0.297,0.302,U12,MN8014,20.50017840534405,24.27389201585222,WPG,WPG,0.916,0.873,0.125,0.35,4.569088875388174,46.50255181785762,-0.000775074224666439,0.6301170938681738,f16e868c,63.0,8.0,21.3
0.297,0.302,U12,MN8014,20.50017840534405,24.27389201585222,WPG,WPG,0.916,0.873,0.125,0.35,4.5657026695222624,46.50255181785762,-0.000775074224666439,0.6301170938681738,f16e868c,63.0,8.0,21.3
0.297,0.302,U12,MN8014,20.50017840534405,24.27389201585222,WPG,WPG,0.916,0.873,0.125,0.35,4.606823941166542,46.50255181785762,-0.000775074224666439,0.6301170938681738,f16e868c,63.0,8.0,21.3
0.297,0.302,U12,U12,16.47644084970593,27.640745863808213,WPG,WPG,0.877,0.806,0.125,0.35,0,1000000.0,-1000000.0,0,416feabd,50.0,9.9,18.8
0.297,0.302,U12,U12,16.47644084970593,27.640745863808213,WPG,WPG,0.877,0.806,0.125,0.35,0,1000000.0,-1000000.0,0,416feabd,50.0,9.9,18.8
0.297,0.302,U12,U12,16.47644084970593,27.640745863808213,WPG,WPG,0.877,0.806,0.125,0.35,0,1000000.0,-1000000.0,0,416feabd,50.0,9.9,18.8
0.297,0.302,U12,U12,16.47644084970593,27.640745863808213,WPG,WPG,0.877,0.806,0.125,0.35,0,1000000.0,-1000000.0,0,416feabd,50.0,9.9,18.8
0.297,0.302,U12,U12,16.47644084970593,27.640745863808213,WPG,WPG,0.877,0.806,0.125,0.35,0,1000000.0,-1000000.0,0,416feabd,50.0,9.9,18.8
0.297,0.302,U12,U12,21.9041458762777,21.75836270545527,WPG,WPG,0.889,0.908,0.125,0.35,0.014808707372172715,0.5001590869325534,-0.0011300926410187007,0.0004796134059073176,84b4ff2f,50.6,9.4,24.0
0.297,0.302,U12,U12,21.9041458762777,21.75836270545527,WPG,WPG,0.889,0.908,0.125,0.35,0.01410769486963284,0.5001590869325534,-0.0011300926410187007,0.0004796134059073176,84b4ff2f,50.6,9.4,24.0
0.297,0.302,U12,U12,21.9041458762777,21.75836270545527,WPG,WPG,0.889,0.908,0.125,0.35,0.01282486644895404,0.5001590869325534,-0.0011300926410187007,0.0004796134059073176,84b4ff2f,50.6,9.4,24.0
0.297,0.302,U12,U12,21.9041458762777,21.75836270545527,WPG,WPG,0.889,0.908,0.125,0.35,0.01232511979199636,0.5001590869325534,-0.0011300926410187007,0.0004796134059073176,84b4ff2f,50.6,9.4,24.0
0.297,0.302,U12,U12,21.9041458762777,21.75836270545527,WPG,WPG,0.889,0.908,0.125,0.35,0.012300250248253911,0.5001590869325534,-0.0011300926410187007,0.0004796134059073176,84b4ff2f,50.6,9.4,24.0
0.297,0.302,U12,U12,24.75459434211207,22.304663071714216,WPG,WPG,0.851,0.847,0.125,0.35,0.01347320507381656,0.16416463648561552,-0.0011911260528323247,0.00043184049704039795,08368191,52.8,10.0,21.1
0.297,0.302,U12,U12,24.75459434211207,22.304663071714216,WPG,WPG,0.851,0.847,0.125,0.35,0.012850992763782277,0.16416463648561552,-0.0011911260528323247,0.00043184049704039795,08368191,52.8,10.0,21.1
0.297,0.302,U12,U12,24.75459434211207,22.304663071714216,WPG,WPG,0.851,0.847,0.125,0.35,0.01161875095642194,0.16416463648561552,-0.0011911260528323247,0.00043184049704039795,08368191,52.8,10.0,21.1
0.297,0.302,U12,U12,24.75459434211207,22.304663071714216,WPG,WPG,0.851,0.847,0.125,0.35,0.010527948223120418,0.16416463648561552,-0.0011911260528323247,0.00043184049704039795,08368191,52.8,10.0,21.1
0.297,0.302,U12,U12,24.75459434211207,22.304663071714216,WPG,WPG,0.851,0.847,0.125,0.35,0.01113894435109515,0.16416463648561552,-0.0011911260528323247,0.00043184049704039795,08368191,52.8,10.0,21.1
0.297,0.302,U12,U12,20.290528440187032,20.278599816520387,WPG,WPG,0.898,0.898,0.125,0.35,4.7257504243490594e-15,0.00013369879104375705,-0.0009027696401752164,1.6394483870176862e-16,16df6d32,50.2,9.2,18.6
0.297,0.302,U12,U12,20.290528440187032,20.278599816520387,WPG,WPG,0.898,0.898,0.125,0.35,4.571825066294673e-15,0.00013369879104375705,-0.0009027696401752164,1.6394483870176862e-16,16df6d32,50.2,9.2,18.6
0.297,0.302,U12,U12,20.290528440187032,20.278599816520387,WPG,WPG,0.898,0.898,0.125,0.35,4.1095741386295114e-15,0.00013369879104375705,-0.0009027696401752164,1.6394483870176862e-16,16df6d32,50.2,9.2,18.6
0.297,0.302,U12,U12,20.290528440187032,20.278599816520387,WPG,WPG,0.898,0.898,0.125,0.35,3.970359443543483e-15,0.00013369879104375705,-0.0009027696401752164,1.6394483870176862e-16,16df6d32,50.2,9.2,18.6
0.297,0.302,U12,U12,20.290528440187032,20.278599816520387,WPG,WPG,0.898,0.898,0.125,0.35,3.9816704849228894e-15,0.00013369879104375705,-0.0009027696401752164,1.6394483870176862e-16,16df6d32,50.2,9.2,18.6
0.297,0.302,U12,MN8014,21.92216426186259,31.07616865094078,WPG,WPG,0.889,0.858,0.125,0.35,0.012084938617904706,1.1571279037017606,-0.0008909848009001092,0.0004379565131330808,2e513288,50.6,9.8,19.9
0.297,0.302,U12,MN8014,21.92216426186259,31.07616865094078,WPG,WPG,0.889,0.858,0.125,0.35,0.01177612720842207,1.1571279037017606,-0.0008909848009001092,0.0004379565131330808,2e513288,50.6,9.8,19.9
0.297,0.302,U12,MN8014,21.92216426186259,31.07616865094078,WPG,WPG,0.889,0.858,0.125,0.35,0.010326578452466697,1.1571279037017606,-0.0008909848009001092,0.0004379565131330808,2e513288,50.6,9.8,19.9
0.297,0.302,U12,MN8014,21.92216426186259,31.07616865094078,WPG,WPG,0.889,0.858,0.125,0.35,0.010042438905618609,1.1571279037017606,-0.0008909848009001092,0.0004379565131330808,2e513288,50.6,9.8,19.9
0.297,0.302,U12,MN8014,21.92216426186259,31.07616865094078,WPG,WPG,0.889,0.858,0.125,0.35,0.010233723989036771,1.1571279037017606,-0.0008909848009001092,0.0004379565131330808,2e513288,50.6,9.8,19.9
0.297,0.302,U12,U12,19.42166439812202,15.429983460441715,WPG,WPG,0.875,0.879,0.125,0.35,0.004307464458174274,0.20057936381539218,-0.0008069827455890677,0.00015972613028999446,e3892c51,52.0,9.4,19.1
0.297,0.302,U12,U12,19.42166439812202,15.429983460441715,WPG,WPG,0.875,0.879,0.125,0.35,0.004169093341173455,0.20057936381539218,-0.0008069827455890677,0.00015972613028999446,e3892c51,52.0,9.4,19.1
0.297,0.302,U12,U12,19.42166439812202,15.429983460441715,WPG,WPG,0.875,0.879,0.125,0.35,0.0036338091004151857,0.20057936381539218,-0.0008069827455890677,0.00015972613028999446,e3892c51,52.0,9.4,19.1
0.297,0.302,U12,U12,19.42166439812202,15.429983460441715,WPG,WPG,0.875,0.879,0.125,0.35,0.0035793700127685164,0.20057936381539218,-0.0008069827455890677,0.00015972613028999446,e3892c51,52.0,9.4,19.1
0.297,0.302,U12,U12,19.42166439812202,15.429983460441715,WPG,WPG,0.875,0.879,0.125,0.35,0.0036742861767536414,0.20057936381539218,-0.0008069827455890677,0.00015972613028999446,e3892c51,52.0,9.4,19.1
0.297,0.302,U10,U12,10.649452623395852,26.25065680748751,CPG,WPG,0.951,0.905,0.125,0.35,0.08075300932576628,3.047523865415945,-0.0006543237732639078,0.0038510078616974582,7cc367f7,51.3,10.0,21.6
0.297,0.302,U10,U12,10.649452623395852,26.25065680748751,CPG,WPG,0.951,0.905,0.125,0.35,0.07523719718820177,3.047523865415945,-0.0006543237732639078,0.0038510078616974582,7cc367f7,51.3,10.0,21.6
0.297,0.302,U10,U12,10.649452623395852,26.25065680748751,CPG,WPG,0.951,0.905,0.125,0.35,0.06629031305240539,3.047523865415945,-0.0006543237732639078,0.0038510078616974582,7cc367f7,51.3,10.0,21.6
0.297,0.302,U10,U12,10.649452623395852,26.25065680748751,CPG,WPG,0.951,0.905,0.125,0.35,0.06888649069353965,3.047523865415945,-0.0006543237732639078,0.0038510078616974582,7cc367f7,51.3,10.0,21.6
0.297,0.302,U10,U12,10.649452623395852,26.25065680748751,CPG,WPG,0.951,0.905,0.125,0.35,0.08186710362621755,3.047523865415945,-0.0006543237732639078,0.0038510078616974582,7cc367f7,51.3,10.0,21.6
0.297,0.302,MN8014,MN8014,25.136430564619282,30.58826416280845,WPG,WPG,0.895,0.851,0.125,0.35,0.07872192113030425,2.9686267358467595,-0.0006541852501206364,0.003765540502674742,68f7552b,50.1,9.9,27.3
0.297,0.302,MN8014,MN8014,25.136430564619282,30.58826416280845,WPG,WPG,0.895,0.851,0.125,0.35,0.07380738826438372,2.9686267358467595,-0.0006541852501206364,0.003765540502674742,68f7552b,50.1,9.9,27.3
0.297,0.302,MN8014,MN8014,25.136430564619282,30.58826416280845,WPG,WPG,0.895,0.851,0.125,0.35,0.059048725254441346,2.9686267358467595,-0.0006541852501206364,0.003765540502674742,68f7552b,50.1,9.9,27.3
0.297,0.302,MN8014,MN8014,25.136430564619282,30.58826416280845,WPG,WPG,0.895,0.851,0.125,0.35,0.06809765744055586,2.9686267358467595,-0.0006541852501206364,0.003765540502674742,68f7552b,50.1,9.9,27.3
0.297,0.302,MN8014,MN8014,25.136430564619282,30.58826416280845,WPG,WPG,0.895,0.851,0.125,0.35,0.08015296728951961,2.9686267358467595,-0.0006541852501206364,0.003765540502674742,68f7552b,50.1,9.9,27.3
0.297,0.302,MN8014,MN8014,29.31460064979794,24.028865323148768,WPG,WPG,0.89,0.902,0.125,0.35,0.03801724666757604,1.795042215642905,-0.0006178760302439518,0.0019318503978841667,dc359d80,54.3,10.0,23.6
0.297,0.302,MN8014,MN8014,29.31460064979794,24.028865323148768,WPG,WPG,0.89,0.902,0.125,0.35,0.03499843576416154,1.795042215642905,-0.0006178760302439518,0.0019318503978841667,dc359d80,54.3,10.0,23.6
0.297,0.302,MN8014,MN8014,29.31460064979794,24.028865323148768,WPG,WPG,0.89,0.902,0.125,0.35,0.03195299329313818,1.795042215642905,-0.0006178760302439518,0.0019318503978841667,dc359d80,54.3,10.0,23.6
