thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U12,MN8014,8.152701846650467,4.401427705193963,CPG,SSPG,0.125,0.35,1,18.921238187803223,530.5,4.6,32.4
0.297,0.302,U10,VT8020,5.836091926540604,8.174792131545527,SSPG,CPG,0.125,0.35,2,13.226784731594359,535.8,2.7,33.6
0.297,0.302,U8,VT8020,7.925889205962429,6.5995105842934585,CPG,CPG,0.125,0.35,3,11.141267649315719,586.0,3.3,28.9
0.297,0.302,U8,MN8014,11.955696606590466,5.770863267051302,CPG,SSPG,0.125,0.35,4,11.309710145084663,544.4,5.0,32.0
0.297,0.302,U10,VT8020,4.371894909577626,4.658597005661663,SSPG,CPG,0.125,0.35,7,9.66260949808426,683.0,4.4,30.3
0.297,0.302,U8,VT8020,5.846301868647333,4.0465884646946355,CPG,CPG,0.125,0.35,7,8.285843611031027,649.4,6.2,31.9
0.297,0.302,U8,VT8020,6.163021709071908,4.3477983794575445,CPG,CPG,0.125,0.35,2,8.458644884906445,608.9,5.9,40.8
0.297,0.302,U10,VT8020,5.976130190241632,4.0046519920386,SSPG,CPG,0.125,0.35,3,10.570480738356917,485.2,5.8,25.2
0.297,0.302,U10,MN8014,5.462438761129899,4.800891233254296,SSPG,SSPG,0.125,0.35,1,10.909179912469778,485.9,6.2,24.8
0.297,0.302,U10,MN8014,4.057991883882775,4.09381205825336,CPG,SSPG,0.125,0.35,2,11.550255889426214,581.6,6.5,28.0
0.297,0.302,U10,MN8014,4.724801436417086,4.025251904275494,CPG,SSPG,0.125,0.35,0,9.94057139080268,488.0,6.0,27.3
0.297,0.302,U10,VT8020,4.538815889346649,4.076883127323481,CPG,CPG,0.125,0.35,5,8.917477634337759,520.8,5.9,27.8
0.297,0.302,U10,VT8020,5.5029532808718775,5.0460814944879955,SSPG,SSPG,0.125,0.35,7,9.27973205719236,497.5,6.3,30.8
0.297,0.302,U8,VT8020,4.587828454697632,4.215765378839386,CPG,CPG,0.125,0.35,4,8.385181322036969,505.4,6.6,30.5
0.297,0.302,U8,MN8014,4.018490044880347,4.00022434464732,CPG,SSPG,0.125,0.35,0,9.850286156667398,503.0,6.8,27.9
0.297,0.302,U8,VT8020,4.700879771322841,4.000956130370863,CPG,CPG,0.125,0.35,2,8.05996197471732,508.4,7.6,27.8
0.297,0.302,U8,VT8020,4.84872375668361,4.012651252689465,CPG,CPG,0.125,0.35,5,8.122543854777394,515.7,8.2,30.5
0.297,0.302,U10,VT8020,4.188444329552528,4.126946761710661,CPG,CPG,0.125,0.35,3,8.741292661670222,507.9,6.9,29.7
0.297,0.302,U10,VT8020,4.080403406393355,4.000153431548134,CPG,CPG,0.125,0.35,3,8.443831900603566,514.6,6.6,30.7
0.297,0.302,U10,VT8020,4.050570378919223,4.000472212614619,CPG,CPG,0.125,0.35,0,8.575122197474078,504.0,7.0,28.7
0.297,0.302,U10,VT8020,4.266359178456705,4.257731830545168,CPG,CPG,0.125,0.35,5,9.235410322216783,500.6,7.8,27.8
0.297,0.302,U10,VT8020,4.51540297266286,4.007631914206333,CPG,CPG,0.125,0.35,1,8.785612216073105,501.7,6.9,28.5
0.297,0.302,U10,VT8020,6.560341225701379,4.274950349014912,CPG,CPG,0.125,0.35,1,11.321828582978714,496.2,6.8,28.9
0.297,0.302,U10,VT8020,5.416841326080073,4.000671240835033,SSPG,CPG,0.125,0.35,6,9.567360423041361,520.6,6.1,28.4
0.297,0.302,U10,VT8020,4.916315637230341,4.499571543556379,CPG,CPG,0.125,0.35,6,8.95551695074406,517.7,6.4,26.6
0.297,0.302,U10,VT8020,4.537868712269718,4.0133993312178795,CPG,CPG,0.125,0.35,6,8.901272685377997,532.2,5.5,26.3
0.297,0.302,U10,VT8020,4.051831621493347,4.031936539145489,CPG,CPG,0.125,0.35,1,8.578931893390308,533.5,5.4,28.8
0.297,0.302,U10,VT8020,4.003589764295974,4.014415524844087,CPG,CPG,0.125,0.35,1,9.509317711690358,482.6,5.9,25.3
0.297,0.302,U10,VT8020,4.2717661006882786,4.270459223426174,CPG,CPG,0.125,0.35,6,9.320276620595013,488.7,6.0,27.6
0.297,0.302,U10,VT8020,4.149666873588154,4.119489535375717,CPG,CPG,0.125,0.35,3,8.583876510531733,480.1,5.9,29.4
0.297,0.302,U10,VT8020,4.458560692290018,4.000683945532493,CPG,CPG,0.125,0.35,4,8.813885995075694,503.6,5.1,27.5
0.297,0.302,U10,VT8020,5.454319778972022,4.006985853284872,SSPG,CPG,0.125,0.35,7,9.447304855220025,455.5,5.2,27.4
0.297,0.302,U10,VT8020,5.8455881354500985,4.03223786626532,SSPG,CPG,0.125,0.35,4,10.737717973195306,425.1,5.6,27.9
0.297,0.302,U10,VT8020,4.018721928307525,4.0002892931171194,CPG,CPG,0.125,0.35,5,8.752078856737146,451.2,5.6,29.2
0.297,0.302,U10,VT8020,4.101479600722045,4.040495680706436,CPG,CPG,0.125,0.35,1,8.392727756530297,419.2,5.9,30.8
0.297,0.302,U10,VT8020,4.031851612013632,4.049296415416501,CPG,CPG,0.125,0.35,4,8.711669667889808,424.6,5.3,28.8
0.297,0.302,U10,VT8020,4.0528675616728425,4.00000252796441,CPG,CPG,0.125,0.35,3,8.296216309910466,443.0,6.9,28.8
0.297,0.302,U10,VT8020,4.079578551015688,4.045222546069575,CPG,CPG,0.125,0.35,5,8.447795280000278,413.4,6.0,29.3
0.297,0.302,U10,VT8020,4.062768190430471,4.013570753693117,CPG,CPG,0.125,0.35,1,8.433505643308433,444.3,6.2,27.6
0.297,0.302,U10,VT8020,4.632563365551819,4.07118208597669,SSPG,CPG,0.125,0.35,6,8.919368554726793,401.6,6.9,29.1
0.297,0.302,U10,VT8020,4.041483209887465,4.029284689738121,CPG,CPG,0.125,0.35,0,8.684698792292949,457.0,6.7,28.9
0.297,0.302,U10,VT8020,4.052095206953379,4.004549848694727,CPG,CPG,0.125,0.35,0,8.477127776231988,420.8,6.1,30.1
0.297,0.302,U10,VT8020,4.104750680009138,4.04831766132388,CPG,CPG,0.125,0.35,2,8.57822317573044,411.9,6.1,29.4
0.297,0.302,U10,VT8020,4.1239243478469225,4.004428558233329,CPG,CPG,0.125,0.35,5,8.834898497544337,408.8,6.4,32.5
