thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,ik_height,best_index,best_cost,ac1,ac2,ac3
0.25882454973770086,0.24338256387502033,U12,MN8014,18.862115805670513,5.227709385874933,WPG,SSPG,0.42292386484523564,0,1.1844199787255087,493.8,5.2,28.7
0.22534630119258642,0.27371222356251046,U12,MN8014,13.228751771012327,4.169346251761172,WPG,SSPG,0.4102743568324711,0,1.0311473444965045,384.0,6.0,30.3
0.21833861468932036,0.26193722520811275,U10,MN8014,20.79565980189964,7.38463083377451,WPG,CPG,0.44559815635519967,4,-0.20565618479348302,218.8,6.9,27.8
0.25776567785873467,0.2823264195082881,U12,MN8014,21.059956301524274,17.376362722908908,WPG,WPG,0.5462591032010546,6,-0.9810222752598114,164.4,5.8,28.7
0.25003795622147895,0.2556065630532001,MN8014,U12,30.613395137998282,9.99178886949976,WPG,CPG,0.5395831776794611,0,-2.167138348705499,138.5,5.9,28.3
0.23325465340288637,0.25137328875398623,U10,MN8014,30.979022030128604,14.268624478908977,WPG,WPG,0.49243235921896156,0,-3.689532028506097,193.5,5.6,23.1
0.22016311813504436,0.28452768005765483,U12,MN8014,33.103879720430875,17.077709539016,WPG,WPG,0.5721209791044839,4,-0.5946733944195274,164.5,5.8,27.3
0.2537751758830726,0.23784560868759633,U10,MN8014,31.375118394382024,5.694454431324149,WPG,SSPG,0.5106009923512314,7,-0.854862072473457,60.4,6.2,27.9
0.2391726342160393,0.20978841785837024,U10,MN8014,15.475607515862123,10.500996742020229,WPG,CPG,0.5724623440506766,6,-2.8208130323162974,104.4,6.4,20.8
0.2527608577895806,0.21386138502494237,U10,MN8014,15.958613773748578,7.488890488698514,WPG,CPG,0.5556343112363658,0,-1.2344723567104539,56.2,7.8,18.6
0.24933148991905751,0.16572243655842722,U10,MN8014,9.085434376738602,6.682857726651631,CPG,CPG,0.4698887055507971,7,-2.233872555576146,56.9,8.7,21.8
0.2865230079474846,0.18687550040806955,U10,MN8014,5.4224370516218805,9.450844573355436,SSPG,CPG,0.4823273875048959,1,-3.3978605065849883,83.9,8.6,26.4
0.2695084537853794,0.19974814869692714,U12,MN8014,8.326694734027031,15.01066644944313,CPG,WPG,0.4721684852807501,7,-10.407341475061257,103.9,9.7,31.1
0.333522341390649,0.21411340406877422,U8,VT8020,14.206230320783028,14.881414094933588,WPG,WPG,0.5452584751011129,6,-2.303429256744718,68.7,8.5,20.8
0.29157249357455683,0.1816599282474261,U8,MN8014,15.059650111188827,9.255351263690123,WPG,CPG,0.51082454904172,4,-4.011701090538883,173.5,9.9,19.0
0.2623849782186081,0.16065561905212108,U8,VT8020,5.01958652236205,10.429277214105127,CPG,CPG,0.44315739895451634,4,-7.346838222958593,111.0,9.8,21.1
0.2563917227343751,0.17611555980369098,U8,MN8014,8.373629485238261,9.287447472466956,CPG,CPG,0.46016720754612683,5,-6.188036454738084,58.6,9.7,21.3
0.3322701963075711,0.17745215823414529,U10,VT8020,5.049485380134351,18.96412749233103,SSPG,WPG,0.42981059979724046,7,-4.368750088966306,57.8,9.6,21.0
0.32948686416365675,0.16260343371950925,U10,VT8020,5.056135000519229,21.24704530737744,CPG,WPG,0.3914662787123758,7,-143.57825818990224,235.8,10.0,25.5
0.30301175037605543,0.17753074660323082,U10,MAD_M6C12,4.529138747289555,22.656422212971016,CPG,WPG,0.4735818885118005,7,-4.99844561240004,179.4,9.4,24.4
0.32506931447695037,0.1587458882491092,U10,MAD_M6C12,4.987599187929508,22.460322002374394,SSPG,WPG,0.42421079589012983,6,-5.855930581174606,212.5,9.6,29.4
0.3409405354417395,0.18180874799058197,U8,MAD_M6C12,11.971711187928456,29.073253129282293,CPG,WPG,0.4287583064451761,0,-10.987917745008117,372.4,10.0,28.8
0.3436835739866273,0.17495874841209613,U8,MAD_M6C12,4.542891969757873,26.721487038746545,CPG,WPG,0.3617268390885593,1,-28.234267118286212,513.8,9.1,23.8
0.34085037772788995,0.15062766490580773,U10,VT8020,4.28258853580729,23.11013399464213,CPG,WPG,0.3729048486040453,7,-39.94880612414319,269.9,10.0,34.2
0.3490848216532776,0.15005114073898904,U8,MAD_M6C12,4.046285559471021,37.33465396237476,CPG,WPG,0.37647919370548094,5,-178.0830172320071,826.2,9.9,44.6
0.3081084510798078,0.18829975763489856,U8,MAD_M6C12,10.987547379827827,37.12268982948466,CPG,WPG,0.4019324647973884,1,-85.25956514057333,624.6,8.2,34.3
0.34997501475078546,0.17109167786690208,U12,MAD_M6C12,4.713774937573969,35.01247355319489,CPG,WPG,0.44297947900030976,6,-24.997176297562987,613.4,10.0,31.5
0.32764759866305115,0.1697893107472572,U12,VT8020,15.58631282148879,31.88228949224349,CPG,WPG,0.3990419476145717,7,-161.90322109110065,664.4,9.3,36.8
0.3280950276081584,0.17102786583565432,U12,VT8020,12.310751811313668,31.53927843206777,WPG,WPG,0.4018715719599496,1,-184.71242339110742,563.8,8.6,31.8
0.34996655209399946,0.16133591637025682,U10,VT8020,7.324070391879713,30.286504939111918,CPG,WPG,0.3813622117523507,3,-146.96504340462292,663.9,9.3,36.9
0.3499999473879141,0.1505971003835339,U12,VT8020,12.112484264021631,34.81427610791367,WPG,WPG,0.38093170064639065,1,-213.48558499974627,799.3,8.6,35.4
0.34726018801655867,0.1642208707827829,U12,VT8020,5.000879644377685,34.96103663883614,SSPG,WPG,0.40845289415850555,5,-161.94996421190743,596.4,9.9,29.2
0.3313035538167086,0.15542183232864787,MN8014,MN8014,5.154504998630169,26.008716135381203,SSPG,WPG,0.4222168370501921,0,150000.00000000003,449.8,9.8,32.1
0.31815529170362056,0.1657288449381828,MN8014,VT8020,6.116258471441844,29.658695494920007,SSPG,WPG,0.38866762710619873,2,-229.19028826005365,536.5,7.8,35.6
0.3318018920238534,0.150247203380314,MN8014,VT8020,16.482407695709313,22.195411966480314,WPG,WPG,0.35417789089976826,5,-61.96326061397604,597.6,5.8,33.0
0.3386398715103981,0.1506940345914792,MN8014,VT8020,7.822041872604985,23.698730028315026,CPG,WPG,0.3841858132561597,2,-69.2417068752627,525.3,6.4,27.7
0.3347424281055363,0.167984196347177,MAD_M6C12,MN8014,16.7742256361431,27.351662578056192,WPG,WPG,0.33705614953616714,6,-398.60942781170246,832.0,2.1,30.3
0.3440479034312728,0.17320861913095742,MN8014,MN8014,9.002286862260924,21.293675387412662,CPG,WPG,0.351618119266449,0,-115.17920595088789,662.5,7.0,34.3
0.3354727221995629,0.15629671868142406,VT8020,VT8020,20.608737111557364,30.52609738636029,WPG,WPG,0.3894439813916908,7,-128.73014903839407,856.1,4.7,29.0
0.29755362545965436,0.1558599429505395,VT8020,MN8014,15.712622852561575,22.367728660363625,WPG,WPG,0.36858491474283095,0,-198.80010365501252,991.6,6.0,33.3
0.30788557081681467,0.15574581785147917,U12,MN8014,11.006492516125906,28.10636645912914,CPG,WPG,0.3130017688330704,6,-403.7284345292074,924.4,8.5,31.4
0.31229123550855215,0.16009751419374052,MAD_M6C12,MN8014,8.49681170580077,21.364168079329918,CPG,WPG,0.3911230295503921,6,-272.61163816414285,728.6,7.1,26.6
0.25894041629411796,0.15255625220335162,MAD_M6C12,VT8020,13.142425816171944,30.967906548746434,WPG,WPG,0.3250575490726945,0,-310.60884968536175,946.9,4.9,26.8
0.3109120621201783,0.1501611659141055,VT8020,MN8014,10.264997190132267,29.748706145829587,CPG,WPG,0.3150256730536397,3,-400.5601955008913,697.0,6.7,33.4
0.2908392054862372,0.1507151489935151,VT8020,MN8014,6.067345770352846,28.03196824340613,SSPG,WPG,0.31120774779674787,4,-464.59564190934464,747.1,7.6,26.9
0.26445317857385886,0.15732867336661613,MAD_M6C12,MN8014,10.0782316805205,26.73431712494277,CPG,WPG,0.3138708594055944,2,-397.8178323454043,762.0,7.1,24.2
0.27546232119599706,0.16900227779442656,MN8014,MN8014,6.182625631435331,22.452057916585634,CPG,WPG,0.3091883822069661,7,-267.57181758452117,892.4,8.5,29.2
0.29772294370522356,0.1710505096683853,VT8020,MN8014,7.05449927037536,23.87091143296354,CPG,WPG,0.3390614473785585,2,-199.0335469942269,751.3,7.9,26.1
0.26704395790489616,0.1727532589746209,MN8014,VT8020,5.543894508846932,29.640150529635584,SSPG,WPG,0.30786972781094685,1,-198.02357938531804,801.3,8.3,28.2
0.29375882744569,0.16569373685487593,MN8014,VT8020,4.314289326583678,31.858938435696253,CPG,WPG,0.30600098115764424,7,-189.07026083853336,784.5,7.8,25.7
0.2694561446722448,0.1500894499874351,VT8020,VT8020,10.171957280506113,37.6218324992346,CPG,WPG,0.3114755961192976,5,-435.0963950655683,988.5,8.2,26.3
0.2765004909620561,0.16280200216688134,VT8020,VT8020,7.399389156002305,34.64334446914372,CPG,WPG,0.31291046188240734,2,-255.22040294673823,999.9,5.9,27.1
0.2706150000019638,0.16665115929450372,VT8020,VT8020,10.646455331787127,35.6168723051984,CPG,WPG,0.30134403781551405,1,-273.49546670579866,977.4,6.8,27.8
0.25996883580102426,0.17098473998733968,MN8014,VT8020,13.254823164307503,30.877699934058516,WPG,WPG,0.30329284641674065,6,-236.96190163313486,982.4,6.3,25.5
0.25914759625454803,0.1625869991208409,MAD_M6C12,MAD_M6C12,8.716852358440757,30.293828581085048,CPG,WPG,0.3011980324434833,0,-104.10452786178199,999.4,5.7,26.6
0.2669787566763228,0.15001151780372546,VT8020,VT8020,11.954553153896255,39.357008548646405,CPG,WPG,0.3002108644458765,0,-479.5416623251653,833.6,7.0,26.6
0.2797815601915645,0.15716194462260524,VT8020,VT8020,14.41679330302253,40.24510533127796,WPG,WPG,0.30005809040239223,6,-552.8733677308352,937.7,6.8,23.5
0.2718116805228591,0.15208501488208911,VT8020,VT8020,14.160396746645326,43.68565191776734,WPG,WPG,0.30034118499907403,0,-558.1422805378128,846.9,5.8,25.2
0.3017272369666527,0.1583051792366444,VT8020,VT8020,12.176432871392889,37.77096816162542,WPG,WPG,0.30918339290055497,7,-364.8348267040507,996.4,4.7,21.7
0.30652883975147205,0.150154420817721,VT8020,VT8020,6.244844827042806,41.50622642530168,SSPG,WPG,0.3003204130615043,0,-464.8971932854286,932.8,6.1,23.0
0.31923438674234333,0.15217312953634357,VT8020,VT8020,6.677062644933788,41.75440962723375,CPG,WPG,0.30674764542240396,0,-530.7121721357393,857.5,5.0,23.8
0.32063667596660245,0.15098013833421142,MN8014,MAD_M6C12,4.179231488668868,40.044908407691146,SSPG,WPG,0.3274258881870748,3,-182.50710050418925,907.6,7.0,26.0
0.32897929809101734,0.15027584709899167,MN8014,VT8020,14.771261036334188,41.063276487172736,WPG,WPG,0.32147836300491034,3,-413.5875830016407,959.3,7.4,30.4
0.33599360923733196,0.15053157300228626,MAD_M6C12,MN8014,11.791690728700727,29.73213120042043,CPG,WPG,0.30002184007269417,4,-400.7598087513802,917.0,7.0,26.6
0.3380639055295603,0.15003119518063388,MN8014,VT8020,4.235573266944839,36.081484564989516,SSPG,WPG,0.30835531904851365,6,-206.20072594545766,809.4,9.9,34.3
0.34984972414354426,0.16165241084608906,U12,VT8020,17.96558361369835,40.632750727698934,WPG,WPG,0.3056480543865901,2,-95.06647191305204,754.4,6.7,30.1
0.30986106779948563,0.15487963061981402,U10,MAD_M6C12,12.337839809935769,51.52870220776854,WPG,WPG,0.3021912271248168,3,-333.14809766418597,863.5,7.5,29.5
0.33046802975158096,0.17625258157696916,U12,MAD_M6C12,11.441262113410769,44.69816937641538,CPG,WPG,0.32636904277544615,0,-55.695387390552156,688.3,7.0,35.2
0.3137672780041622,0.15438200958655046,U12,MAD_M6C12,9.378309195440497,46.377259980136515,CPG,WPG,0.3101286875017666,0,-112.80247317479328,863.8,5.1,31.1
0.3208929757388522,0.1504929552268004,U12,VT8020,14.98050146376661,40.906593977351385,WPG,WPG,0.3137779224705861,2,-67.7882728861593,697.9,4.2,32.5
0.3499667056362823,0.15085579973527452,U12,VT8020,9.325763828977806,39.80750990122612,WPG,WPG,0.3000688177535238,3,-381.62108386728903,876.7,4.1,27.5
0.29198044828748704,0.1522252863831981,U12,VT8020,4.031387286248365,42.55078064638584,CPG,WPG,0.3134138518091062,1,-585.8450746477197,765.4,4.5,28.4
0.29832467106280125,0.16065026921625095,U12,VT8020,4.006661520553027,44.28105970126843,CPG,WPG,0.3131437103359547,1,-407.0984499595024,727.9,4.2,26.1
0.28787282898696287,0.1549030931447541,U12,VT8020,14.995525785443455,46.06699579430413,WPG,WPG,0.3125489565728566,1,-555.8175830046586,755.4,5.3,23.4
0.2781182423372479,0.15057488882761672,U12,VT8020,22.20202481741383,42.05139255962684,WPG,WPG,0.30117121492132254,1,-545.0790559789885,543.3,5.4,32.9
0.2911669125427514,0.1516386952223685,U12,MAD_M6C12,33.02558323493491,44.603522284392525,WPG,WPG,0.3117837848002796,3,-88.75210733386481,582.4,5.2,36.0
0.3271580469024637,0.1712397841329622,MN8014,MAD_M6C12,39.608549264847206,43.14175112801783,WPG,WPG,0.33644627716230324,3,-53.30947931739824,573.3,6.7,30.4
0.2634198021740598,0.15861555750344764,U12,VT8020,39.9835357023273,41.216223180473044,WPG,WPG,0.3035866738922369,4,-223.60047482310054,808.5,6.6,30.4
0.2604569359472765,0.1614544347975041,U12,VT8020,33.915570670513105,40.120566933661976,WPG,WPG,0.305123214788176,5,-168.44428436992948,605.0,4.6,32.2
0.34233993926835177,0.15054584982123778,MN8014,VT8020,22.730828097172065,37.24468560985092,WPG,WPG,0.3202155812039042,1,-256.3216028756034,611.2,5.8,31.9
0.3285910803902026,0.17509618978765557,U12,VT8020,37.15761306151203,39.33514392064423,WPG,WPG,0.33313912297602954,3,-115.14981815706669,513.6,5.9,35.4
0.32527145757599185,0.1504209102135892,U12,VT8020,34.73132006223699,41.99899451983086,WPG,WPG,0.3353858117412335,3,-133.55457242745433,374.5,4.4,31.0
0.3333984300908998,0.15552425522193208,U12,VT8020,37.150611290414865,40.28595851431983,WPG,WPG,0.30283906186942355,5,-122.90810200043366,520.3,3.4,28.0
0.3072376150562859,0.15150385610129996,U8,MAD_M6C12,52.36074010065885,51.24128281057534,WPG,WPG,0.30403512627883267,1,-102.27481812037006,400.3,4.4,36.7
0.2972699090555396,0.15027827494823548,U10,MAD_M6C12,40.706283552161956,44.61311488312276,WPG,WPG,0.31462556064091324,2,-68.83063990886505,356.0,4.4,37.2
0.3191641054147799,0.154156536868462,U8,MAD_M6C12,37.97624056909012,48.09034528209962,WPG,WPG,0.3296564956742617,3,-89.72062550551703,258.3,4.8,37.8
0.2942659203401067,0.16151299787539208,U8,MAD_M6C12,27.359796667673635,43.057107519866705,WPG,WPG,0.30034756237421206,0,-113.57982312397212,479.6,4.9,34.0
0.3166238142661768,0.1572198365052969,U8,VT8020,43.33252362658755,46.850348355827784,WPG,WPG,0.30200188110396187,5,-317.7500822409989,523.4,5.9,32.0
0.3479012073272857,0.15028725550375974,U8,VT8020,39.29345057306781,38.86425244415308,WPG,WPG,0.3061827979423148,6,-369.91879750038413,501.8,6.0,35.7
0.329834559773057,0.16399480216477766,U8,VT8020,30.10340190922117,50.57148528921326,WPG,WPG,0.30007893831461047,6,-168.71173743335328,551.7,5.7,32.8
0.3428983402988675,0.1581591314492245,U8,MAD_M6C12,33.25371829638469,47.984781971728204,WPG,WPG,0.31152455956861397,7,-36.26758989954216,550.1,5.0,33.1
0.31026537775409735,0.1569764295493683,U8,MAD_M6C12,26.52227716757629,44.61307435318889,WPG,WPG,0.30577807917041777,2,-133.22616088519834,588.2,5.8,31.2
0.33590819000294236,0.15010075690079835,U10,MAD_M6C12,27.3207857148642,49.204610922159304,WPG,WPG,0.30081828870807925,7,-50.24603846623327,627.3,6.5,29.6
0.34157813415051774,0.1513163659541609,U10,MAD_M6C12,36.82661167203662,51.75831192790172,WPG,WPG,0.3473606306538161,6,-173.87152018973384,627.9,4.5,26.9
0.3495038969060005,0.15205192228539324,U8,MAD_M6C12,35.70233575286085,48.137074715474014,WPG,WPG,0.31395859022881467,0,-99.06073792409114,666.0,4.5,29.9
0.3491333712566911,0.15025663400493247,U8,MAD_M6C12,39.972309869220425,50.69969887950169,WPG,WPG,0.3145859106133899,0,-312.38745623857756,550.8,3.0,28.0
0.3493454738440326,0.1520920329506308,U8,MAD_M6C12,36.976213085268554,55.697511663999876,WPG,WPG,0.3043184191821499,7,-155.71590044179166,625.9,4.5,29.3
0.34859845047194143,0.15000220173974527,U10,MAD_M6C12,35.001321505993836,57.94984382944386,WPG,WPG,0.31467194640571483,1,-173.39933303887298,619.3,5.0,31.7
0.3309654001918916,0.1500036382531882,U8,MAD_M6C12,28.62010671265151,53.609131455980595,WPG,WPG,0.35695321647589756,3,-221.52773584701478,632.9,4.1,31.8
0.34993722584394904,0.1518221150191465,U8,VT8020,27.0960031570893,50.26532568970737,WPG,WPG,0.3142703905510605,5,-493.49628793484095,798.4,5.1,32.3
0.34983929975027783,0.15014809192396925,U10,MAD_M6C12,23.449979727255027,50.438974587700116,WPG,WPG,0.31192596333079486,2,-65.13400679268852,800.0,3.9,30.6
0.29084886257207465,0.1578568105778906,U10,MAD_M6C12,23.298745655185705,57.27479849462744,WPG,WPG,0.3451237371452841,6,-299.52992875781723,906.6,4.7,32.1
0.3186606890183793,0.15061963640881507,U8,MAD_M6C12,22.02652947771767,58.772329260517765,WPG,WPG,0.3248066722150452,0,-341.6633508535083,865.6,4.4,32.7
0.2873556338294028,0.15634069448941584,U8,MAD_M6C12,27.216850453700705,50.73315240110008,WPG,WPG,0.3508125080150602,7,-250.07578021743495,714.9,4.1,33.2
0.2720483375317226,0.1586729833437972,U8,MAD_M6C12,21.806033132144403,58.26968359691699,WPG,WPG,0.32272858967400664,1,-445.14250104575945,902.8,6.3,31.9
0.26843132269100717,0.15936473066198792,U8,MAD_M6C12,30.937357505580064,54.573059139038534,WPG,WPG,0.3173270295569881,5,-372.41309798362005,944.5,6.3,23.6
0.27312293883321803,0.1503281379238029,U8,MAD_M6C12,10.671510441477672,56.361647375548095,CPG,WPG,0.3357832739144637,4,-240.5778723574197,707.2,3.9,27.5
