iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
4 , 10.29810298102981 , 0.5 , 0.5 , 27 , 73 , 41 , 141 , 3 , 9.155 , 9.155 , 13.245 , 13.245 , 0.709 , 0.954 , 23.602 , -0.38636904394644744 , 33.289 , 0.103 , 81.40033160408736
5 , 10.4 , 0.5 , 0.5 , 24 , 72 , 45 , 141 , 3 , 10.756 , 10.756 , 13.119 , 13.119 , 0.722 , 0.953 , 23.835 , -0.40026467591411685 , 33.012 , 0.103 , 82.87543081240321
4 , 10.5 , 0.5 , 0.5 , 24 , 60 , 30 , 114 , 3 , 10.841 , 10.841 , 18.157 , 18.157 , 0.695 , 0.944 , 24.064 , -0.40362572658163937 , 34.624 , 0.081 , 86.99789780817333
5 , 10.603658536585366 , 0.5 , 0.5 , 24 , 70 , 41 , 135 , 3 , 10.769 , 10.769 , 14.265 , 14.265 , 0.725 , 0.951 , 24.302 , -0.361571295586233 , 33.52 , 0.103 , 84.03381641559096
4 , 10.703448275862069 , 0.5 , 0.5 , 30 , 67 , 29 , 126 , 3 , 7.971 , 7.971 , 17.05 , 17.05 , 0.714 , 0.948 , 24.53 , -0.3655248824656857 , 34.356 , 0.103 , 84.02022707788066
6 , 10.799999999999999 , 0.6 , 0.6 , 18 , 63 , 45 , 126 , 3 , 11.144 , 11.144 , 10.582 , 10.582 , 0.718 , 0.945 , 24.752 , -0.3960202377705524 , 34.474 , 0.103 , 80.72607300001397
6 , 10.89 , 0.5 , 0.5 , 30 , 69 , 30 , 129 , 3 , 7.961 , 7.961 , 16.798 , 16.798 , 0.713 , 0.949 , 24.958 , -0.3007842016703912 , 35.004 , 0.103 , 83.75844165121092
1 , 11.0 , 0.5 , 0.5 , 21 , 56 , 28 , 105 , 3 , 13.063 , 13.063 , 21.151 , 21.151 , 0.668 , 0.939 , 25.21 , -0.4089038060994726 , 37.74 , 0.05 , 90.21438593638632
5 , 11.099099099099098 , 0.6 , 0.6 , 18 , 59 , 37 , 114 , 3 , 11.178 , 11.178 , 12.572 , 12.572 , 0.72 , 0.941 , 25.437 , -0.3838746766511022 , 35.329 , 0.103 , 82.74980876971088
7 , 11.2 , 0.6 , 0.6 , 18 , 54 , 30 , 102 , 3 , 11.226 , 11.226 , 15.042 , 15.042 , 0.685 , 0.937 , 25.669 , -0.4015743056790092 , 37.473 , 0.081 , 84.26772359254426
5 , 11.302083333333334 , 0.5 , 0.5 , 24 , 69 , 36 , 129 , 3 , 10.775 , 10.775 , 16.536 , 16.536 , 0.734 , 0.949 , 25.902 , -0.37233764789861923 , 35.289 , 0.103 , 86.31157227894664
8 , 11.410714285714285 , 0.6 , 0.6 , 18 , 53 , 28 , 99 , 3 , 11.237 , 11.237 , 16.164 , 16.164 , 0.689 , 0.935 , 26.151 , -0.291673880612229 , 37.955 , 0.081 , 85.40019183444643
6 , 11.5 , 0.5 , 0.5 , 24 , 68 , 34 , 126 , 3 , 10.782 , 10.782 , 17.529 , 17.529 , 0.738 , 0.947 , 26.356 , -0.3909830770141254 , 35.713 , 0.103 , 87.31055982549267
5 , 11.614617940199336 , 0.5 , 0.5 , 21 , 71 , 43 , 135 , 3 , 12.925 , 12.925 , 15.596 , 15.596 , 0.75 , 0.948 , 26.619 , -0.2416922862075429 , 35.492 , 0.103 , 87.52145945634832
8 , 11.700980392156863 , 0.6 , 0.6 , 18 , 59 , 34 , 111 , 3 , 11.178 , 11.178 , 14.0 , 14.0 , 0.727 , 0.939 , 26.817 , -0.3797246784772204 , 36.887 , 0.103 , 84.1773759683197
2 , 11.801242236024844 , 0.5 , 0.5 , 21 , 74 , 46 , 141 , 3 , 12.903 , 12.903 , 15.009 , 15.009 , 0.751 , 0.949 , 27.046 , -0.37576264843507245 , 36.013 , 0.103 , 86.91250033932918
4 , 11.902597402597403 , 0.5 , 0.5 , 21 , 73 , 44 , 138 , 3 , 12.911 , 12.911 , 15.607 , 15.607 , 0.753 , 0.949 , 27.279 , -0.36130559255291494 , 36.227 , 0.103 , 87.51741424954065
6 , 12.0 , 0.5 , 0.5 , 24 , 66 , 30 , 120 , 3 , 10.796 , 10.796 , 20.021 , 20.021 , 0.708 , 0.944 , 27.502 , -0.39902022537749837 , 38.845 , 0.081 , 88.81635044198825
3 , 12.088145896656535 , 0.5 , 0.5 , 21 , 76 , 47 , 144 , 3 , 12.89 , 12.89 , 15.036 , 15.036 , 0.754 , 0.95 , 27.704 , -0.2689433802784247 , 36.743 , 0.103 , 86.92607843322946
5 , 12.19047619047619 , 0.5 , 0.5 , 21 , 75 , 45 , 141 , 3 , 12.897 , 12.897 , 15.618 , 15.618 , 0.755 , 0.949 , 27.939 , -0.29141814747164796 , 37.005 , 0.103 , 87.51444040235236
