thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,ac1,ac2,ac3
0.297,0.302,U12,MN8014,14.90581410671046,7.181294985063606,CPG,SSPG,0.125,0.3632368246065512,4.669128193751017,0.7636569268972244,0.0,493.8,5.2,28.7
0.297,0.302,U10,MN8014,14.500181100770874,4.923571010630986,CPG,CPG,0.125,0.426924408360222,3.263747177932097,0.2239271412882415,6.0,641.4,5.5,29.4
0.297,0.302,U12,VT8020,11.516620291989838,4.224641167572311,CPG,CPG,0.125,0.4328084582949235,2.454096401945796,0.0171948885388399,7.0,696.5,4.4,23.8
0.297,0.302,U10,VT8020,14.702276878555342,5.420325457649405,CPG,SSPG,0.125,0.3789083379659071,4.1888201967033245,0.3537946194757118,4.0,631.5,7.2,26.5
0.297,0.302,U8,VT8020,16.70110158978718,4.140725325124393,CPG,CPG,0.125,0.4073199681842856,3.929493133467319,0.0892940371292072,1.0,708.1,6.8,19.1
0.297,0.302,U10,MAD_M6C12,12.821831928556874,6.0564827770627545,CPG,SSPG,0.125,0.4211561319602169,2.7857442269218344,-0.1467800690702867,1.0,838.4,7.5,24.6
0.297,0.302,U8,MAD_M6C12,16.32744493903972,7.005616823491174,WPG,CPG,0.125,0.4047064332889586,2.6450907499008403,0.129997195992684,0.0,684.5,7.8,20.7
0.297,0.302,U8,MAD_M6C12,15.075545205559855,7.195576787533014,CPG,CPG,0.125,0.367198470229693,2.281309248406737,0.0368314582299422,7.0,685.6,6.8,21.6
0.297,0.302,U8,MAD_M6C12,12.398316656149571,6.090337471271388,CPG,SSPG,0.125,0.3388907621801519,3.755021626005028,-0.486064990834431,2.0,996.5,5.1,21.8
0.297,0.302,U10,MAD_M6C12,16.040740804326134,7.448942964114767,CPG,CPG,0.125,0.3668565840221356,3.747236583901892,-0.6973358862249072,1.0,998.6,5.3,22.4
0.297,0.302,U10,MAD_M6C12,9.97984083466022,4.659063754967245,CPG,CPG,0.125,0.4466438608843527,4.9707179801381205,-0.9044572559060896,5.0,976.7,5.1,24.6
0.297,0.302,U10,MAD_M6C12,9.238807143167074,4.769805301143888,CPG,SSPG,0.125,0.3951072946640886,2.6721309820236883,-0.7287848573124581,5.0,737.9,5.1,25.9
0.297,0.302,U10,MAD_M6C12,10.520345360207555,4.042832345857414,CPG,CPG,0.125,0.4058928446474587,4.389480696737756,-0.7539908133533052,7.0,997.1,3.5,31.2
0.297,0.302,U8,MAD_M6C12,14.744036469707002,4.211716944906667,CPG,CPG,0.125,0.4058234337453616,4.153689080171107,-0.7140637795091651,2.0,983.5,4.3,26.2
0.297,0.302,U8,MAD_M6C12,13.480998666528269,4.041090314734087,CPG,CPG,0.125,0.4044228003752171,2.966164375534573,-0.931877341420818,1.0,815.7,4.8,26.9
0.297,0.302,U8,MAD_M6C12,13.545291582527662,4.026029771754533,CPG,CPG,0.125,0.4142191478792633,3.9592459982161454,-0.1452478943405688,7.0,905.5,4.3,21.6
0.297,0.302,U8,MAD_M6C12,14.327276809893876,4.625840463944673,CPG,SSPG,0.125,0.4065450466314823,3.079689604552049,-0.4881026594658859,0.0,734.8,3.7,28.9
0.297,0.302,U8,MAD_M6C12,14.5482255816563,4.032849172063129,CPG,CPG,0.125,0.4168479474913906,3.0222543646251814,-0.4767795539550366,4.0,887.6,5.2,30.4
0.297,0.302,U8,MAD_M6C12,16.135666395822582,4.7386063874837925,WPG,CPG,0.125,0.4267878020761968,2.923083263774151,-0.3489208623707271,7.0,723.6,5.4,35.3
0.297,0.302,U8,MAD_M6C12,15.03401660249792,4.447694174157277,CPG,SSPG,0.125,0.4353839807712184,3.782729685247341,-0.4533665132129956,7.0,844.6,5.8,36.8
0.297,0.302,U8,MAD_M6C12,17.68505174330477,5.421458816842617,WPG,SSPG,0.125,0.4223327733407995,3.9216087642560247,-0.6047731519831919,4.0,922.2,6.1,29.8
0.297,0.302,U8,MAD_M6C12,15.228393095957632,4.490505536997095,WPG,CPG,0.125,0.4191756163999164,2.3663714849842528,-0.567072613228226,0.0,774.6,6.7,36.6
0.297,0.302,U8,MAD_M6C12,13.37309640096852,4.114982750592381,CPG,CPG,0.125,0.4360142344563793,3.4018365562428827,-0.451803639493346,0.0,844.8,6.9,33.1
0.297,0.302,U8,MAD_M6C12,16.67214778008109,4.145908130031264,CPG,CPG,0.125,0.4377315112402974,3.7037267318527967,-0.3069119874708021,5.0,884.2,5.6,29.2
0.297,0.302,U8,MAD_M6C12,14.783431368845466,4.0088509394038985,CPG,CPG,0.125,0.4285600450664647,4.120017133310075,-0.4329588747577235,1.0,861.6,5.7,31.7
0.297,0.302,U8,MAD_M6C12,18.61727330031909,4.009505183983996,WPG,CPG,0.125,0.4168702813164487,3.735268063807964,-0.5200918524268012,0.0,820.7,5.3,32.1
0.297,0.302,U8,MAD_M6C12,17.36151417112578,5.115001633863357,WPG,CPG,0.125,0.4123463537992348,5.244633660978453,-0.6227432125360662,2.0,955.0,5.1,30.5
0.297,0.302,U8,MAD_M6C12,18.624602720832268,4.271848763772778,WPG,CPG,0.125,0.4212682415028023,3.647967311620752,-0.2947107388980847,6.0,907.3,5.6,28.9
0.297,0.302,U8,MAD_M6C12,19.712840261733504,4.010906579296125,WPG,CPG,0.125,0.4347534582597502,3.6599516025438135,-0.3073995690565503,3.0,894.7,5.4,30.7
0.297,0.302,U8,MAD_M6C12,18.647053560349782,5.160504814387021,WPG,SSPG,0.125,0.4227636244138707,3.4785962753327846,-0.2239945164715808,2.0,666.8,5.8,27.9
0.297,0.302,U8,MAD_M6C12,17.933132329605222,4.101199459454685,WPG,CPG,0.125,0.4354262961392736,3.168042771259436,-0.2265476705433753,5.0,737.0,5.0,27.2
0.297,0.302,U8,MAD_M6C12,19.05025189819782,4.550008874637356,WPG,SSPG,0.125,0.4325895096301597,3.555313560118313,-0.1604040087438716,6.0,814.1,4.3,28.3
0.297,0.302,U8,MAD_M6C12,15.469392342104538,4.6233297208288,CPG,SSPG,0.125,0.4129642482808559,3.071483348307985,-0.1128552261827759,7.0,758.1,4.1,23.4
0.297,0.302,U8,MAD_M6C12,18.095040441571648,4.083490550394704,WPG,CPG,0.125,0.4319194901441905,3.6740970568175713,-0.3530679241909602,2.0,836.4,3.0,25.1
0.297,0.302,U8,MAD_M6C12,20.750534463430025,4.564531476135203,WPG,SSPG,0.125,0.4267639385942386,3.681622720186982,-0.4021584505502207,5.0,857.9,4.1,27.0
0.297,0.302,U8,MAD_M6C12,19.463643048721423,4.97350424720678,WPG,SSPG,0.125,0.4200742694125113,3.789401323757477,-0.3253396843634377,2.0,787.8,4.9,26.2
0.297,0.302,U8,MAD_M6C12,18.29405724725545,4.624220167250899,WPG,SSPG,0.125,0.4334866165101402,3.498578694463065,-0.203628707454861,7.0,727.7,5.8,23.3
0.297,0.302,U8,MAD_M6C12,19.59328790812696,4.031822131672898,WPG,CPG,0.125,0.436151457637296,2.408520249360383,-0.0991266746653825,2.0,765.5,5.7,27.7
0.297,0.302,U8,MAD_M6C12,17.952640311953655,4.008499300211276,WPG,CPG,0.125,0.4399302230780555,2.8107933779367267,0.2100648666225584,6.0,741.8,5.4,26.4
0.297,0.302,U8,MAD_M6C12,19.559209222819916,4.23241653321347,WPG,CPG,0.125,0.4320962689121232,2.9774012240886942,0.1756465308382939,6.0,786.8,5.4,22.1
0.297,0.302,U8,MAD_M6C12,19.31473018018048,4.042322435756731,WPG,CPG,0.125,0.4306215960234275,3.004220302838018,0.1735312777974003,5.0,750.5,5.7,25.6
0.297,0.302,U8,MAD_M6C12,21.221214403903925,4.93338988228394,WPG,CPG,0.125,0.4225843325293494,4.227993510648444,-0.1644564346426684,5.0,911.0,4.7,25.7
0.297,0.302,U8,MAD_M6C12,21.419730860933768,4.639663952508433,WPG,SSPG,0.125,0.4355919527401398,3.222649729709807,0.1685208616030769,1.0,821.9,5.5,28.9
0.297,0.302,U8,MAD_M6C12,22.553510127104985,5.061381729531538,WPG,CPG,0.125,0.4253269470219227,4.2783992298767135,0.0855408788358835,2.0,883.3,5.8,30.6
