thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,4,3.4684931012632076,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39857572769163097,4.430756218391956,0.14147621432193458,2,3.346428880653591,530.0,5.0,28.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44952807741238343,5.130991468615252,0.5344909829770739,1,2.9815108496962988,438.1,4.5,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4555834340207445,4.492182755202898,0.055031731935403005,2,2.962248660623301,581.0,6.1,34.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5069589434617098,3.425293230393117,0.44501634626528475,1,2.8892667253883224,482.4,6.7,37.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5455000518380331,2.260806748616733,-0.16791042910508702,6,0.2962597101020066,242.4,6.7,36.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5539450161704962,2.1126757910721112,0.6085339298019181,1,-1.6553912954124481,173.5,6.9,28.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5489783816007577,1.3557914976722496,-0.2114373378386385,5,-2.225011023443117,86.7,9.1,34.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4683231333778017,2.650993311629925,-0.20033052331354595,4,-1.5654797730132883,224.9,8.6,38.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4948686905233768,3.157430065996034,1.4253164152490023,3,-0.9872409100769763,105.2,8.0,30.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5380581679589038,2.5973248051198397,1.250250393103964,0,-1.046142453118581,58.2,9.7,34.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38177293974262555,4.728568594406734,-0.37854394228587807,1,-1.8646310066396223,126.5,9.6,37.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4652048099362674,0.954026176043413,-0.04258599939165619,0,-1.5236994338838337,142.8,8.5,33.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4155488174816801,2.5555744637682305,0.06398518350428262,1,-1.4060682185448716,50.0,7.0,40.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5362905616248039,0.5870066188453607,0.9078044355651049,3,-1.1616658684074301,118.4,5.9,37.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.47737799701799305,1.8966104477492403,0.41961671985912474,7,-1.193062688707337,57.3,3.1,35.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44506271315139617,2.9024492846735828,-0.04434868796860281,3,-1.856095048659159,51.4,5.1,37.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.48082499410682944,2.9687140273857953,-1.378290341830593,2,-1.2410517271582555,110.5,7.3,34.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5603628738488806,4.6597051522498125,-1.0512477595106233,4,-1.6530229794347342,81.5,7.8,27.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.493739337705413,2.0637727527075316,-0.015351194774211985,4,-1.5786617266345961,50.3,8.1,38.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4560013878182435,1.8677687526033147,0.6465058600760911,7,-1.1209091946116598,63.1,3.4,44.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4505539123977951,2.05289949960389,0.05121224734755048,7,-1.6555915432151476,64.2,6.8,39.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4518892599920683,1.508201724098843,0.1220838990971036,0,-2.0853819257271367,154.2,7.6,35.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4016694095529094,2.319629534112257,0.11946613929096794,5,-1.8583739279664335,85.5,6.5,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4337360851869619,2.4499518202651456,0.2857556318073735,5,-1.4847870827497984,98.1,6.2,26.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4461426642163009,3.4304338683434215,-0.4989174078613057,1,-2.7041260054056444,138.3,7.2,29.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.41362410762426643,3.2392103762943036,-0.41218074285886086,4,-2.9160030987851777,188.5,6.2,35.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.43755529332118087,2.27814907133097,0.30497000988717415,1,-2.899424898491909,221.1,7.2,28.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4629067458903246,1.7250989089363558,0.2473924038235693,2,-2.2311729280953343,291.3,6.4,28.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.46093391709478393,1.6074957852149654,-0.4634185521369927,7,-1.605478683489747,107.8,6.5,25.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.49546253133609497,1.128246175115776,-0.4461687242975916,3,-1.372200816972547,202.7,7.0,30.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.46361338967703514,1.5321926632196412,-0.3651840172062102,5,-2.4367791091684867,282.6,7.0,24.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.42593766840916236,1.7212434828254457,-0.5164894010252596,4,-3.251482629761995,313.6,7.0,20.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3785870532374618,1.5742684012673935,-0.42432463022582145,0,-2.137050738582828,388.2,7.7,22.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.33293491816246545,1.5714985779112305,-0.3593590295456257,0,-4.37572732103043,501.1,7.7,25.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3198135650348827,1.2660316806663547,-1.3244470865018165,6,-4.359229825789862,729.3,9.5,10.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.339734125512224,0.5687270132160833,0.10276282507707268,4,-2.329260909091178,819.5,9.9,21.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4931419226109779,2.678507290106071,-1.1161074982004748,1,-2.7570705468624563,248.3,9.1,21.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4114877426565946,1.4238724787812698,0.19569325998739906,3,-2.834917205350734,369.5,8.9,30.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39475483202895567,1.0799484020350385,0.19567668673167482,0,-2.153498793152017,563.0,7.8,30.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4738673189636028,1.4903263261010506,-0.3453554939522707,4,-2.638077418565509,362.8,6.8,28.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4357680335789569,1.5096717885262474,-0.41584210784386877,6,-2.877697169367283,363.7,9.6,23.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4877838313985598,1.343222684942754,-0.8578541975721037,7,-2.437802687405018,397.1,9.8,21.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4641372935148514,2.441259621409108,-0.5845095832968531,1,-2.9401321503950273,245.6,8.2,29.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.547786957302371,2.3576862630938065,-0.9477985218236628,5,-1.7925529416029655,128.2,8.3,25.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.48141856689218,2.407043311032466,-0.7392965702747774,4,-2.792765563060498,215.5,9.0,25.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4694399963270253,2.5355449969496853,-0.9190044905109455,3,-2.9145410972835735,286.7,9.2,27.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44833585950223476,2.1050097675421826,-0.561374710306388,4,-2.7176276300406808,339.9,7.9,28.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44874296217901866,1.999196547625375,-0.5259550791033032,2,-2.9886882144855416,311.4,9.6,29.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.47356172812303565,2.024126161971964,-0.7500834468078652,4,-2.8691909181270265,347.2,8.6,27.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.45240781812866226,1.7281864362848323,-0.9668373647908345,7,-2.841640895767821,388.3,9.4,20.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.46309124955980996,2.3146699684927157,-0.8138234073996379,0,-2.910806153060076,296.5,8.0,24.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44854459755892906,1.9405817464187205,-0.8312834964171983,6,-2.984651905643959,360.7,8.0,24.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4143296346022528,1.3590935662949764,-0.4424475271458832,5,-3.3419126674091397,472.2,7.2,24.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4362067694124537,1.739027593469193,-0.3341312121708784,5,-2.8916963658981105,331.7,6.9,26.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4229177795115041,1.7659299801505512,-0.6165763574025259,3,-3.054239927783638,349.1,8.1,16.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4020401471602752,1.3764221990020005,-0.6469034499704296,0,-3.0395052542178442,433.3,7.7,15.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3730582769041241,1.4092789223356754,-0.2858028312926355,2,-4.0450472980984795,463.6,8.2,21.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39219887386328406,1.6292252239734473,-0.535579677602579,1,-3.5581747634819116,394.6,8.1,14.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3658910164412214,1.441272354670994,-0.6600937327054902,1,-4.249628674025061,471.9,8.0,11.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3403253026937603,1.3400988743997868,-0.7364614802513644,6,-4.463833357392186,546.8,7.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.33262794602426626,1.380835263597906,-0.778212755529109,7,-4.457486703726867,536.3,6.7,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.36118550952437783,1.6012512167423694,-0.4275160099574673,4,-4.2212460358753505,398.2,8.7,14.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.41555784230640824,1.7951472615164576,-1.1111472065549646,1,-3.090120965458836,360.2,7.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3881438777675051,1.7562848969129825,-0.9342011042470361,1,-3.4539093514570656,395.4,8.9,10.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3572190270592225,1.752542686503714,-0.807634304815347,0,-4.303846965272253,406.9,7.5,12.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4233830902641879,2.300996289988828,-1.1773381760912593,1,-3.5336500910452857,234.2,7.0,10.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3617233245116922,1.7381867880206663,-0.8013404003579251,1,-4.163816892388629,364.1,7.4,10.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38984109297605923,1.9025584449418447,-1.212864318861867,7,-3.977235545871162,338.0,6.5,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38269674927760033,1.8446772862582115,-1.1208183847059658,2,-4.009767551005013,344.4,6.8,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3528131228521161,1.7421073376609368,-0.9583132034029979,0,-4.348145693042778,411.6,6.7,10.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39071749700815506,1.6909008067663989,-0.8380226539118987,6,-3.9719822823171516,379.9,7.3,12.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3866370254162817,1.8109140164908246,-0.916216136338148,1,-3.8207682803081884,347.2,7.5,10.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3476379996434104,1.626273060755174,-0.7105145637985493,0,-4.420094952620923,430.8,6.5,12.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.366272224379024,1.5715472772242052,-0.6482738406351995,2,-4.199128364069684,409.5,6.9,10.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.36268333529471297,1.548085894209147,-0.5603736063720701,0,-4.311005121750461,417.4,7.1,12.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.34479604677521075,1.4299327606381074,-0.5829196970392578,6,-4.149816425804255,471.9,7.2,11.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3367951128363232,1.5469883275980814,-0.523944711296809,6,-4.406826648250257,452.5,7.2,12.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.32783372259073046,1.4944764467486498,-0.6410172841430611,2,-4.467054948180533,506.7,7.0,12.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3326684760129026,1.4714357546143095,-0.64042050172816,2,-4.480070338815356,488.2,6.8,11.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.32341243469200714,1.4322420985387554,-0.5616175228368836,5,-4.496273885286384,507.3,6.7,11.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3352589239805388,1.4934416444771716,-0.6441154589236685,3,-4.478829314254667,471.0,6.7,10.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3253833226070171,1.4820089752833447,-0.5587877555720995,5,-4.470635954509849,479.3,6.3,11.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.31419105451625007,1.5138785618324582,-0.5846711846569286,3,-4.513106950699543,493.6,6.2,11.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.301013665633152,1.4521274884135362,-0.5858754543182297,3,-4.537962364009372,530.4,5.6,11.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.318473830136047,1.5735526777038706,-0.7727356770270956,5,-4.515550574625449,480.1,6.1,10.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3241883857142135,1.6567978579032225,-0.7849029414534064,0,-4.4857078102548105,452.4,6.1,11.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3108247982662744,1.5882389621346205,-0.6672861860660879,2,-4.513020370222686,483.4,5.6,12.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3050189891915832,1.6105092982580906,-0.697537533485331,3,-4.51283761402996,485.2,5.4,12.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3104327701755423,1.6481083990536063,-0.653536832266286,4,-4.522688240719636,462.1,5.8,12.8
