thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.37989319480740086,5.712427207745229,0.01858102168102027,4,5.549588962021133,515.5,5.0,29.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39857572769163097,4.430756218391956,0.14147621432193458,2,5.354286209045744,530.0,5.0,28.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44952807741238343,5.130991468615252,0.5344909829770739,1,4.7704173595140755,438.1,4.5,31.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4555834340207445,4.492182755202898,0.055031731935403005,2,4.739597856997281,581.0,6.1,34.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5069589434617098,3.425293230393117,0.44501634626528475,1,4.622826760621317,482.4,6.7,37.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5455000518380331,2.260806748616733,-0.16791042910508702,6,1.6573834658350095,242.4,6.7,36.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4418170157112303,1.1118232748099528,-0.02919518441614133,3,-0.838277532293916,78.4,6.9,41.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5001920636249108,1.786652533635151,0.14871292653436918,3,-1.576264930358432,71.3,8.4,39.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4863704267561506,1.2021661935567085,0.22061537430067668,7,-1.375526779955706,181.7,7.4,37.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4213127281457739,1.2162698656628648,-0.6881341834055065,1,-0.9579376182546392,188.1,9.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.44881694953205725,0.8913337242072461,0.4859096957922304,4,-1.1291939191630467,241.2,7.5,25.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.340505615427214,1.3241471444870534,-0.2409934624182637,0,-0.6385760335659366,91.2,9.5,36.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3714669561342866,4.079417072686345,-0.7287914002577114,0,-0.8153260075965679,53.2,9.6,39.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3303989516202283,4.336468100552517,-0.2958495243491137,7,-0.9596768955575018,55.6,9.4,35.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.34982324573051327,2.744088691717158,-0.8487825375399437,7,-0.7714730560920072,163.2,8.9,45.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.31914461800958693,1.469570011985579,-0.36222905466461586,2,-0.7731987153473678,175.0,9.3,38.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4101995693138991,3.893960917679321,-0.9088051543099711,0,-0.8061325877117752,71.8,9.8,50.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5297655442832429,2.4581207164620333,-1.5615726478591643,4,-0.98380104784035,82.7,8.3,43.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5058975473017984,3.6259760048695524,-1.0876862612453295,0,-0.9897696445051862,50.2,9.0,43.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5211742526319093,5.196175332605906,-1.45608926911527,3,-0.9757653552874084,83.0,8.4,43.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5061881465447434,4.541184447159944,-1.2429378231371153,0,-1.0296930883951583,108.4,7.8,49.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5359053481753109,3.0440026818111625,-1.523375834800268,7,-1.085950966838489,131.3,10.0,47.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.47829648919386003,0.8185309334796281,-1.4674958092446793,7,-0.8678400628975249,211.0,6.7,48.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5367555234703381,0.26864621151823437,-1.562437774950178,4,-1.0602340003591957,384.7,7.6,47.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.5371151521626858,1.5532598258983987,-1.5394557990010984,6,-1.0603821350514693,301.6,9.3,48.7
