Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,3.316839027046472,16.447248307172206,0.3300453125570725,0.16456070359545602,0c065860,9.538786474493751,518.6,7.4,29.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,3.009818584057507,16.447248307172206,0.3300453125570725,0.16456070359545602,0c065860,9.538786474493751,518.6,7.4,29.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,3.303962630720207,16.447248307172206,0.3300453125570725,0.16456070359545602,0c065860,9.538786474493751,518.6,7.4,29.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,3.311746358626949,16.447248307172206,0.3300453125570725,0.16456070359545602,0c065860,9.538786474493751,518.6,7.4,29.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,3.3192635353593802,16.447248307172206,0.3300453125570725,0.16456070359545602,0c065860,9.538786474493751,518.6,7.4,29.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,3.640090589382703,17.145019316942903,0.3401296172706692,0.18762551896567947,9f48a35d,9.830883923253142,539.9,5.8,27.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,3.5831426990175443,17.145019316942903,0.3401296172706692,0.18762551896567947,9f48a35d,9.830883923253142,539.9,5.8,27.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,3.5532448874813762,17.145019316942903,0.3401296172706692,0.18762551896567947,9f48a35d,9.830883923253142,539.9,5.8,27.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,3.5535978790169755,17.145019316942903,0.3401296172706692,0.18762551896567947,9f48a35d,9.830883923253142,539.9,5.8,27.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3500986652880233,3.5872096449515465,17.145019316942903,0.3401296172706692,0.18762551896567947,9f48a35d,9.830883923253142,539.9,5.8,27.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,2.627475484555113,15.840062038589853,0.3171967839214216,0.1395311372288113,41cec872,9.319322364481735,726.4,3.5,32.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,2.7374595721151427,15.840062038589853,0.3171967839214216,0.1395311372288113,41cec872,9.319322364481735,726.4,3.5,32.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,2.534531547620676,15.840062038589853,0.3171967839214216,0.1395311372288113,41cec872,9.319322364481735,726.4,3.5,32.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,2.7419228214175044,15.840062038589853,0.3171967839214216,0.1395311372288113,41cec872,9.319322364481735,726.4,3.5,32.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,2.867833953238131,15.840062038589853,0.3171967839214216,0.1395311372288113,41cec872,9.319322364481735,726.4,3.5,32.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,2.9225319647078365,15.821993567039728,0.31892604876171304,0.14272196288088357,7a4d7fa0,9.285242078409647,617.7,5.1,28.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,2.3499318902843362,15.821993567039728,0.31892604876171304,0.14272196288088357,7a4d7fa0,9.285242078409647,617.7,5.1,28.5
