thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.37989319480740086,6,8.351420437176778,617.7,5.1,28.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4026596731281307,7,8.036760682764875,664.8,4.5,33.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.43934156670552804,2,7.535774569929451,486.0,5.5,39.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.4813873452728533,6,7.1049463437734195,321.7,4.6,41.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5999142448536829,3,5.7360177611774565,498.0,5.7,35.2
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5987741887982887,2,5.7360177611774565,297.7,6.1,32.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.49980160177847177,6,7.096488802611795,630.8,6.2,41.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5929548500173234,7,5.7360177611774565,450.2,4.7,50.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5998923078952378,3,5.7360177611774565,513.4,5.7,49.4
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5324057871267807,7,7.12001608293241,186.1,4.9,40.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5970538249329684,7,5.7360177611774565,471.3,2.5,45.2
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5901745379226436,2,5.7360177611774565,510.0,3.5,44.9
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.45535333735557737,1,5.386510502253513,50.3,7.9,43.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5999599426332741,1,5.7360177611774565,680.3,7.7,50.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5871825599005706,0,6.287034027063377,357.9,6.7,30.9
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.45917201458905865,3,5.41262056014959,50.7,6.9,38.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5999984036524424,5,5.7360177611774565,591.9,4.5,36.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5973899742092345,0,5.7360177611774565,811.9,4.4,40.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5912597422925769,3,5.7360177611774565,474.0,9.8,49.2
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5999726938066592,0,5.7360177611774565,609.8,10.0,45.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5967844079501929,0,5.7360177611774565,653.2,9.1,47.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5949277791964498,0,5.7360177611774565,582.1,6.9,49.5
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.599870813358854,0,5.7360177611774565,827.7,5.9,48.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.59475342986569,0,5.7360177611774565,816.5,4.7,48.1
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5918452281457373,0,5.7360177611774565,913.1,3.3,49.6
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5895879704991334,0,5.7360177611774565,763.9,0.4,42.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5992974733785231,0,5.7360177611774565,726.5,0.1,43.3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5925075550397063,0,5.7360177611774565,644.6,3.8,49.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5991773004015998,0,5.7360177611774565,690.7,3.9,49.0
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.125,0.5960347494952932,0,5.7360177611774565,442.5,4.2,47.5
Time taken (seconds)
2026-03-22 15:29:12
