Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,ori_l,ori_theta,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5317019625597268,1.177657488424496,-1.2543824718871646,10.356350529072573,0.004466038780493928,1.1940061982745753e-07,0.08974606339459439,fea240da,-0.8052582492220776,51.9,9.4,40.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5317019625597268,1.177657488424496,-1.2543824718871646,9.811350484288193,0.004466038780493928,1.1940061982745753e-07,0.08974606339459439,fea240da,-0.8052582492220776,51.9,9.4,40.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5317019625597268,1.177657488424496,-1.2543824718871646,10.319441639394709,0.004466038780493928,1.1940061982745753e-07,0.08974606339459439,fea240da,-0.8052582492220776,51.9,9.4,40.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316668187388186,1.105641283201832,-1.3030166295313357,10.325550493949994,0.004465562552644113,1.1027486322545949e-07,0.08974503117965389,8925cb87,-0.8052492212129305,50.9,9.2,41.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316668187388186,1.105641283201832,-1.3030166295313357,10.251312488274381,0.004465562552644113,1.1027486322545949e-07,0.08974503117965389,8925cb87,-0.8052492212129305,50.9,9.2,41.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316668187388186,1.105641283201832,-1.3030166295313357,10.245731872314082,0.004465562552644113,1.1027486322545949e-07,0.08974503117965389,8925cb87,-0.8052492212129305,50.9,9.2,41.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316668187388186,1.105641283201832,-1.3030166295313357,10.016176878128498,0.004465562552644113,1.1027486322545949e-07,0.08974503117965389,8925cb87,-0.8052492212129305,50.9,9.2,41.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316668187388186,1.105641283201832,-1.3030166295313357,10.235980400743651,0.004465562552644113,1.1027486322545949e-07,0.08974503117965389,8925cb87,-0.8052492212129305,50.9,9.2,41.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316665654400213,1.1986877126002327,-1.3035361930272864,10.389674633676828,0.004465559120247105,1.1020911395544786e-07,0.08974502372219836,cc360dfc,-0.8052491559836492,53.3,9.2,42.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316665654400213,1.1986877126002327,-1.3035361930272864,10.305760765998945,0.004465559120247105,1.1020911395544786e-07,0.08974502372219836,cc360dfc,-0.8052491559836492,53.3,9.2,42.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316665654400213,1.1986877126002327,-1.3035361930272864,10.26612971085233,0.004465559120247105,1.1020911395544786e-07,0.08974502372219836,cc360dfc,-0.8052491559836492,53.3,9.2,42.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.5316665654400213,1.1986877126002327,-1.3035361930272864,10.107620954810868,0.004465559120247105,1.1020911395544786e-07,0.08974502372219836,cc360dfc,-0.8052491559836492,53.3,9.2,42.5
