Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001423426754925,6.010398301500293,28.776972141159582,0.4502194937058684,0.3900170578287446,dbda8926,1.3439871678587316,697.7,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001423426754925,5.9981670390295525,28.776972141159582,0.4502194937058684,0.3900170578287446,dbda8926,1.3439871678587316,697.7,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001423426754925,6.0449574143220035,28.776972141159582,0.4502194937058684,0.3900170578287446,dbda8926,1.3439871678587316,697.7,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001424205400573,6.050770048738884,28.234437035278976,0.44745696680539876,0.39045556064881537,18d47a82,1.201775849087518,698.3,2.4,27.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001424205400573,6.016824291755861,28.234437035278976,0.44745696680539876,0.39045556064881537,18d47a82,1.201775849087518,698.3,2.4,27.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001424205400573,6.017487534131539,28.234437035278976,0.44745696680539876,0.39045556064881537,18d47a82,1.201775849087518,698.3,2.4,27.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001424205400573,6.027719962794658,28.234437035278976,0.44745696680539876,0.39045556064881537,18d47a82,1.201775849087518,698.3,2.4,27.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001424205400573,5.993000691088089,28.234437035278976,0.44745696680539876,0.39045556064881537,18d47a82,1.201775849087518,698.3,2.4,27.8
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000142372651456,6.042242798661835,28.234432212800765,0.4474569449144574,0.39045560077412217,69771a42,1.2017740415883633,697.8,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000142372651456,5.881913773576306,28.234432212800765,0.4474569449144574,0.39045560077412217,69771a42,1.2017740415883633,697.8,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000142372651456,5.996446443371915,28.234432212800765,0.4474569449144574,0.39045560077412217,69771a42,1.2017740415883633,697.8,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000142372651456,5.994471040077978,28.234432212800765,0.4474569449144574,0.39045560077412217,69771a42,1.2017740415883633,697.8,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000142372651456,6.043112343309817,28.234432212800765,0.4474569449144574,0.39045560077412217,69771a42,1.2017740415883633,697.8,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001423140087075,5.770886891860456,28.77696916116413,0.4502194817555595,0.39001708595469375,0ea026a2,1.34398600097063,697.7,2.4,27.7
0.297,0.302,VT8020,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001423140087075,5.830723252986437,28.77696916116413,0.4502194817555595,0.39001708595469375,0ea026a2,1.34398600097063,697.7,2.4,27.7
