iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
7 , 33.0 , 0.8 , 0.8 , 24 , 36 , 28 , 96 , 88 , 4 , 5.441 , 33.202 , 40.143 , 33.202 , 40.143 , 1.598 , 0.786 , 126.051 , 0.00042836312421123957 , 78.88 , 0.081 , 159.34554296447456
5 , 33.142857142857146 , 0.5 , 0.5 , 70 , 40 , 35 , 150 , 145 , 5 , 2.92 , 43.392 , 47.835 , 43.392 , 47.835 , 1.787 , 0.73 , 126.596 , 0.10087882078516486 , 70.843 , 0.103 , 178.22636328985178
2 , 33.291666666666664 , 0.5 , 0.5 , 48 , 51 , 42 , 150 , 141 , 3 , 7.413 , 69.174 , 78.44 , 69.174 , 78.44 , 1.962 , 0.818 , 127.165 , 0.09916645391753842 , 64.814 , 0.081 , 233.6141077343043
2 , 33.476190476190474 , 0.6 , 0.6 , 18 , 57 , 36 , 132 , 111 , 3 , 18.66 , 53.758 , 71.645 , 53.758 , 71.645 , 1.794 , 0.881 , 127.87 , 0.001782442154771302 , 71.276 , 0.05 , 209.40301153295957
2 , 33.476190476190474 , 0.6 , 0.6 , 18 , 57 , 36 , 132 , 111 , 3 , 18.66 , 53.758 , 71.645 , 53.758 , 71.645 , 1.794 , 0.881 , 127.87 , 0.001782442154771302 , 71.276 , 0.05 , 209.40301153295957
4 , 33.583333333333336 , 0.7 , 0.7 , 24 , 39 , 30 , 102 , 93 , 3 , 9.43 , 54.427 , 66.013 , 54.427 , 66.013 , 1.715 , 0.803 , 128.279 , 0.027808924555651426 , 74.798 , 0.05 , 204.43945137403827
2 , 33.785714285714285 , 0.5 , 0.5 , 21 , 66 , 42 , 153 , 129 , 3 , 21.609 , 66.474 , 86.711 , 66.474 , 86.711 , 1.93 , 0.895 , 129.052 , 0.03726476278244539 , 66.866 , 0.05 , 237.1854480174867
2 , 33.785714285714285 , 0.5 , 0.5 , 21 , 66 , 42 , 153 , 129 , 3 , 21.609 , 66.474 , 86.711 , 66.474 , 86.711 , 1.93 , 0.895 , 129.052 , 0.03726476278244539 , 66.866 , 0.05 , 237.1854480174867
3 , 34.0 , 0.6 , 0.6 , 30 , 51 , 39 , 132 , 120 , 3 , 9.342 , 55.528 , 66.117 , 55.528 , 66.117 , 1.848 , 0.845 , 129.87 , 0.043751970668082674 , 70.276 , 0.081 , 207.6443904199694
3 , 34.0 , 0.6 , 0.6 , 30 , 51 , 39 , 132 , 120 , 3 , 9.342 , 55.528 , 66.117 , 55.528 , 66.117 , 1.848 , 0.845 , 129.87 , 0.043751970668082674 , 70.276 , 0.081 , 207.6443904199694
3 , 34.09090909090909 , 0.5 , 0.5 , 66 , 45 , 39 , 156 , 150 , 6 , 2.587 , 34.905 , 38.519 , 34.905 , 38.519 , 1.766 , 0.761 , 130.218 , 0.07281138108977037 , 73.736 , 0.128 , 160.42470803709944
5 , 34.22222222222222 , 0.6 , 0.6 , 45 , 35 , 30 , 115 , 110 , 5 , 3.406 , 41.665 , 46.9 , 41.665 , 46.9 , 1.679 , 0.722 , 130.719 , 0.07035577873646959 , 77.855 , 0.081 , 174.56478893190985
4 , 34.34615384615385 , 0.5 , 0.5 , 39 , 57 , 45 , 153 , 141 , 3 , 9.504 , 68.937 , 79.73 , 68.937 , 79.73 , 1.984 , 0.85 , 131.193 , 0.08517569695770211 , 66.126 , 0.081 , 234.66693120467033
4 , 34.34615384615385 , 0.5 , 0.5 , 39 , 57 , 45 , 153 , 141 , 3 , 9.504 , 68.937 , 79.73 , 68.937 , 79.73 , 1.984 , 0.85 , 131.193 , 0.08517569695770211 , 66.126 , 0.081 , 234.66693120467033
5 , 34.54545454545455 , 0.6 , 0.6 , 33 , 45 , 36 , 123 , 114 , 3 , 8.284 , 61.781 , 72.083 , 61.781 , 72.083 , 1.866 , 0.812 , 131.954 , 0.07218287255013123 , 70.715 , 0.081 , 219.86356074279936
5 , 34.54545454545455 , 0.6 , 0.6 , 33 , 45 , 36 , 123 , 114 , 3 , 8.284 , 61.781 , 72.083 , 61.781 , 72.083 , 1.866 , 0.812 , 131.954 , 0.07218287255013123 , 70.715 , 0.081 , 219.86356074279936
5 , 34.75555555555555 , 0.5 , 0.5 , 45 , 51 , 42 , 147 , 138 , 3 , 8.008 , 73.735 , 83.603 , 73.735 , 83.603 , 2.001 , 0.817 , 132.756 , 0.11272177612546186 , 66.345 , 0.081 , 243.33833264184906
3 , 34.8 , 0.5 , 0.5 , 40 , 58 , 46 , 156 , 144 , 4 , 6.9 , 51.309 , 59.111 , 51.309 , 59.111 , 1.869 , 0.851 , 132.926 , 0.04692286782554511 , 71.121 , 0.081 , 196.42051530217927
4 , 34.97142857142857 , 0.6 , 0.6 , 21 , 51 , 36 , 123 , 108 , 3 , 15.19 , 61.167 , 76.817 , 61.167 , 76.817 , 1.832 , 0.858 , 133.581 , 0.029426233708064076 , 72.915 , 0.05 , 221.98356085337716
5 , 35.0 , 0.7 , 0.7 , 18 , 42 , 30 , 102 , 90 , 3 , 13.935 , 55.787 , 70.935 , 55.787 , 70.935 , 1.743 , 0.83 , 133.69 , 0.018937454699817113 , 76.701 , 0.05 , 210.72204433229615
3 , 35.1 , 0.6 , 0.6 , 24 , 54 , 39 , 132 , 117 , 3 , 12.611 , 56.878 , 69.925 , 56.878 , 69.925 , 1.875 , 0.862 , 134.072 , 0.04105778300347307 , 71.505 , 0.081 , 212.8029359109393
3 , 35.2 , 0.6 , 0.6 , 18 , 48 , 33 , 114 , 99 , 3 , 18.825 , 66.896 , 86.135 , 66.896 , 86.135 , 1.832 , 0.854 , 134.454 , 0.03254714311251927 , 73.392 , 0.038 , 237.03085011063718
4 , 35.285714285714285 , 0.5 , 0.5 , 21 , 57 , 39 , 135 , 117 , 3 , 21.754 , 79.978 , 101.224 , 79.978 , 101.224 , 1.969 , 0.874 , 134.782 , 0.06390757483770704 , 68.452 , 0.038 , 265.20198821819815
8 , 35.357142857142854 , 0.7 , 0.7 , 21 , 45 , 33 , 111 , 99 , 3 , 11.235 , 51.269 , 63.565 , 51.269 , 63.565 , 1.788 , 0.836 , 135.054 , 0.03020875429008596 , 75.534 , 0.081 , 200.83419290862284
4 , 35.46666666666667 , 0.5 , 0.5 , 27 , 57 , 42 , 141 , 126 , 3 , 15.423 , 77.102 , 93.102 , 77.102 , 93.102 , 1.98 , 0.865 , 135.473 , 0.07379832855311519 , 68.421 , 0.05 , 254.20432192885707
7 , 35.65 , 0.6 , 0.6 , 40 , 46 , 38 , 132 , 124 , 4 , 4.846 , 44.534 , 50.731 , 44.534 , 50.731 , 1.806 , 0.799 , 136.173 , 0.06062272313026018 , 75.4 , 0.103 , 182.26524127506718
5 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 5.723 , 40.94 , 48.164 , 40.94 , 48.164 , 1.699 , 0.791 , 136.419 , 0.03060997210375449 , 80.294 , 0.081 , 175.10467381631528
4 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 5.723 , 40.94 , 48.164 , 40.94 , 48.164 , 1.699 , 0.791 , 136.419 , 0.03060997210375449 , 80.294 , 0.081 , 175.10467381631528
2 , 36.0 , 0.6 , 0.6 , 18 , 54 , 36 , 126 , 108 , 3 , 18.71 , 61.044 , 79.076 , 61.044 , 79.076 , 1.856 , 0.869 , 137.51 , 0.03006892239772696 , 74.089 , 0.05 , 224.12041745693045
2 , 36.0 , 0.6 , 0.6 , 18 , 54 , 36 , 126 , 108 , 3 , 18.71 , 61.044 , 79.076 , 61.044 , 79.076 , 1.856 , 0.869 , 137.51 , 0.03006892239772696 , 74.089 , 0.05 , 224.12041745693045
2 , 36.0 , 0.6 , 0.6 , 18 , 54 , 36 , 126 , 108 , 3 , 18.71 , 61.044 , 79.076 , 61.044 , 79.076 , 1.856 , 0.869 , 137.51 , 0.03006892239772696 , 74.089 , 0.05 , 224.12041745693045
2 , 36.0 , 0.6 , 0.6 , 18 , 54 , 36 , 126 , 108 , 3 , 18.71 , 61.044 , 79.076 , 61.044 , 79.076 , 1.856 , 0.869 , 137.51 , 0.03006892239772696 , 74.089 , 0.05 , 224.12041745693045
4 , 36.416666666666664 , 0.7 , 0.7 , 24 , 38 , 30 , 100 , 92 , 4 , 7.083 , 45.511 , 54.232 , 45.511 , 54.232 , 1.67 , 0.787 , 139.101 , 0.023856729934649823 , 83.294 , 0.05 , 183.7430875522773
