iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
4 , 31.875 , 0.6 , 0.6 , 24 , 45 , 33 , 114 , 102 , 3 , 11.457 , 55.026 , 68.252 , 55.026 , 68.252 , 1.441 , 0.839 , 109.578 , -0.08673072337741516 , 76.043 , 0.05 , 204.77750315143663
2 , 32.0 , 0.5 , 0.5 , 27 , 54 , 39 , 135 , 120 , 3 , 13.917 , 65.581 , 80.647 , 65.581 , 80.647 , 1.55 , 0.865 , 110.008 , -0.06819723223440377 , 70.973 , 0.05 , 227.72729027172636
2 , 32.111111111111114 , 0.6 , 0.6 , 18 , 51 , 33 , 120 , 102 , 3 , 16.888 , 51.62 , 68.757 , 51.62 , 68.757 , 1.442 , 0.869 , 110.39 , -0.10641455184219994 , 76.553 , 0.05 , 201.87713690256754
4 , 32.111111111111114 , 0.6 , 0.6 , 18 , 51 , 33 , 120 , 102 , 3 , 16.888 , 51.62 , 68.757 , 51.62 , 68.757 , 1.442 , 0.869 , 110.39 , -0.10641455184219994 , 76.553 , 0.05 , 201.87713690256754
3 , 32.30769230769231 , 0.5 , 0.5 , 52 , 48 , 40 , 148 , 140 , 4 , 4.569 , 46.336 , 52.339 , 46.336 , 52.339 , 1.486 , 0.803 , 111.066 , -0.047964591224041175 , 74.742 , 0.081 , 182.17502568404606
5 , 32.5 , 0.6 , 0.6 , 32 , 40 , 32 , 112 , 104 , 4 , 5.862 , 43.964 , 51.741 , 43.964 , 51.741 , 1.359 , 0.794 , 111.727 , -0.0836400418825129 , 82.213 , 0.05 , 177.20525521686193
5 , 32.5 , 0.6 , 0.6 , 32 , 40 , 32 , 112 , 104 , 4 , 5.862 , 43.964 , 51.741 , 43.964 , 51.741 , 1.359 , 0.794 , 111.727 , -0.0836400418825129 , 82.213 , 0.05 , 177.20525521686193
5 , 32.57142857142857 , 0.7 , 0.7 , 28 , 38 , 30 , 104 , 96 , 4 , 5.166 , 35.187 , 41.95 , 35.187 , 41.95 , 1.34 , 0.791 , 111.972 , -0.08767557830661016 , 83.561 , 0.081 , 160.63689527847959
1 , 32.6530612244898 , 0.5 , 0.5 , 21 , 60 , 39 , 141 , 120 , 3 , 19.531 , 63.291 , 82.293 , 63.291 , 82.293 , 1.564 , 0.886 , 112.253 , -0.07741492298740671 , 71.773 , 0.05 , 227.08373261083494
4 , 32.888888888888886 , 0.6 , 0.6 , 27 , 48 , 36 , 123 , 111 , 3 , 9.722 , 52.21 , 63.349 , 52.21 , 63.349 , 1.456 , 0.842 , 113.064 , -0.08384460186123072 , 77.654 , 0.05 , 197.05983577020882
3 , 32.888888888888886 , 0.6 , 0.6 , 27 , 48 , 36 , 123 , 111 , 3 , 9.722 , 52.21 , 63.349 , 52.21 , 63.349 , 1.456 , 0.842 , 113.064 , -0.08384460186123072 , 77.654 , 0.05 , 197.05983577020882
7 , 33.0 , 0.7 , 0.7 , 24 , 36 , 28 , 96 , 88 , 4 , 6.396 , 39.029 , 47.189 , 39.029 , 47.189 , 1.304 , 0.786 , 113.446 , -0.09645214037983729 , 86.998 , 0.05 , 167.71843417864727
