Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.024452470324495153,8.820251141338854,0.23046406544454476,0.0727981814175432,5e7f1309,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.028329247780383596,8.820251141338854,0.23046406544454476,0.0727981814175432,5e7f1309,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.028263603779350725,8.820251141338854,0.23046406544454476,0.0727981814175432,5e7f1309,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.027865961246211875,8.820251141338854,0.23046406544454476,0.0727981814175432,5e7f1309,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.02765054064144114,8.820251141338854,0.23046406544454476,0.0727981814175432,5e7f1309,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03275271658371502,9.38243560130796,0.24257150809424657,0.09148580993141359,bafd84b8,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03406403223630245,9.38243560130796,0.24257150809424657,0.09148580993141359,bafd84b8,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03384627354145446,9.38243560130796,0.24257150809424657,0.09148580993141359,bafd84b8,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03325822788051802,9.38243560130796,0.24257150809424657,0.09148580993141359,bafd84b8,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.03330208387819911,9.38243560130796,0.24257150809424657,0.09148580993141359,bafd84b8,518.6,7.4,29.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.02615421196588802,9.130367771961673,0.2375856671243613,0.0795308152232877,943d43d4,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.028436704117876126,9.130367771961673,0.2375856671243613,0.0795308152232877,943d43d4,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.030704030457154814,9.130367771961673,0.2375856671243613,0.0795308152232877,943d43d4,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.029761940852552213,9.130367771961673,0.2375856671243613,0.0795308152232877,943d43d4,617.7,5.1,28.5
