Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004402062064417,0.05956857729266638,10.612248088227542,0.2692719341345592,0.176039812285098,56d83460,753.3,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005051463644344,0.053195067743383534,10.612438750161122,0.2692767827854782,0.1760330827054505,197d9670,748.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005051463644344,0.055479040421578064,10.612438750161122,0.2692767827854782,0.1760330827054505,197d9670,748.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005051463644344,0.05861141996705616,10.612438750161122,0.2692767827854782,0.1760330827054505,197d9670,748.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005051463644344,0.05792330954881989,10.612438750161122,0.2692767827854782,0.1760330827054505,197d9670,748.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005051463644344,0.05871453864741022,10.612438750161122,0.2692767827854782,0.1760330827054505,197d9670,748.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002315622323134,0.05441986272512682,10.61163566919586,0.2692563571253297,0.17606143250856182,69964e6b,747.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002315622323134,0.05455948213564546,10.61163566919586,0.2692563571253297,0.17606143250856182,69964e6b,747.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002315622323134,0.058006987545798916,10.61163566919586,0.2692563571253297,0.17606143250856182,69964e6b,747.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002315622323134,0.05758068847263592,10.61163566919586,0.2692563571253297,0.17606143250856182,69964e6b,747.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002315622323134,0.05885324684553276,10.61163566919586,0.2692563571253297,0.17606143250856182,69964e6b,747.7,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.300016948076529,0.05433149283423214,10.608642675927829,0.26925172253700735,0.17520762114718838,f33cffd0,744.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.300016948076529,0.059341805636414044,10.608642675927829,0.26925172253700735,0.17520762114718838,f33cffd0,744.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.300016948076529,0.059707468256029926,10.608642675927829,0.26925172253700735,0.17520762114718838,f33cffd0,744.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.300016948076529,0.05962959262745895,10.608642675927829,0.26925172253700735,0.17520762114718838,f33cffd0,744.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.300016948076529,0.05969361174615362,10.608642675927829,0.26925172253700735,0.17520762114718838,f33cffd0,744.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000285943527526,0.05274110136079313,10.611795277972439,0.26926041698694964,0.17605579747747224,c99216dd,748.3,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000285943527526,0.05955121363746422,10.611795277972439,0.26926041698694964,0.17605579747747224,c99216dd,748.3,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000285943527526,0.05923847123963896,10.611795277972439,0.26926041698694964,0.17605579747747224,c99216dd,748.3,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000285943527526,0.05894235522466876,10.611795277972439,0.26926041698694964,0.17605579747747224,c99216dd,748.3,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000285943527526,0.059376626371484144,10.611795277972439,0.26926041698694964,0.17605579747747224,c99216dd,748.3,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000152705313006,0.04875355526877017,10.608590068176674,0.2692504702180007,0.17520934461250712,41c6fab0,749.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000152705313006,0.05999140840918442,10.608590068176674,0.2692504702180007,0.17520934461250712,41c6fab0,749.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000152705313006,0.059582200070733234,10.608590068176674,0.2692504702180007,0.17520934461250712,41c6fab0,749.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000152705313006,0.05982543251786237,10.608590068176674,0.2692504702180007,0.17520934461250712,41c6fab0,749.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000152705313006,0.059794322701618316,10.608590068176674,0.2692504702180007,0.17520934461250712,41c6fab0,749.2,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004241290557815,0.05304161877269213,10.612200891679874,0.26927073378436267,0.17604147828503863,9b88554c,746.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004241290557815,0.057624329374227484,10.612200891679874,0.26927073378436267,0.17604147828503863,9b88554c,746.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004241290557815,0.058853828156351796,10.612200891679874,0.26927073378436267,0.17604147828503863,9b88554c,746.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004241290557815,0.05886140525529336,10.612200891679874,0.26927073378436267,0.17604147828503863,9b88554c,746.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30004241290557815,0.059224830322556044,10.612200891679874,0.26927073378436267,0.17604147828503863,9b88554c,746.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002712902285067,0.05109816344489329,10.611752269764967,0.2692593230271657,0.176057315870006,0dd9c07c,746.8,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002712902285067,0.05865766661253156,10.611752269764967,0.2692593230271657,0.176057315870006,0dd9c07c,746.8,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002712902285067,0.05933314099124083,10.611752269764967,0.2692593230271657,0.176057315870006,0dd9c07c,746.8,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002712902285067,0.05924629678968224,10.611752269764967,0.2692593230271657,0.176057315870006,0dd9c07c,746.8,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002712902285067,0.059522728969204505,10.611752269764967,0.2692593230271657,0.176057315870006,0dd9c07c,746.8,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000238954614795,0.049933814476740605,10.61165736527959,0.26925690900077437,0.17606066650818425,b26fe2ba,747.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000238954614795,0.05860560518552823,10.61165736527959,0.26925690900077437,0.17606066650818425,b26fe2ba,747.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000238954614795,0.05815165692825747,10.61165736527959,0.26925690900077437,0.17606066650818425,b26fe2ba,747.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000238954614795,0.057952417520767165,10.61165736527959,0.26925690900077437,0.17606066650818425,b26fe2ba,747.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000238954614795,0.05913052832564145,10.61165736527959,0.26925690900077437,0.17606066650818425,b26fe2ba,747.1,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002037874526055,0.048624055650873105,10.608750264472514,0.26925428362792964,0.17520409655001098,90762e45,744.9,2.4,10.0
