thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3845417302846151,4,4.032158586789009,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.37776906575255986,5,4.05244046231367,583.9,6.3,27.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3914061791687251,3,3.9780616003705878,632.4,5.9,32.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.41441068260185626,3,3.9809046420536744,599.1,5.1,29.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.40783290265491146,5,4.0400976837437295,701.6,6.4,30.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3974313518970908,5,4.009916209845748,659.8,6.1,28.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39424739352432336,5,4.038903743327031,614.6,7.0,29.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.39475448553886555,3,4.045183193058375,539.1,7.8,26.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.38102917986198515,1,4.011904374858324,522.9,7.6,24.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.37185188032255445,4,3.9522400716504222,333.9,7.7,19.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3731520426399486,4,3.9927072985212217,366.2,9.0,19.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.34863089960000593,4,4.0040763262325765,393.5,9.9,17.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3017186165190649,1,3.915892679522586,115.9,10.0,10.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3220320615327929,3,3.8908438339262714,309.4,8.5,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3008189863350473,5,3.5297726504369704,69.3,7.5,17.0
