thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,ac1,ac2,ac3
0.24340260084441284,0.2261445752217943,U10,U10,6.0,6.0,SSPG,SSPG,0.0979512121299409,0.339234952173994,5.60348501323856,-0.5230232696192572,1.0,483.5,6.2,37.4
0.26159718080342265,0.2052474555266309,U10,U10,6.0,6.0,SSPG,SSPG,0.0965305059486224,0.319795759049208,7.211061915822338,-0.1754461771017732,7.0,299.7,4.6,30.4
0.26608497482034466,0.2125229217138674,U10,U10,6.0,6.0,SSPG,SSPG,0.1204127126594569,0.3507118480454646,6.794116543923404,-0.3254230855072706,0.0,243.1,5.2,25.4
0.2477083806824794,0.2002100536406628,U10,U10,6.0,6.0,SSPG,SSPG,0.1075943861781997,0.3188568835070143,5.070853453860509,-0.8137843034044715,2.0,235.1,6.3,26.2
0.25877988707459443,0.1670673734989018,U10,U10,6.0,6.0,SSPG,SSPG,0.1150500435448293,0.3313892511255039,5.673283343882662,-0.3386349251930272,1.0,50.4,4.6,31.0
0.2807385914004097,0.1722826783574581,U10,U10,6.0,6.0,SSPG,SSPG,0.1073776305750584,0.3445730952252107,7.5251934822485715,0.1417478630431212,2.0,76.9,5.0,32.7
0.2589773023817939,0.1510761799036677,U10,U10,6.0,6.0,SSPG,SSPG,0.1071253536445727,0.3560754951317417,9.739585990764688,0.5717751240085516,0.0,55.0,3.8,26.6
0.258254671858983,0.2042511891868502,U10,U10,6.0,6.0,SSPG,SSPG,0.1134393676477977,0.3065712881668912,8.25550148163236,-0.4864661418363323,0.0,116.3,5.9,34.9
0.28017576912122566,0.1672685605279969,U10,U10,6.0,6.0,SSPG,SSPG,0.1061057547357244,0.3524956294326177,9.947610505038412,-0.3569602848193041,6.0,73.1,6.2,34.0
0.265669594786452,0.1836367185974824,U10,U10,6.0,6.0,SSPG,SSPG,0.1017020629292116,0.3741143166236818,9.975908723207318,-0.54271093098669,7.0,50.6,4.7,27.9
0.2580189531719626,0.1796794547516959,U10,U10,6.0,6.0,SSPG,SSPG,0.0961079274967849,0.3613827727524457,9.984845220120906,-1.5685093998530175,3.0,147.7,7.5,41.2
0.24109675832327643,0.1951798478498171,U10,U10,6.0,6.0,SSPG,SSPG,0.0790240909880923,0.3421450352327462,4.961972007228435,-0.6478026522256816,0.0,126.0,6.9,46.4
0.17523900560698413,0.1930904706448662,U10,U10,6.0,6.0,SSPG,SSPG,0.0916820913074132,0.3932475582101988,5.7691053512625965,-1.5066541041004946,4.0,115.4,5.7,48.0
0.19152554723459714,0.1542796564616054,U10,U10,6.0,6.0,SSPG,SSPG,0.0568161815420253,0.3807532801570521,4.436678670627784,-1.476641827565563,0.0,371.3,7.7,50.0
0.16906119272642012,0.2431135992900254,U10,U10,6.0,6.0,SSPG,SSPG,0.0573450175171123,0.408194330546767,4.356129923186241,-1.569389508684401,1.0,153.8,5.2,50.0
0.15450490069412962,0.2783080676048426,U10,U10,6.0,6.0,SSPG,SSPG,0.0552698857479704,0.3957597428108617,5.795598025003811,-1.1830525785317183,0.0,219.0,7.8,45.6
0.15641950450187347,0.2256607226699279,U10,U10,6.0,6.0,SSPG,SSPG,0.0521488063820596,0.4219426952796329,6.052801244256516,-1.5321161221454505,6.0,88.9,5.1,50.0
0.15920415819904435,0.3093901842250081,U10,U10,6.0,6.0,SSPG,SSPG,0.0776510933583723,0.3389065944487092,6.18717650862936,-0.6021258925114694,2.0,76.8,4.0,42.5
0.15784382298969707,0.279396400556866,U10,U10,6.0,6.0,SSPG,SSPG,0.0931463870615564,0.3957534783831125,9.377481871256462,-0.9008177828085672,2.0,91.5,2.9,46.1
0.1645178612820824,0.2483240682057422,U10,U10,6.0,6.0,SSPG,SSPG,0.0751311821398202,0.4571632412342675,9.803072482747837,-1.4241557012462964,3.0,68.5,2.2,42.9
0.1532282066493259,0.1884291598109571,U10,U10,6.0,6.0,SSPG,SSPG,0.0699829190659758,0.4279718752084485,8.648879239930862,-1.569453931339671,7.0,119.6,2.8,43.5
0.1778869246640696,0.2312972283658154,U10,U10,6.0,6.0,SSPG,SSPG,0.0609216302818915,0.3578776334896694,6.925776737090212,-1.4555301394629403,6.0,282.9,4.4,42.6
0.1642340557625365,0.1830360430206032,U10,U10,6.0,6.0,SSPG,SSPG,0.05042460224482,0.4497022717357961,8.379794601868324,-1.5614109323233587,2.0,50.0,3.7,43.5
0.152257727741268,0.2063843628200878,U10,U10,6.0,6.0,SSPG,SSPG,0.0740243887648548,0.4449813996143221,6.447518885546223,-1.2028708343481984,5.0,59.2,6.6,46.4
0.1534886251581644,0.1516798415724017,U10,U10,6.0,6.0,SSPG,SSPG,0.0543664431030935,0.4194935654148116,4.247104597797668,-1.492462847976883,0.0,96.3,7.1,50.0
0.15262370850645474,0.1500111253610796,U10,U10,6.0,6.0,SSPG,SSPG,0.0518130241784078,0.3958346143488223,5.214502125524129,-1.5703715392150177,4.0,87.8,8.6,42.0
0.15690797490729513,0.1513657388025202,U10,U10,6.0,6.0,SSPG,SSPG,0.0516688460459172,0.4171283570149275,6.272257781658961,-1.5348404946175986,0.0,58.3,7.8,50.0
0.1516175029164628,0.1511196557436862,U10,U10,6.0,6.0,SSPG,SSPG,0.0660716168938234,0.4417273240834328,4.008592469495273,-1.4701751487555703,1.0,70.9,8.7,49.3
0.15571723737695858,0.1757899219147448,U10,U10,6.0,6.0,SSPG,SSPG,0.0769053017374448,0.452189539739459,1.770494056509369,-1.3635962852036836,3.0,59.5,9.5,49.6
0.15049253744117397,0.1763546503863103,U10,U10,6.0,6.0,SSPG,SSPG,0.0665797536617459,0.4143852271679076,4.836615940663927,-1.5618760567511756,3.0,265.4,8.9,49.5
0.15022145197646414,0.1520086791062426,U10,U10,6.0,6.0,SSPG,SSPG,0.0685288956484854,0.4415834722109144,5.209960887552269,-1.3317085966785631,4.0,66.2,5.7,45.6
0.15010551789937332,0.1539781239182493,U10,U10,6.0,6.0,SSPG,SSPG,0.0707975812779918,0.4766840237374818,6.910623974891747,-1.5530751879818578,7.0,114.0,8.5,50.0
0.16184796898790632,0.1700287838810221,U10,U10,6.0,6.0,SSPG,SSPG,0.0568997812975486,0.4827313237011162,5.9175294310681785,-1.1434496538952514,2.0,121.2,5.4,49.7
0.15308787097825458,0.158661382431752,U10,U10,6.0,6.0,SSPG,SSPG,0.0542450787992504,0.4893275077655903,5.642013049849842,-0.9627363016716772,0.0,87.2,5.9,49.9
0.15008856042366442,0.1739511388393829,U10,U10,6.0,6.0,SSPG,SSPG,0.0675364065722064,0.4739609702809175,4.652975466838778,-1.4285403174683642,4.0,151.8,6.4,48.3
0.1518633888479096,0.1859816859866901,U10,U10,6.0,6.0,SSPG,SSPG,0.066864820236612,0.4472769268385717,3.1933168672912657,-0.9362200937190532,5.0,72.2,7.4,50.0
0.1515743866780707,0.1541571466413708,U10,U10,6.0,6.0,SSPG,SSPG,0.0659145687485264,0.5008497730142791,3.365092065039242,-0.8771541730957375,6.0,66.5,7.7,49.2
0.1501557007855505,0.1500622869504723,U10,U10,6.0,6.0,SSPG,SSPG,0.0789441871647392,0.5348635853690101,2.9017771316905967,-1.1715556141784282,4.0,82.2,8.4,49.7
