Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,ori_l,ori_theta,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.2335175309316576,0.2613627174806506,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1001275845846602,0.3856724163100536,4.926405045825904,-0.8984224265819614,2.3744762648592377e-17,14.193377332438706,0.2995593606795486,7.475604791037138e-19,645ccdce,625.0,3.1,36.2
0.2335175309316576,0.2613627174806506,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1001275845846602,0.3856724163100536,4.926405045825904,-0.8984224265819614,2.417144680229283e-17,14.193377332438706,0.2995593606795486,7.475604791037138e-19,645ccdce,625.0,3.1,36.2
0.2335175309316576,0.2613627174806506,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1001275845846602,0.3856724163100536,4.926405045825904,-0.8984224265819614,2.118048803844055e-17,14.193377332438706,0.2995593606795486,7.475604791037138e-19,645ccdce,625.0,3.1,36.2
0.2335175309316576,0.2613627174806506,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1001275845846602,0.3856724163100536,4.926405045825904,-0.8984224265819614,2.397864752563148e-17,14.193377332438706,0.2995593606795486,7.475604791037138e-19,645ccdce,625.0,3.1,36.2
0.2335175309316576,0.2613627174806506,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1001275845846602,0.3856724163100536,4.926405045825904,-0.8984224265819614,2.2863300601181443e-17,14.193377332438706,0.2995593606795486,7.475604791037138e-19,645ccdce,625.0,3.1,36.2
0.2588245497377008,0.2433825601986659,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1243079819572657,0.3424371100647925,5.1096122773795045,0.4971649151252433,5.777902030466403e-16,12.509151994789166,0.2775508816836498,2.0414187426491897e-17,e9ef3039,463.6,4.4,30.8
0.2588245497377008,0.2433825601986659,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1243079819572657,0.3424371100647925,5.1096122773795045,0.4971649151252433,5.49935502801497e-16,12.509151994789166,0.2775508816836498,2.0414187426491897e-17,e9ef3039,463.6,4.4,30.8
0.2588245497377008,0.2433825601986659,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1243079819572657,0.3424371100647925,5.1096122773795045,0.4971649151252433,5.297652465873762e-16,12.509151994789166,0.2775508816836498,2.0414187426491897e-17,e9ef3039,463.6,4.4,30.8
0.2588245497377008,0.2433825601986659,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1243079819572657,0.3424371100647925,5.1096122773795045,0.4971649151252433,3.803316690046759e-16,12.509151994789166,0.2775508816836498,2.0414187426491897e-17,e9ef3039,463.6,4.4,30.8
0.2588245497377008,0.2433825601986659,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.1243079819572657,0.3424371100647925,5.1096122773795045,0.4971649151252433,4.999580054985354e-16,12.509151994789166,0.2775508816836498,2.0414187426491897e-17,e9ef3039,463.6,4.4,30.8
