thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,push_duration,best_index,best_cost,ac1,ac2,ac3
0.255392248128934,0.2758393851192429,U8,U10,9.436546855072418,17.91524476773018,CPG,WPG,0.1113935333653581,0.11633690773355701,4,-58.16867615857668,210.0,3.7,27.2
0.2454649942767408,0.3276720000682802,U8,U10,9.19888491538692,11.13904039609082,CPG,CPG,0.11507102756931904,0.12896099764411686,2,-67.29777263941136,159.8,3.9,23.3
0.25386071163547663,0.3136422924986336,U8,U10,5.043663450916673,12.026603740834453,CPG,CPG,0.10486397867906425,0.12435321051707728,4,-61.97707777109758,189.4,5.3,27.3
0.24655186379017852,0.2821202535712021,U8,U10,9.754821894832576,22.47981786123213,CPG,WPG,0.11671490664154897,0.11881205190256311,6,-57.21767797481912,197.1,5.9,29.8
0.2576607196250422,0.2685915495154647,U8,U10,4.9564260763077055,22.29156455214547,CPG,WPG,0.10681923959358236,0.11493871882476701,2,-45.58244289542195,184.7,6.0,33.8
0.24685672190939534,0.2948076905047887,U8,U10,5.746334400118906,18.084405812338588,SSPG,WPG,0.11405159209184425,0.11760209404679606,5,-60.437144097758974,164.2,4.8,22.7
0.25339724317802736,0.27897587731317136,U8,U10,8.752292949733171,15.053568960688002,CPG,WPG,0.10918226674975845,0.12565535994191307,0,-51.97638841986846,221.3,5.5,32.9
0.2377144370321431,0.28716963745799706,U8,U10,8.555611865733642,17.82207975694679,CPG,WPG,0.104177433765748,0.12495782263149914,1,-69.02270042522267,169.0,5.0,29.6
0.22662029731605163,0.2735187060041917,U8,U10,11.502909025791837,16.120511101634527,CPG,WPG,0.11164076983485166,0.11896356140150402,2,-63.937116669652326,153.9,5.7,31.6
0.21738004024064392,0.27613255621098753,U8,U8,13.182716136649786,22.25792855816853,WPG,WPG,0.1196054310518104,0.11054467591069234,1,-68.55562655294266,139.2,5.8,26.6
0.20615004853596702,0.2670111144180218,U8,U10,11.701366858913737,16.847313735899398,CPG,WPG,0.12120838804497222,0.10477504290633054,6,-80.19901281464965,173.4,5.5,29.2
0.21396378569495347,0.2578720785173412,U8,U10,13.500371979253408,20.889087544716705,WPG,WPG,0.11549051164961133,0.12959008060590782,1,-53.070939063693075,162.0,3.8,32.3
0.21716676185368733,0.2662588865118033,U8,U10,11.00244085706565,16.49815627752306,CPG,WPG,0.10668834234958641,0.12108447587373543,4,-62.00763003313415,162.2,4.9,30.2
0.2070139896915845,0.25970364498940257,U8,U10,14.694260797419027,15.973964235373957,WPG,WPG,0.11755940982678244,0.12556572933123694,3,-58.106070699510404,170.2,5.3,28.1
0.21696159015627797,0.26994035142339373,U8,U10,11.746128638955426,19.643611200098658,CPG,WPG,0.10737330804245762,0.11197724697509773,4,-72.209794228033,164.7,5.4,27.3
0.21864950404796205,0.26325819573330883,U8,U10,12.766667504310986,20.351159439014797,WPG,WPG,0.11163017655605467,0.11542488449095112,7,-60.38168043210077,178.2,4.8,24.2
0.2157092099186087,0.2747743065803166,U8,U10,11.031694536301767,18.537848802719036,CPG,WPG,0.12004717919139254,0.11793367291441804,3,-63.41650642563115,175.7,5.2,28.3
0.2208315781490086,0.27888119818200185,U8,U10,9.734453489573546,17.114258405333214,CPG,WPG,0.11880988313279564,0.12041641409501123,7,-72.76064967649287,162.2,5.0,26.4
0.22129402319386088,0.2719559440181811,U8,U10,12.642471927232018,18.653276163665392,CPG,WPG,0.11804137136336053,0.12086220218956129,7,-77.19836082363116,170.1,5.0,26.2
