Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration, best_index, best_cost, v2_c1,v2_c2,v2_c3,v4_c1,v4_c2,v4_c3,v6_c1,v6_c2,v6_c3
0.20504155057312512,0.2804529204639894,U10,MN8014,9.008701739645922,4.005372787332525,CPG,SSPG,0.07991977400436195,0.11829233075540015,4,5.778514094715259,225.5,5.0,24.2,172.0,4.7,30.4,207.1,4.8,34.9
0.2504278235360129,0.24620596400809996,U12,U12,11.795927815314448,4.926443267849845,CPG,CPG,0.07948416447629628,0.09378194781795426,7,10.216466337075575,210.1,4.3,26.7,108.9,5.6,32.2,196.4,4.1,34.1
0.2390110108985291,0.2887421426161803,U12,U12,9.224635174483405,6.4922177035345,CPG,SSPG,0.06474463199970554,0.11187942038874023,3,5.3397851287909175,239.1,4.5,25.5,83.8,5.6,37.1,161.3,4.2,32.0
0.2742388496799355,0.2915345234406189,U12,MN8014,5.086954372686823,4.039445015136637,SSPG,SSPG,0.06665216084640847,0.12426593915022843,3,5.428153562956441,206.8,5.5,24.7,130.7,4.4,39.1,132.8,2.9,32.2
0.257142041846243,0.28873114107151565,U12,MN8014,12.526402472698905,8.957650711594646,CPG,CPG,0.06473546831224304,0.11252595082366071,5,3.164714401671434,199.2,4.1,29.6,176.5,5.9,40.2,108.6,3.0,32.7
0.27123295352583626,0.3138149703149726,MN8014,MN8014,4.387189773747636,4.854531623077333,SSPG,CPG,0.0713108793212554,0.11916070224070463,2,4.915831204003474,211.1,2.3,26.4,151.6,6.0,38.4,158.5,3.4,31.7
0.256899993959078,0.2831919855506151,U12,MN8014,11.460393684395836,4.558675801858731,CPG,SSPG,0.07409075281881707,0.11683304960992713,4,3.3379108692478496,150.5,3.4,25.5,168.7,4.9,43.9,189.2,5.1,36.1
0.24355023452351993,0.2750565498472335,U12,MN8014,5.589825742374501,5.583457972228729,SSPG,SSPG,0.06612119439602973,0.09390898738880997,3,5.393582341874557,171.5,3.5,28.2,149.9,4.3,40.4,241.1,6.3,41.1
0.2501282072733599,0.2926544862839735,U12,MN8014,4.030835175065595,4.001350545968566,CPG,SSPG,0.0800037676168606,0.0978480043422447,5,2.7010646700288454,168.0,3.3,28.8,170.1,4.7,45.2,217.2,5.8,40.3
0.25220760357985106,0.27088688874238726,MN8014,MN8014,4.611617690485126,4.740628964373879,SSPG,CPG,0.09311814510858522,0.09195780210758212,6,4.3201758162807185,190.7,3.8,30.2,208.3,4.3,43.3,165.1,5.5,35.4
