Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration,v2_actual_vel,v2_tracking_error,v2_mech_energy,v4_actual_vel,v4_tracking_error,v4_mech_energy,v6_actual_vel,v6_tracking_error,v6_mech_energy,total_tracking_error,total_energy,Unique id,v2_ac1,v2_ac2,v2_ac3,v4_ac1,v4_ac2,v4_ac3,v6_ac1,v6_ac2,v6_ac3
0.1928062406675489,0.26578737451698575,MN8014,VT8020,7.608589071383827,4.463147602214313,CPG,CPG,0.08122248070485641,0.1040434581762035,4,21.81239513991889,239.3,4.8,27.6,189.0,7.1,31.4,233.6,5.8,34.1
0.21118446905151098,0.2539410995438299,U12,VT8020,4.866972011285048,5.162498299521127,CPG,SSPG,0.0871369643309635,0.09181396219650734,1,17.023714693432822,150.7,3.6,27.1,126.1,5.7,28.0,182.1,5.3,34.4
0.2171352686663988,0.3036826318273609,U12,VT8020,5.922055075044587,4.004781266497376,SSPG,CPG,0.06807728443372653,0.10318282553764593,6,27.342294065827083,176.6,3.5,26.2,172.5,6.5,33.4,250.4,4.1,38.1
0.22496212629010226,0.2846582525870891,U12,MAD_M6C12,4.969288708196681,8.349175331954587,SSPG,CPG,0.08588843786511031,0.11291324672664786,3,9.286681183415986,136.6,3.3,32.4,116.9,6.4,28.6,201.6,5.4,33.4
0.2328444642896776,0.29718185354193605,VT8020,MAD_M6C12,4.082106843836467,4.133913780133052,CPG,CPG,0.07586618664022593,0.09886654417704765,1,6.201013066218424,128.3,3.6,33.5,132.2,6.9,27.2,250.4,3.8,31.7
0.24506275085590246,0.23794693009376944,VT8020,VT8020,4.386409470506085,5.076698187828844,SSPG,CPG,0.07532524957127214,0.0901236445045322,7,10.62085293373301,206.6,6.3,29.0,110.6,8.7,34.5,223.7,4.1,29.8
0.24991876048263129,0.25899266869933646,MN8014,MAD_M6C12,4.536555726816978,6.117254723197508,SSPG,SSPG,0.08030132912083784,0.10231860142557854,2,5.828742328990701,244.5,5.1,32.1,91.2,7.4,25.2,184.0,4.1,28.6
0.24897159571668043,0.24929786951887767,MN8014,VT8020,4.001809972016952,4.097523479382264,SSPG,CPG,0.0690712502336041,0.10621391910629446,4,3.7187945605038344,150.5,5.7,29.1,197.9,8.3,28.9,235.5,4.8,20.0
0.22698955559034614,0.2059966238965426,MN8014,MAD_M6C12,7.351618534997802,4.056167863241798,CPG,CPG,0.08403937232041947,0.08998668602408925,4,4.074754349607765,198.7,6.2,31.0,174.6,8.5,29.2,185.3,4.3,25.3
0.2252845800279542,0.1981921688450801,MN8014,MAD_M6C12,4.02571388342254,4.208564451453126,SSPG,CPG,0.09211854170268882,0.0955298124130526,2,6.1167357448640205,183.1,3.6,25.0,285.5,9.4,26.6,233.8,4.8,29.3
0.24451026630954134,0.17938466549178492,MN8014,MAD_M6C12,6.022292586349966,5.939218056173441,SSPG,SSPG,0.08604125288526182,0.08669388825513728,5,6.699443589517766,222.6,6.5,28.9,249.5,8.6,26.0,241.1,4.2,24.2
0.22575814802717162,0.170565668766746,MN8014,MAD_M6C12,4.30451427560203,7.063429226305577,CPG,CPG,0.081921374117577,0.08417696550999093,7,6.474603949970265,206.5,4.9,30.1,286.6,8.1,25.2,222.3,4.5,27.7
0.23817589415279944,0.15426269361587477,MN8014,MAD_M6C12,10.647402446845629,4.027978699150366,CPG,CPG,0.09912406460259854,0.0902771188317476,0,3.3018185692140385,254.9,4.6,19.7,360.0,7.0,26.9,208.3,5.4,33.7
0.25031092723870085,0.15001810218419578,U12,MAD_M6C12,6.5534011442654645,6.228551835756599,SSPG,CPG,0.08769191605925149,0.10608993273416861,0,5.722639017837716,241.0,4.6,24.7,277.7,7.5,27.2,191.9,4.9,35.1
0.21374871281652075,0.1509098032949981,U12,MAD_M6C12,5.180351779668698,4.742397504549381,SSPG,CPG,0.07752513864470442,0.07488605145350148,7,3.5461241959205934,229.2,4.5,18.5,299.4,7.1,32.7,189.5,7.7,27.3
0.22683515096628656,0.16239204150307093,MN8014,MAD_M6C12,8.184265889162743,4.154458533384596,CPG,CPG,0.09361860341457334,0.08178827483577875,2,3.6275277873646194,289.1,5.5,22.3,227.5,6.8,32.5,284.2,6.5,19.9
0.23116846775323918,0.15659876802666006,MN8014,MAD_M6C12,7.032111914666895,5.071417867552248,SSPG,CPG,0.09266325796889394,0.08230970975859522,0,5.570360868058465,303.3,5.6,17.4,284.4,7.1,29.0,289.7,7.0,19.4
0.24195612011666773,0.15023678705686083,MN8014,MAD_M6C12,4.000363704494803,5.459448480287484,SSPG,SSPG,0.07386846002566397,0.05658916060396198,4,5.079969166771045,256.9,6.8,15.6,222.5,9.5,28.3,309.4,6.6,29.0
