thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,best_index,best_cost,ac1,ac2,ac3
0.2782679603584357,0.25442510458248757,U12,MN8014,16.452508024788006,9.399863681165266,WPG,CPG,0.08689213758823383,5,8.65777091280199,414.7,5.7,30.5
0.2817093261283179,0.23345148292313253,U10,U12,13.823027146220724,8.527825305935858,WPG,CPG,0.11663206283108055,3,2.505169116160079,386.4,4.4,24.0
0.2927571785747969,0.2380206253059859,U10,U12,11.971944853568672,4.709823212655915,CPG,CPG,0.1084749434421418,2,4.6796222410036155,430.1,5.3,31.0
0.30099932923524986,0.2626299116757237,U10,U12,14.786538789989825,8.517290479541481,WPG,CPG,0.11474314069973704,1,4.018726254480676,434.2,5.4,37.6
0.3048161225105067,0.27611377276244287,U10,U10,10.812048452927652,14.773629184852517,CPG,WPG,0.10651254559847738,5,2.5041214892835235,598.8,6.7,26.9
0.31331181520420404,0.27410180490533376,U10,MN8014,16.088397945850318,15.470467633191019,WPG,WPG,0.11959661276773136,2,7.12752816853936,601.5,5.1,35.6
0.3270705492385091,0.25527230802237477,U8,U12,8.979820931308872,17.201892810314078,CPG,WPG,0.14364206466059287,5,0.34127638179083186,613.5,4.5,23.0
0.3177891040493172,0.23059979738492398,U8,U12,4.27872262244742,9.237244480704948,CPG,CPG,0.14809805592755065,3,0.08895307748775261,487.4,6.1,24.3
0.34512084388886255,0.26832910134707805,U10,U12,4.189984991533555,20.833430327200524,CPG,WPG,0.14871042744911278,3,0.4858295363615628,871.0,6.7,16.7
0.347632963404943,0.24982562314695694,U10,VT8020,4.443159753537924,5.43833270021724,SSPG,SSPG,0.14819273012731554,5,0.014867862202026603,749.3,7.2,21.3
0.3319959691348343,0.25901710301962,U8,MAD_M6C12,20.309097239707125,4.3936544634373496,WPG,SSPG,0.12772397364345778,2,2.2517028468349958,805.5,10.0,22.1
0.3499657146081637,0.2167197823994416,U10,MAD_M6C12,15.593586922029726,8.419144841009793,WPG,CPG,0.14815214232082077,1,0.48565480522734816,1000.0,6.3,22.1
0.34997578974326277,0.21080081678051055,U10,U10,18.631924578753537,7.689103014294615,WPG,CPG,0.14772029742405313,0,-0.47425171688020473,847.5,6.1,37.8
0.34388730204481255,0.200350850203172,U8,VT8020,14.504150246336241,16.235888693519726,WPG,WPG,0.1403014809251113,5,-0.14574061164326768,724.4,7.5,42.7
0.34999453938186953,0.19431725848716763,U8,MAD_M6C12,15.427253762277026,4.353818544742387,WPG,SSPG,0.1362509408424305,4,-0.8974474109872741,568.3,8.7,30.2
0.34306249469808947,0.16261590748033292,U8,VT8020,23.4084411641236,10.27516956734365,WPG,CPG,0.13436402616597076,2,-0.1538338757366544,726.6,7.2,46.8
0.3410302552627742,0.15036877711196783,U8,VT8020,29.984883315678303,7.476057472111318,WPG,CPG,0.1373658381728634,6,-0.9521495880949749,596.1,7.0,31.7
0.34620910626018764,0.1501922566112953,U8,VT8020,31.13717724721356,9.639491698117093,WPG,CPG,0.14949586787445876,6,-0.8599677125688672,830.8,7.6,32.2
0.3495554797460444,0.15067134800400403,U8,MN8014,20.1143509878773,6.249495301626618,WPG,CPG,0.14998251979700722,5,-0.6621972997667596,642.5,5.4,43.9
0.34726868430733965,0.1520013818782077,U10,MAD_M6C12,17.284932828791717,7.4995995851566875,WPG,CPG,0.1276593888248948,3,-1.8943145636857217,697.7,5.6,35.0
0.3469047306194533,0.15134264968567934,U8,MAD_M6C12,18.997427845861775,5.936413788355251,WPG,SSPG,0.144640483515601,5,-2.028759648293475,878.1,6.4,39.3
0.34970598343159626,0.17570291540955252,U8,VT8020,29.522892276760913,4.63528627159577,WPG,SSPG,0.13075349403194586,0,-1.49402272905383,772.5,5.7,41.9
0.34779422733189547,0.15171532201931096,U8,MAD_M6C12,21.57016318963623,12.887736834048077,WPG,WPG,0.12752787799130794,6,-0.9691964034946645,672.8,5.2,29.5
0.34990144149589053,0.15079432977656207,U8,MAD_M6C12,29.452355412685495,8.910866788015731,WPG,CPG,0.12553586008468456,1,-2.228255694053069,724.4,5.5,30.3
0.3481256181384048,0.1766121306691334,U8,VT8020,29.639649854614603,5.177055412498596,WPG,SSPG,0.1407264222975852,3,-1.480345393147025,796.1,4.2,38.2
0.3481205888187635,0.16725648524263473,U8,MAD_M6C12,35.97132545156776,9.5630440637089,WPG,CPG,0.12244484939237095,4,-1.9220393618118479,752.1,5.8,42.1
0.3476954427288736,0.15305589988335905,U8,MN8014,26.25820551504844,7.303299307277602,WPG,SSPG,0.10311839074008408,2,-0.5955099785042177,767.7,4.5,45.7
0.3475154466827088,0.16432191529110407,U10,MN8014,26.252335486679055,4.550970471987558,WPG,SSPG,0.132502519384756,0,-1.4491898614933838,997.3,4.0,40.5
0.3485241563671096,0.17930718740539353,U10,MAD_M6C12,23.870132747962295,8.5114176934683,WPG,CPG,0.12342371827551227,2,-0.6790310100957875,697.9,5.7,42.8
0.34941128719529824,0.19012347473773916,U10,MAD_M6C12,22.308476861267554,11.145182250361644,WPG,CPG,0.12949854951611806,0,-1.1981769159046323,777.4,7.3,45.1
0.3496876470722369,0.1755503793008043,U8,VT8020,29.67009686495207,4.517472342510368,WPG,CPG,0.12468865959115423,7,-1.4794208245578186,647.2,5.7,47.6
