Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration,target_v1,actual_v1,tracking_err1,energy1,target_v2,actual_v2,tracking_err2,energy2,target_v3,actual_v3,tracking_err3,energy3,total_tracking_error,total_energy,unique_id,ac1,ac2,ac3
0.2730440954075135,0.24785671056131447,U12,MN8014,7.560002599584243,15.444352614522657,CPG,WPG,0.1226012732023888,0.12519138344964248,1.5,6.8283289592911,28.391089498420175,118.09133418999764,3.0,10.033198467838371,49.46588068800401,118.0913341899978,4.5,10.158923532927664,32.02341555152252,118.09133418999761,126.86994822382889,472.36533675999056,6d0cee19,189.2,4.2,32.3
0.25882454973770086,0.24338256688294518,U12,MN8014,18.86209566452111,5.227718581336303,WPG,SSPG,0.12430793285028109,0.10710771754659032,1.5,2.808885995918027,1.7131825503103248,54.73834456684481,3.0,2.6202070392747108,0.1442426930164811,54.73834456684723,4.5,2.604145770531848,3.5942632593922803,54.73834456684481,16.455894231570387,218.953378267385,2f24c7ba,173.4,5.2,28.7
0.2737812145164909,0.24852812693470627,U12,U12,18.617230258207332,20.199920711933242,WPG,WPG,0.07140286036095943,0.13809041432408742,1.5,2.0596324870383613,0.31318852054874163,153.7141287273734,3.0,2.3629414617114604,0.40584358120633074,153.7141287273729,4.5,2.3725719674129877,4.525950033837046,153.71412872737247,17.981536973613128,614.8565149094916,cfd9695b,180.8,3.8,24.4
0.24797864776381512,0.2489538322276656,U12,VT8020,9.51348554782425,18.744819335134387,CPG,WPG,0.10249219924190284,0.13033181943516114,1.5,3.1670699537224465,2.77912223060416,54.637256250404214,3.0,3.220741051563235,0.04872661184524271,54.63725625040423,4.5,3.2325082717688263,1.6065352811344475,53.05943132075839,10.53958505746394,216.97120007197103,62185eef,186.2,4.5,30.4
0.2459576364475906,0.2380327469350761,MN8014,MN8014,14.17616583196302,14.350801166884454,WPG,WPG,0.09756578085837314,0.12177203624135462,1.5,4.739708580433753,10.495711686136083,150.6657471862713,3.0,4.4591192116699725,2.129028873864402,150.66574718627092,4.5,4.497580185317642,5.855503096954119e-06,150.66574718627066,13.802065280266904,602.6629887450846,63195687,245.8,6.1,27.2
0.255392248128934,0.2758393851192429,U12,MN8014,9.436546855072418,17.91524476773018,CPG,WPG,0.1113935333653581,0.11633690773355701,1.5,0.7506796736543723,0.561480951474718,76.34150919453462,3.0,0.7050337969164687,5.266869873295641,76.34150919453467,4.5,0.6274753586520554,14.996447097847028,79.04399371093432,49.05228021041545,310.77100581093794,9870ce9d,210.0,3.7,27.2
0.23256241633488695,0.24154980300685308,U12,MN8014,7.965412840409456,10.018418022733877,CPG,CPG,0.1099644888549842,0.12490707214881637,1.5,0.057230222326646533,2.0815846313676176,181.61269784618324,3.0,0.05950138707282846,8.64653209262662,181.61269784618324,4.5,0.05903480158991137,19.72217189348956,181.61269784618318,65.66490194625587,726.4507913847328,e49cc227,195.2,5.8,27.5
0.24590246978824826,0.24282338843908763,U10,MN8014,16.447936195467335,20.40133730946283,WPG,WPG,0.10603477088739913,0.11214661844792073,1.5,11.73644049449454,104.78471399732761,74.25919674300418,3.0,9.958090168479412,48.41501879268986,74.47531924878156,4.5,11.210276751583368,45.027814082840244,74.25919674300422,225.60827422458797,297.4690319835714,7bf43a10,132.0,5.6,26.1
0.26954055718153896,0.2629654633759361,MN8014,MN8014,20.79421674888552,16.02678982779652,WPG,WPG,0.11527505826823035,0.10986551554742531,1.5,2.515065015151675,1.03035698498487,157.4755515233035,3.0,2.6751275222352886,0.10554212680898291,157.47555152330386,4.5,2.653901179433186,3.408080855298182,157.4755515233046,15.707722622321759,629.9022060932159,aa0433c9,254.8,5.6,22.5
0.22007982482372745,0.22103682263846572,MN8014,MN8014,9.40108955224903,16.446319542448876,CPG,WPG,0.11165175225415266,0.1241168925501631,1.5,2.1480385815888594,0.41995400322770077,114.10271839168472,3.0,2.219017950098065,0.6099329622690283,114.10271839168118,4.5,2.216467699614556,5.2145197669036385,114.10271839167939,21.041102663959865,456.41087356672506,4e9e2d12,179.5,4.8,26.8
