Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Torso distance,Push duration,X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.23256241633488695,0.24154980300685308,U8,U10,7.965412840409456,10.018418022733877,0.1099644888549842,0.12490707214881637,19.2550004257571,88.52287630152972,0.10442566734988429,0.3913568332899492,ab114cc1,195.2,5.8,27.5
0.24797864776381512,0.2489538322276656,U8,U12,9.51348554782425,18.744819335134387,0.10249219924190284,0.13033181943516114,19.397759678615397,196.1884860965578,0.07430527282187467,0.838298014370247,bbe27d75,186.2,4.5,30.4
0.2459576364475906,0.2380327469350761,U10,U10,14.17616583196302,14.350801166884454,0.09756578085837314,0.12177203624135462,1.0898993878837266,87.15279608639861,0.07288399431480752,0.03817255734908755,951012ab,245.8,6.1,27.2
0.255392248128934,0.2758393851192429,U8,U10,9.436546855072418,17.91524476773018,0.1113935333653581,0.11633690773355701,23.10722650325529,49.24940005353021,0.1448015250086706,0.9457464819274726,e16c34b2,210.0,3.7,27.2
0.2730440954075135,0.24785671056131447,U8,U10,7.560002599584243,15.444352614522657,0.1226012732023888,0.12519138344964248,12.410352637819939,36.197201351253895,0.07641795389617508,0.5786403137582166,6775d4dc,189.2,4.2,32.3
0.24590246978824826,0.24282338843908763,U10,U10,16.447936195467335,20.40133730946283,0.10603477088739913,0.11214661844792073,9.338987797380204,75.72644530702658,0.39162251135149434,0.6760322563803155,c8e6f605,132.0,5.6,26.1
0.26753711950366216,0.26653426210099057,U8,U10,10.674891322850977,8.306072474718112,0.11044841399320773,0.11948408525122078,3.614574049876326,87.59730464196585,0.0003342636900579792,0.12690423618237687,e7b90ddd,117.0,4.3,25.6
0.2536028955987667,0.2682157031799732,U8,U10,4.322160701438775,9.206612631123948,0.11372386877731487,0.12274370259513884,10.687764884116676,187.20493240459174,0.008061156223961145,0.5078919490355214,3fdb8e6d,153.7,4.2,24.7
0.2879833260739568,0.2410502177645817,U8,U8,6.859706038709885,14.06573331974359,0.12834786515359659,0.12689040978530347,12.22848083575848,111.46401584122903,0.029839778561692093,0.6488467785069669,49d58836,262.2,4.5,31.1
0.2586650076943369,0.2578189802742207,U8,U10,4.005807856272161,13.872261249742225,0.10581271327028852,0.08927944476976536,14.242495573091537,20.837472686633316,0.053950956394561114,0.490987520195115,a50a7775,200.3,6.2,34.2
0.249965369919742,0.2780387249382088,U8,U10,4.419750576091999,12.147369987619573,0.1053101884550137,0.12489998146702148,14.339482645497808,35.7058829300118,0.06779787788613195,0.560518946336426,adc358ee,160.1,2.7,31.9
0.24859645421241366,0.2826203635087714,U8,U10,7.677779013941386,13.745437080983141,0.10589516696891277,0.11981914705050287,24.671119470670344,64.22139372980172,0.34771749999926155,1.236725223824101,8e64f226,179.1,3.3,28.6
