Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration,X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.2730440954075135,0.24785671056131447,U12,MN8014,7.560002599584243,15.444352614522657,CPG,WPG,0.1226012732023888,0.12519138344964248,9.602398801320708,118.09133418999782,0.0011726156952817635,0.21551633261678874,2a82e135,189.2,4.2,32.3
0.2737812145164909,0.24852812693470627,U12,U12,18.617230258207332,20.199920711933242,WPG,WPG,0.07140286036095943,0.13809041432408742,2.305752170028951,153.71412872737295,0.006876418952805761,0.0917412851788858,8acbcde2,180.8,3.8,24.4
0.2459576364475906,0.2380327469350761,MN8014,MN8014,14.17616583196302,14.350801166884454,WPG,WPG,0.09756578085837314,0.12177203624135462,4.518232701681863,150.66574718627157,0.692305043810515,0.2864377765280272,6b5e1f63,245.8,6.1,27.2
0.24797864776381512,0.2489538322276656,U12,VT8020,9.51348554782425,18.744819335134387,CPG,WPG,0.10249219924190284,0.13033181943516114,3.027765196136846,54.63725625040415,0.5517349761984308,0.19959929096628046,75b89167,186.2,4.5,30.4
0.23256241633488695,0.24154980300685308,U12,MN8014,7.965412840409456,10.018418022733877,CPG,CPG,0.1099644888549842,0.12490707214881637,0.060788181215911716,181.61269784618324,0.6072772662890644,-0.0039954824834218475,533eba0d,195.2,5.8,27.5
0.255392248128934,0.2758393851192429,U12,MN8014,9.436546855072418,17.91524476773018,CPG,WPG,0.1113935333653581,0.11633690773355701,0.5641736864708174,79.0439937109343,0.7381948531470179,0.04319557014253604,7bec9ff7,210.0,3.7,27.2
0.24590246978824826,0.24282338843908763,U10,MN8014,16.447936195467335,20.40133730946283,WPG,WPG,0.10603477088739913,0.11214661844792073,10.362673845288354,65.50287366133631,0.35093969761014615,0.744230155245905,4f82c7c5,132.0,5.6,26.1
0.2674468721808966,0.2600953605077986,U10,MN8014,13.802754958586604,19.571820407540102,WPG,WPG,0.11028815960862093,0.1278757222600715,32.76030268233004,107.23998232189852,0.18884639286616822,1.1798165418556494,b94a0ab8,212.4,7.3,32.3
0.2681519335109567,0.26207436524817007,U12,VT8020,12.624902083247967,18.857431131140103,CPG,WPG,0.1115211093423242,0.13061612466553346,3.4843402003727935,73.56576933645854,0.021178814120770967,0.10702645429964744,e51b1397,152.3,4.6,26.2
0.2291176399841115,0.2548188102491464,U10,MN8014,4.279338921643429,12.105694411439341,CPG,WPG,0.10573144250029257,0.10492840140200316,24.18599913484557,56.95895414145594,0.3031133489396578,1.1796364853416665,8362de39,168.1,4.7,30.1
0.25860965414614007,0.286564225316986,MN8014,VT8020,17.641802677076917,15.812578603027264,WPG,WPG,0.10310866856023426,0.12180637513684442,5.446118589314044,19.065177007863664,0.2512431543304818,0.23023180468283932,2744054a,141.1,5.3,28.4
0.25725037146072893,0.27706592910469074,U12,MN8014,10.495949051407209,24.947287940857006,CPG,WPG,0.11620471008556348,0.12559605264194745,1.4741284439279736,27.8553255800161,0.3447479991694884,-0.07760474188766577,9865dbae,155.4,4.9,23.3
0.2427007442284217,0.2690295059536726,U12,MN8014,18.387177908094056,16.51331714354987,WPG,WPG,0.11579610119156729,0.1163441688308578,5.73208771469366,25.15072104587492,0.2493372617692659,0.2553300094184711,dd9c8128,190.1,4.9,27.7
0.2424634669188099,0.2754332245931631,U10,MN8014,22.244349923654717,13.166557452830869,WPG,WPG,0.1153459989133323,0.12650244558824714,7.1344252134716175,51.30203739610148,0.6455557114419767,0.4368812814362678,09c9ad5b,171.3,4.3,27.0
0.26450593252182153,0.24769261170598014,U10,U12,18.656173191159862,13.162114180118005,WPG,WPG,0.1063278282164432,0.13325705923917708,2.1994104492559234,98.49282450933877,0.016257860676888024,0.043547687570788245,d4e3514e,218.9,7.5,26.1
0.2513867246541151,0.27887191744607986,U10,MN8014,13.898085908239468,15.874383946117348,WPG,WPG,0.09225718730051072,0.12775946522999282,17.24426995556816,101.07058181803482,0.3639445463656351,1.0641747347734813,dd4ac301,143.1,4.0,27.3
0.26630445359591925,0.2875544057286412,U10,MN8014,9.547045269380986,12.315902195050304,CPG,WPG,0.1040192718953755,0.11312967212421349,17.062948738556248,72.18402966889757,0.37749835153589956,1.2899370283642695,6a8ea58d,154.6,6.5,26.0
0.23249329356576076,0.24328595858735835,U8,MN8014,12.759538508124505,14.223486695543324,WPG,WPG,0.09968433884412067,0.1244715989715331,18.7434178650866,99.2630927576326,0.4215684929912794,0.961676783835595,d8e733ef,196.3,5.1,30.8
0.23398704627616843,0.2573946841475975,U10,U12,8.461896627008024,14.699882464744924,CPG,WPG,0.10414400441661364,0.1220048263471657,27.238655070881943,244.5122818632774,0.24056505538915407,1.4554739322259402,0b62aa0f,199.5,5.2,31.6
0.22420900631157384,0.251104931443351,U10,VT8020,6.351266162573818,16.172913393611857,CPG,WPG,0.09700814229087028,0.11004438168277493,25.12903893398956,125.98146753393257,0.41578274839244994,1.3484400901398887,48eed52a,252.3,4.8,31.5
0.2148549641502502,0.26034918897992987,U8,MN8014,5.795087711777073,14.558190716896725,CPG,WPG,0.1087594097175355,0.13635595503280337,24.762991395115503,264.6513007720225,0.34205676944412594,1.2791395639617287,e383fa84,209.1,5.8,34.9
0.21768070618030866,0.27735409563785707,U8,U12,6.756257556731478,16.009784405077312,CPG,WPG,0.10670162324433821,0.11104227164025343,19.877916894900675,51.28277653317455,0.36717896261459604,1.0475623303727986,2ba64a93,147.8,5.0,29.1
