Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration,Best distance,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.2730440954075135,0.24785671056131447,U12,MN8014,7.560002599584243,15.444352614522657,CPG,WPG,0.1226012732023888,0.12519138344964248,0.2155163326167827,118.09133418999791,0.0011726156952818964,0.2155163326167827,00273043,189.2,4.2,32.3
0.2737812145164909,0.24852812693470627,U12,U12,18.617230258207332,20.199920711933242,WPG,WPG,0.07140286036095943,0.13809041432408742,0.09174128517888577,153.71412872737326,0.006876418952805759,0.09174128517888577,deef45ca,180.8,3.8,24.4
0.24797864776381512,0.2489538322276656,U12,VT8020,9.51348554782425,18.744819335134387,CPG,WPG,0.10249219924190284,0.13033181943516114,0.20479623211989506,53.05943132075831,0.5512618487655546,0.20479623211989506,5e75f6f0,186.2,4.5,30.4
0.2459576364475906,0.2380327469350761,MN8014,MN8014,14.17616583196302,14.350801166884454,WPG,WPG,0.09756578085837314,0.12177203624135462,0.29328913508160775,146.26640063176674,0.6921765892266424,0.29328913508160775,38cde43f,245.8,6.1,27.2
0.255392248128934,0.2758393851192429,U12,MN8014,9.436546855072418,17.91524476773018,CPG,WPG,0.1113935333653581,0.11633690773355701,0.043195570142536485,79.04399371093429,0.7381948531470182,0.043195570142536485,02ad1bae,210.0,3.7,27.2
0.23256241633488695,0.24154980300685308,U12,MN8014,7.965412840409456,10.018418022733877,CPG,CPG,0.1099644888549842,0.12490707214881637,0.003995482483421237,181.6126978461832,0.6072772662890642,0.003995482483421237,2d9ee349,195.2,5.8,27.5
0.24590246978824826,0.24282338843908763,U10,MN8014,16.447936195467335,20.40133730946283,WPG,WPG,0.10603477088739913,0.11214661844792073,0.6333137975577683,74.47531924878156,0.39753613352292044,0.6333137975577683,6576c644,132.0,5.6,26.1
0.23370352024987393,0.23993558409465748,U12,MN8014,8.0278154258169,19.66063814452583,CPG,WPG,0.1118652012731937,0.14300169417663283,0.11992653957713542,192.41931643133154,0.5214887248722472,0.11992653957713542,cd838dfc,180.6,6.6,31.5
0.23635408056568002,0.25353805045434796,U12,MN8014,6.784271440787234,16.908862342970583,SSPG,WPG,0.11437476139758215,0.13168149753344915,0.0808362071723181,143.48283905820955,0.573448691922857,0.0808362071723181,9502b824,173.6,5.5,31.0
0.28094089263745087,0.24202083081035558,MN8014,VT8020,4.178736446436054,14.526554107356878,SSPG,WPG,0.10259888992814296,0.12510463290374224,0.2839009296792879,20.16956620973728,0.036899653238850603,0.2839009296792879,5f536d2d,182.5,6.5,33.4
0.22550825568020916,0.2552153567012284,U12,MN8014,20.923824989334797,21.400692493439486,WPG,WPG,0.10431175837664801,0.1536483834161509,0.2240512978797195,120.73921136737256,0.5646012657048985,0.2240512978797195,eeeee43f,174.4,3.9,21.7
0.23579345999016965,0.23363393952900613,U12,U12,5.294239311053968,17.03076250521346,SSPG,WPG,0.11208919919976562,0.12119439184101896,1.3746869417739127,154.6765143322393,0.3411165643416013,1.3746869417739127,47798301,215.7,4.2,37.0
0.26772728902855686,0.22689783466644167,U12,MN8014,9.331342157658725,20.22588797160416,WPG,WPG,0.10315206890048212,0.13987763693491384,0.0768051630561678,52.80485957834768,0.0026152040779371913,0.0768051630561678,6cc4f8c8,143.2,4.5,26.1
0.26638530805226235,0.21361066441604293,U12,VT8020,7.553648374438277,18.584316892638377,CPG,WPG,0.10519454440868808,0.1197296458467358,0.06165108653423115,321.04987023841664,0.0017062336566745415,0.06165108653423115,d83cf8aa,209.3,4.6,32.5
0.27282003650174314,0.2680805925754929,U12,VT8020,15.402406017662276,16.453911488628425,WPG,WPG,0.09160714053113435,0.13032144893183356,0.09165527385875731,139.17051190450167,0.05077728004809194,0.09165527385875731,fe0fb260,210.6,4.4,28.9
0.2572164716324149,0.25054127526084435,U12,VT8020,5.344089571065918,19.05197315397547,SSPG,WPG,0.11247775857468859,0.12983244794431928,0.9160091702820351,28.26446434188413,0.13594021704926773,0.9160091702820351,b98ce67d,226.0,4.7,34.5
0.2750993443669287,0.2332122877219955,U12,MN8014,4.032366421064329,20.812493190470107,CPG,WPG,0.09016544956448028,0.12698974768226934,1.1894877255859304,266.048618720596,0.19126951989838553,1.1894877255859304,c3e922a9,241.9,6.0,32.1
0.2625838747158267,0.2630553786318171,U12,MN8014,8.7994168028454,20.206123940426338,CPG,WPG,0.09690810358107003,0.12514191183961887,0.19143873746879664,28.17090261591864,0.36203133377987956,0.19143873746879664,07307802,185.2,6.7,30.8
0.2502281832566306,0.24589646761953504,U12,MN8014,7.3816815495976185,13.82186887836759,CPG,WPG,0.11309226625525189,0.11907498898686636,0.14779623241096632,28.312300629543902,0.37598021265916814,0.14779623241096632,6fd3da31,153.0,5.7,31.5
0.24368396168901513,0.2695240032283255,U12,MN8014,5.88162169199136,16.742991992828916,SSPG,WPG,0.1172578013705493,0.14181805499774827,0.724812587409526,127.96718255916582,0.6560654015496155,0.724812587409526,d54da6bb,207.1,5.0,28.5
0.26412399864569475,0.24489974751995724,MN8014,VT8020,4.014290101150946,18.927506387886385,SSPG,WPG,0.09206297986185825,0.13840980417617318,0.5384535622321047,53.487621568394616,0.0046576361821897005,0.5384535622321047,4b270007,164.2,3.9,31.3
0.2344429357784491,0.2786698105386873,U12,VT8020,4.9506226643917834,18.796114182415224,SSPG,WPG,0.1010730664249527,0.13218528637622945,1.2137710934976509,149.04662706276193,0.1430960129461088,1.2137710934976509,ffd66145,286.5,5.7,35.2
0.2556174793646751,0.26817094290130555,U12,MN8014,4.921990889646343,14.083645846792804,CPG,WPG,0.10375009316851552,0.12244254254842521,1.0560301175880358,73.1225834188901,0.5914262653089485,1.0560301175880358,3430c579,214.7,4.2,30.6
0.25174674688981546,0.24239901927393082,U12,MN8014,9.259857618700364,17.87671075980395,WPG,WPG,0.09799773051412852,0.12447927538311639,0.5829384746557018,81.59982466252245,0.43522710282726434,0.5829384746557018,00765f9b,158.6,5.4,33.7
0.26900927044064293,0.252401619804415,U12,MN8014,9.818759385928498,15.680692998999342,CPG,WPG,0.09775271188472316,0.11306320809527526,0.03561606186050243,156.9680938549615,0.003332326026227414,0.03561606186050243,7270db08,188.1,4.2,33.8
0.25923817514603337,0.2362690778264701,U12,VT8020,8.211413218467866,15.256303223793873,CPG,WPG,0.09973415208740638,0.1138477793720791,0.058626943431079756,69.17019824396004,0.019854716842598923,0.058626943431079756,541a5575,165.1,4.4,31.4
0.2757834592546415,0.24746362626620202,U12,VT8020,5.056160142200947,10.433976131662341,SSPG,CPG,0.09086593006634991,0.11448564695916234,0.1768809781162846,165.4283638610271,0.009183550230880168,0.1768809781162846,142e5582,136.0,5.7,36.9
