thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,push_duration,best_index,best_cost,ac1,ac2,ac3
0.24797864776381512,0.2489538322276656,U12,VT8020,9.51348554782425,18.744819335134387,CPG,WPG,0.10249219924190284,0.13033181943516114,3,34.42710176494704,186.2,4.5,30.4
0.24317295557630064,0.26063949811778764,U12,MN8014,15.150819030588542,21.007711139156623,WPG,WPG,0.09553442153255895,0.08210910795780041,3,21.679320570960748,207.3,4.2,31.6
0.2255881166646237,0.25297674050070756,U12,MN8014,16.8554551102748,21.43660815011376,WPG,WPG,0.09159887805226906,0.09187274054096203,0,20.66921724648531,183.0,3.9,28.4
0.2353609949082547,0.23539722194794624,U12,MN8014,22.388355619094384,24.66417757152561,WPG,WPG,0.10715710668649475,0.07884449124965484,0,37.53617756772371,166.6,4.3,24.0
0.242592209948296,0.25754646531933456,MN8014,MN8014,22.04640823215111,22.157922292487584,WPG,WPG,0.09165237630339182,0.07424739257146691,3,20.306496843479565,255.4,5.0,25.9
0.2461608093233647,0.2448418320890295,MN8014,MN8014,17.512981285950225,16.048714211263512,WPG,WPG,0.10247152342069885,0.10057227929403229,5,19.28287870153123,173.8,4.0,25.5
0.21122070669713483,0.2355258065926676,MN8014,MN8014,25.406439611095898,29.14453695802214,WPG,WPG,0.09445534132652564,0.07068281252693438,0,15.719699701001364,162.2,3.1,26.6
0.2160612749919287,0.25683303330023377,MN8014,MN8014,15.276428015623882,24.51190231247478,WPG,WPG,0.09281840816135059,0.05533471997537511,3,20.810141167574166,229.2,3.7,32.4
0.22412872150135282,0.26119591197669006,MN8014,MN8014,17.18510621218075,20.579321513640675,WPG,WPG,0.10405709556258601,0.06583051354153077,3,25.797335980396937,242.2,4.0,28.6
0.23857110524488756,0.24195805860331437,MN8014,MN8014,15.888273538622935,13.065732699078472,WPG,WPG,0.08349606154269414,0.051240743197695594,4,19.3972916042474,293.0,3.5,32.2
0.2327915412056659,0.26932729204190897,MN8014,MN8014,15.921731876251823,18.98315260251522,WPG,WPG,0.09795908964460032,0.050402460565525824,4,14.859381035148868,312.7,4.2,29.8
0.21342545394343157,0.26189338783407945,VT8020,MN8014,14.102447189744133,17.53174616341672,WPG,WPG,0.08838207229706482,0.05155094336779147,5,15.07935923599964,210.6,4.8,28.2
0.20094624521488066,0.2572553041066824,VT8020,U12,22.902699438177798,23.414268648796202,WPG,WPG,0.09510604050108373,0.05103945254679132,2,11.162203762677951,219.2,3.6,28.2
0.22823298492195485,0.2593035840178085,VT8020,MN8014,20.995809752079694,19.202427077307178,WPG,WPG,0.09275384465926129,0.06652276018474951,4,17.048245209391787,246.1,4.1,28.9
0.21141661442351217,0.24503890378649465,VT8020,MN8014,21.58095889950497,21.75144507757545,WPG,WPG,0.07823784685839338,0.05122442281716772,4,16.75322391518872,248.4,4.4,27.4
0.22025497442217412,0.2285261205826353,VT8020,MN8014,25.930548874770754,23.334774122399285,WPG,WPG,0.08513944871718321,0.05126841009466092,1,18.50018417976399,225.3,4.3,21.6
0.2225647394371073,0.24801772431162428,VT8020,MN8014,28.214118187114735,21.003149294291276,WPG,WPG,0.09816976258656128,0.051956782440288556,3,23.437558817766437,230.8,5.1,25.7
0.22739917217438507,0.23273460424640308,VT8020,VT8020,29.901245365512022,22.575136340046598,WPG,WPG,0.087577107955879,0.0644398931373673,0,16.90490946393014,223.9,5.7,26.4
0.2301348965090324,0.2563017243101541,MN8014,VT8020,35.875868065245264,23.74359842321607,WPG,WPG,0.08566693784861046,0.06182961296157479,7,13.29438405759843,215.3,5.1,27.1
0.2179349749300665,0.26370337936887556,MN8014,MN8014,40.27595572996308,19.15451588624619,WPG,WPG,0.09259113849036787,0.05000014819218379,7,19.46964169426652,219.1,3.7,27.7
0.2157742147176977,0.2555669282438798,VT8020,MN8014,35.40014294530121,20.384582374176556,WPG,WPG,0.09580073198030208,0.05154683423716142,6,14.220567145405155,190.6,5.4,31.6
0.22833085691758312,0.276150345414069,VT8020,MN8014,42.4124150581552,20.641753621073974,WPG,WPG,0.10099768712886883,0.05001817875757372,7,14.583126645811474,197.5,5.9,26.9
0.23575221156828252,0.2536567937914178,VT8020,VT8020,42.61593983635043,20.74803739804471,WPG,WPG,0.10212910005658357,0.050608024441232524,4,15.693462811961162,208.1,4.7,27.3
0.2314215837635831,0.2642549754727265,VT8020,MN8014,50.91160033638498,21.82931156060314,WPG,WPG,0.11542615550389206,0.054551780754871146,7,16.331114516751796,235.1,4.5,24.6
