thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,push_duration,best_index,best_cost,ctrl_v2_param1,ctrl_v2_param2,ctrl_v2_param3,ctrl_v4_param1,ctrl_v4_param2,ctrl_v4_param3,ctrl_v6_param1,ctrl_v6_param2,ctrl_v6_param3
0.2410914001700279,0.24035756613329687,U12,MN8014,14.437622126847048,10.9562958758135,WPG,CPG,0.09869339384860315,6,8.987366538162672,228.4,5.5,34.1,161.9,7.5,25.1,232.7,5.0,28.1
0.23329693269907864,0.25029229931132724,U12,MN8014,10.978060663071638,9.018849404370846,CPG,CPG,0.11146963361141875,6,9.144094559791803,257.3,5.1,29.8,216.0,7.3,24.9,169.8,5.1,32.4
0.26687179096092695,0.23615839238423314,U12,MN8014,18.584158462939527,21.468389645816487,WPG,WPG,0.10586487064641138,6,10.69156054745083,209.8,5.7,23.5,180.3,7.5,24.7,153.2,5.5,27.6
0.27799824379981997,0.2528451186228472,U10,MN8014,17.063949001469396,19.226186359545693,WPG,WPG,0.08973394496896725,2,9.372882343915874,216.1,4.5,19.2,176.6,7.1,27.3,104.1,5.3,26.8
0.2629925349460383,0.2665889740867316,U12,MN8014,15.947902497939076,8.111001574523272,WPG,CPG,0.10027664901346547,3,4.4362835436871855,276.5,5.5,26.3,182.8,6.9,28.0,126.0,5.4,28.2
0.2598910608271271,0.22023376717368642,U12,MN8014,24.9169726511295,5.7479391710428365,WPG,SSPG,0.0972422294180689,1,3.316197051994644,196.1,4.6,22.6,115.7,7.2,28.5,85.1,7.1,29.8
0.2796368357998685,0.22869247860229663,U12,MN8014,18.236468975024554,18.220197461859325,WPG,WPG,0.088975702225082,6,5.85451921231426,215.2,4.0,31.8,96.1,7.0,29.2,103.7,5.7,24.2
0.2604662783551073,0.21503082299669382,U10,MN8014,15.304212569025514,4.0119979019362395,WPG,SSPG,0.09969766890504908,3,3.5347727025945272,191.1,4.5,28.5,91.5,8.5,33.8,114.0,7.0,26.6
0.2855180555877672,0.2174584797155456,U12,MN8014,24.209499203848367,4.699312155284631,WPG,CPG,0.11146153788748207,6,3.1131389107412253,208.4,5.6,30.6,141.6,7.2,33.5,130.5,5.9,21.9
0.2700736904488235,0.22512966710294327,U12,MN8014,22.23548242158377,4.1961190366806465,WPG,SSPG,0.1078158487470838,0,3.291327900479116,200.6,5.6,26.2,50.4,6.5,39.7,97.7,5.1,23.9
0.2886803263381066,0.25402976100193303,U10,MN8014,27.31504182718908,4.001495669060894,WPG,SSPG,0.09664381436338454,6,3.196140118587295,144.8,6.8,33.1,50.1,5.6,42.8,102.2,5.5,22.3
0.2515831604173496,0.22239223132353522,U10,MN8014,30.485323912148967,4.029176333257826,WPG,SSPG,0.08767048565930102,2,3.2106026496350184,101.2,6.8,30.3,63.5,6.3,40.4,76.1,6.9,18.6
0.26502339815894005,0.2569116896241548,U12,MN8014,33.809450104122625,5.778348183235713,WPG,SSPG,0.08069303431809006,6,3.20840885692175,139.4,8.3,31.6,54.7,6.7,41.7,220.3,5.6,13.6
0.24391752464952648,0.25846722576493414,U12,VT8020,22.46481631352749,4.006760741052313,WPG,CPG,0.0712607034215355,2,3.1118525909505976,105.3,8.5,27.3,81.1,6.4,44.8,168.4,2.7,19.1
0.26729742554428515,0.24222600677699974,U10,MN8014,26.731573283481016,4.609152728711001,WPG,SSPG,0.09102312682490887,3,3.2199822194822088,101.0,8.3,26.2,92.9,6.2,46.2,122.3,4.8,20.6
0.273363211186947,0.28493841020126853,U10,MN8014,24.335944294883205,4.12529300198292,WPG,SSPG,0.08077738442861292,2,3.117692802453061,66.7,9.0,29.1,93.0,7.2,47.0,79.6,4.1,23.7
0.2307323171700549,0.2753387738328902,U10,MN8014,21.42556610894939,4.063381491827349,WPG,SSPG,0.07197119184551029,1,3.1675319679731238,71.9,9.9,19.8,71.3,7.6,43.6,50.3,4.3,19.4
0.22066815455510896,0.28309224188154475,U10,VT8020,25.215485686827932,4.6549415858570145,WPG,CPG,0.07430251383578501,2,3.0627402575053786,157.1,9.6,20.8,120.4,6.2,41.1,71.0,3.4,20.9
0.22222662654424308,0.3055625050852151,U10,VT8020,23.88353157039543,4.219240675044948,WPG,CPG,0.06821063754761755,5,3.048622396129164,122.9,8.6,31.5,111.8,8.3,41.0,61.1,5.1,31.0
0.23506028881164648,0.30995956139702263,U12,MAD_M6C12,24.28093945216067,5.363723748103915,WPG,SSPG,0.05304892999231339,2,3.017296864720122,110.5,9.7,25.0,57.0,7.6,45.9,84.1,5.9,28.6
0.2384542510944441,0.3238775044898685,U10,VT8020,17.77562952951442,4.61462030303629,WPG,SSPG,0.07065754158644491,0,3.0145166911862695,139.5,8.6,18.4,94.7,8.7,46.8,50.5,6.8,31.3
0.25838867270542215,0.3085267516520458,U10,VT8020,22.47964680021151,4.411710966708207,WPG,SSPG,0.05215211384846339,7,3.0624628811351884,51.8,9.7,23.3,51.7,6.7,49.3,55.1,5.1,28.6
0.25746983883861496,0.3103511765929552,U12,VT8020,27.724919631607676,4.986477336979759,WPG,SSPG,0.06851885702295628,0,3.041206811396975,96.4,6.9,19.4,82.2,8.0,44.5,71.7,6.3,26.9
0.22522665773146874,0.3280270665549739,U10,VT8020,23.627146197641984,4.096394315769497,WPG,CPG,0.06289485914091278,7,3.0161747424017054,191.9,8.6,11.2,85.6,8.8,44.5,77.9,5.6,33.4
0.22963633963516647,0.33447937921463755,U12,VT8020,26.80398711676629,4.000542934217319,WPG,CPG,0.05933564433023096,0,3.003826543788389,115.0,6.5,17.4,67.4,7.9,48.5,103.1,6.2,36.0
0.21756287029170224,0.3226643355941368,U10,VT8020,35.816942732254184,4.349565683301661,WPG,CPG,0.05809080143110471,2,3.011687454767603,65.6,9.1,17.3,51.8,7.0,48.1,119.9,5.4,34.6
0.2039029702931441,0.3172834355330231,U12,MN8014,32.45173442963919,4.04647848938221,WPG,SSPG,0.06708968786415023,6,3.017897997494711,125.7,9.0,15.6,57.5,6.2,48.6,51.6,4.8,33.5
0.1782123468050058,0.32396377402552023,U12,MN8014,26.556474923326867,4.077005180441534,WPG,SSPG,0.08986227492980478,4,3.0054418489345296,124.5,7.0,20.6,55.0,8.2,46.2,80.9,5.5,34.4
0.17547260001283016,0.3150477114442316,U12,MN8014,27.97005453208518,4.303056842422848,WPG,CPG,0.07163748860522731,1,3.011652810196687,83.3,8.6,18.2,81.9,7.2,45.1,72.0,4.2,31.9
0.18238653711674563,0.3032754760394252,MN8014,MN8014,19.381696423077088,4.038368266420085,WPG,SSPG,0.07910301865253107,2,3.05894561472284,58.0,9.6,19.9,66.6,4.7,47.7,138.2,4.4,31.4
0.18342599144851712,0.27232173824572137,U12,MN8014,16.657487430056364,4.023539876379384,WPG,SSPG,0.071816576112063,6,3.099851489613088,165.2,9.9,14.8,81.1,5.9,42.0,118.3,3.8,21.7
0.17815605810886748,0.2910815146823558,MN8014,MN8014,20.12440598454373,4.122575753603385,WPG,SSPG,0.08489039530590656,5,3.1430491750942107,183.3,10.0,14.5,55.0,4.7,42.7,155.3,1.8,20.6
