thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,push_duration,best_index,best_cost,ac1,ac2,ac3
0.24590246978824826,0.24282338843908763,U10,MN8014,16.447936195467335,20.40133730946283,WPG,WPG,0.10603477088739913,0.11214661844792073,1,-33.678689997187156,132.0,5.6,26.1
0.2674468721808966,0.2600953605077986,U10,MN8014,13.802754958586604,19.571820407540102,WPG,WPG,0.11028815960862093,0.1278757222600715,3,-106.47098371757264,212.4,7.3,32.3
0.23398704627616843,0.2573946841475975,U10,U12,8.461896627008024,14.699882464744924,CPG,WPG,0.10414400441661364,0.1220048263471657,4,-88.5256289803663,199.5,5.2,31.6
0.22563319101726242,0.2623131664540296,U8,MN8014,13.005792627535321,11.157727189367483,CPG,CPG,0.10052336409560436,0.13209738413468972,2,-104.12349707529414,223.3,7.8,28.8
0.22372867161530408,0.28162690008783664,U8,MN8014,9.933730718034557,14.597300273489681,CPG,WPG,0.11941966794773476,0.12105140838752806,1,-106.53379423554885,186.3,5.7,30.7
0.18611405993346714,0.2694533759084066,U8,MN8014,4.720474636347526,19.28424631452168,CPG,WPG,0.1197464067967757,0.10371128550982242,3,-113.6697739669347,225.4,7.2,31.4
0.18816935472349308,0.2773665577214607,U8,VT8020,7.611910465942593,18.47164658968031,CPG,WPG,0.113940058745509,0.11057910718302022,0,-125.92852017774867,274.7,5.7,33.8
0.16958407563375577,0.28374524605835283,U8,VT8020,4.313364380352317,23.145965067794442,CPG,WPG,0.09846394210935876,0.09031754567730471,3,-192.71726268380414,288.3,4.5,30.8
0.1541215662263096,0.2763124223061892,U8,MN8014,4.2240672044419885,24.21870052758157,CPG,WPG,0.11585708320176925,0.07971407126115267,7,-202.30237630306672,366.4,5.1,30.4
0.17670061820068453,0.29819540882627127,U10,U12,9.78659291781403,36.20583607186567,CPG,WPG,0.1390179996000282,0.11363321202052463,0,-206.2733363629453,336.6,4.0,25.7
0.15168155981404427,0.3024168035236252,U8,MN8014,6.780904616023078,28.93158832946351,CPG,WPG,0.12701708019253666,0.09770109858876605,2,-280.71514797069193,374.7,4.6,29.9
0.15330293793453273,0.26720455478554683,U8,MN8014,16.839588477036376,26.598533102113137,WPG,WPG,0.13108650910578956,0.0660974076813345,6,-297.8203479028722,364.7,3.7,28.8
0.15618229351649524,0.2514946634681044,U8,VT8020,15.171670553766273,39.63829865691375,WPG,WPG,0.12827006898327098,0.05955277413723917,1,-274.97764654164547,469.5,2.0,26.8
0.1694848524985122,0.28644042564321526,U10,VT8020,12.044224893027394,37.681462978801456,CPG,WPG,0.1268225640445454,0.050595725044827525,3,-280.00006093889834,410.7,1.4,29.1
0.162994971172645,0.26616522535057585,U8,MN8014,9.78522730371029,41.95617787168612,CPG,WPG,0.14793375814303503,0.07707449130150165,2,-270.24186855865764,450.0,3.0,25.5
0.1730645682947291,0.28943913812571587,U8,VT8020,7.119182749088932,47.00327904089607,SSPG,WPG,0.14129149655368584,0.052129413372449605,0,-212.15834571333897,446.8,1.8,31.1
0.18061202393335507,0.3148360979444652,U8,MN8014,8.258986093961333,56.18211036011022,CPG,WPG,0.14551884015918937,0.05618855497694756,5,-265.42329815003797,497.2,1.4,25.7
0.19967369265191987,0.29009138832185855,U8,MN8014,14.983315239740383,43.34014692405297,WPG,WPG,0.14465248635640918,0.0697892506471185,5,-195.26084070583138,496.7,0.1,29.5
0.19351359704918808,0.3341146754110724,U10,MN8014,5.93391693439402,39.7657451377621,SSPG,WPG,0.14930036695985036,0.05088434672905794,7,-237.16557801724414,482.6,0.1,29.6
0.2186383657340889,0.3483250256565903,U12,MAD_M6C12,4.122929277326196,51.04841521731527,SSPG,WPG,0.10933134812252693,0.05825095586103075,2,-260.0669557948983,458.4,0.4,32.3
0.18006842793255295,0.3450492507917216,U10,MAD_M6C12,7.366817846411563,49.985746469639516,CPG,WPG,0.14236498539292652,0.05709530779683161,0,-251.01122631127092,417.9,0.1,28.9
0.17907022964206953,0.3122753878916203,U12,MAD_M6C12,4.440973447445996,40.509263317164354,SSPG,WPG,0.12736853996146713,0.05035404215628548,2,-215.49687497490726,499.4,0.8,26.4
0.16525800465255622,0.34994002796822044,U12,MAD_M6C12,4.034669506799323,45.09594871107995,CPG,WPG,0.1437707176266061,0.05948704863383386,7,-261.1794094272712,434.3,1.4,39.0
0.15019676921608296,0.2943437445282572,MN8014,VT8020,4.016710093853792,33.676528723492595,SSPG,WPG,0.12304075438259378,0.06840241881416863,7,-261.8424294682905,495.1,2.0,23.3
0.15437455810755077,0.2836339324417452,U12,VT8020,4.160938748555935,32.776544914205,CPG,WPG,0.1305426048710247,0.06882528534440009,2,-264.93381342556387,439.3,1.3,27.1
0.17273728758303264,0.2932481028380871,MN8014,VT8020,5.30940442849513,52.482286371662,CPG,WPG,0.14897140427820388,0.09340699280949177,7,-255.46796101711863,491.2,0.1,24.2
0.19016955419893078,0.3221588965626895,U12,MAD_M6C12,7.236828676212053,59.966333828595914,SSPG,WPG,0.14694808316700203,0.09665885463192125,2,-271.48771937916763,432.3,1.4,19.2
0.16445704129445984,0.30652212482798535,MN8014,MAD_M6C12,4.111121920984028,59.79453447168258,SSPG,WPG,0.14678573000801437,0.06433454581228057,5,-239.61194189740684,371.1,3.5,26.4
0.1515572747330467,0.31120566426884244,VT8020,MAD_M6C12,4.823944138244739,59.000058016499985,SSPG,WPG,0.13121844032580357,0.06816672908239495,3,-226.83725921098397,479.8,0.3,19.9
0.17537605158003458,0.34159068819770944,MN8014,MAD_M6C12,10.103518825150449,59.89637124086067,CPG,WPG,0.14686871855662567,0.08021778203573192,0,-329.4361460307569,446.1,1.9,21.4
0.1814078882587476,0.30889081545638897,MN8014,VT8020,5.840827869709228,59.149066092845565,SSPG,WPG,0.11907890637352646,0.05780357803856439,7,-238.81772317597446,495.7,4.9,24.4
0.1502378466050176,0.28041613105703156,MN8014,MN8014,9.14068868593288,59.06001641149645,CPG,WPG,0.1349195889686099,0.07529951364985471,0,-302.10993688036456,386.6,4.2,31.5
0.1762633993501758,0.34070075007009454,MN8014,VT8020,9.582894628663858,52.65997386306529,CPG,WPG,0.11005272798445884,0.05180362566715939,2,-289.06717457778774,419.4,4.8,25.5
0.15128016099056932,0.32962856338775604,MN8014,VT8020,6.8960223358471,53.7051045719051,CPG,WPG,0.13928048778830704,0.05095078339550586,3,-312.30751679435565,361.6,0.4,21.2
0.18632696526403014,0.3482331860785857,MN8014,MAD_M6C12,5.974110958364384,59.793026834213,SSPG,WPG,0.1254482494091967,0.05276733012049231,5,-288.8948653715348,409.9,1.2,31.6
0.20997552349144472,0.34135584140118946,MN8014,MAD_M6C12,7.3043137421054025,59.989612666289716,SSPG,WPG,0.12688494562678482,0.08944565838668556,7,-284.4324355972382,411.2,0.2,22.5
0.21551068582311103,0.33947667077662236,MN8014,VT8020,10.57397455692664,57.80096840702041,CPG,WPG,0.13489277790418985,0.09372605848787813,4,-262.48831625814904,456.5,2.2,32.4
