thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,push_duration,total_tracking_error,total_energy,cost,unique_id,ac1,ac2,ac3
0.2730440954075135,0.24785671056131447,U12,MN8014,7.560002599584243,15.444352614522657,CPG,WPG,0.1226012732023888,0.12519138344964248,153.0932619205582,472.365336759991,200.32979559655732,4a5197ed,189.2,4.2,32.3
0.25882454973770086,0.24338256688294518,U12,MN8014,18.86209566452111,5.227718581336303,WPG,SSPG,0.12430793285028109,0.10710771754659032,17.23337441307492,218.9533782673869,39.12871223981361,a9c23a45,173.4,5.2,28.7
0.2737812145164909,0.24852812693470627,U12,U12,18.617230258207332,20.199920711933242,WPG,WPG,0.07140286036095943,0.13809041432408742,18.662901447456875,614.856514909493,80.14855293840617,48300299,180.8,3.8,24.4
0.24797864776381512,0.2489538322276656,U12,VT8020,9.51348554782425,18.744819335134387,CPG,WPG,0.10249219924190284,0.13033181943516114,12.729981757749945,216.9712000719709,34.42710176494704,19265b63,186.2,4.5,30.4
0.2459576364475906,0.2380327469350761,MN8014,MN8014,14.17616583196302,14.350801166884454,WPG,WPG,0.09756578085837314,0.12177203624135462,5.544033305468083,599.0225376775445,65.44628707322254,f017009a,245.8,6.1,27.2
0.23256241633488695,0.24154980300685308,U12,MN8014,7.965412840409456,10.018418022733877,CPG,CPG,0.1099644888549842,0.12490707214881637,65.65057638118643,726.4507913847332,138.29565551965976,88182f1b,195.2,5.8,27.5
0.24590246978824826,0.24282338843908763,U10,MN8014,16.447936195467335,20.40133730946283,WPG,WPG,0.10603477088739913,0.11214661844792073,225.01385991568063,297.4690319835714,254.7607631140378,c13f430b,132.0,5.6,26.1
0.255392248128934,0.2758393851192429,U12,MN8014,9.436546855072418,17.91524476773018,CPG,WPG,0.1113935333653581,0.11633690773355701,50.21699459641097,310.7710058109378,81.29409517750476,4cafb43f,210.0,3.7,27.2
0.26954055718153896,0.2629654633759361,MN8014,MN8014,20.79421674888552,16.02678982779652,WPG,WPG,0.11527505826823035,0.10986551554742531,17.35128121939067,629.9022060932161,80.3415018287123,c3670659,254.8,5.6,22.5
0.22007982482372745,0.22103682263846572,MN8014,MN8014,9.40108955224903,16.446319542448876,CPG,WPG,0.11165175225415266,0.1241168925501631,20.94858427262953,456.41087356672335,66.58967162930188,185828a9,179.5,4.8,26.8
