Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,Cost,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.031124688117487264,8.820251141338854,0.23046406544454476,0.0727981814175432,36ac6735,5.737386710431938,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.030538424407112356,8.820251141338854,0.23046406544454476,0.0727981814175432,36ac6735,5.737386710431938,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.025858749015581432,8.820251141338854,0.23046406544454476,0.0727981814175432,36ac6735,5.737386710431938,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.02892115837359525,8.820251141338854,0.23046406544454476,0.0727981814175432,36ac6735,5.737386710431938,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3845417302846151,0.02943306780128174,8.820251141338854,0.23046406544454476,0.0727981814175432,36ac6735,5.737386710431938,726.4,3.5,32.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.03214020908937503,9.130367771961673,0.2375856671243613,0.0795308152232877,94745e9f,5.9140725490334445,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.03201246812699297,9.130367771961673,0.2375856671243613,0.0795308152232877,94745e9f,5.9140725490334445,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.026221497741246304,9.130367771961673,0.2375856671243613,0.0795308152232877,94745e9f,5.9140725490334445,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.03144502622200009,9.130367771961673,0.2375856671243613,0.0795308152232877,94745e9f,5.9140725490334445,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.37989319480740086,0.031742467450422585,9.130367771961673,0.2375856671243613,0.0795308152232877,94745e9f,5.9140725490334445,617.7,5.1,28.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.03695161234202851,9.55024234275833,0.24569449980746488,0.09684713841834214,206b7243,6.104086809420777,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.03596300737917221,9.55024234275833,0.24569449980746488,0.09684713841834214,206b7243,6.104086809420777,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.0347386063345746,9.55024234275833,0.24569449980746488,0.09684713841834214,206b7243,6.104086809420777,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.037729519057067104,9.55024234275833,0.24569449980746488,0.09684713841834214,206b7243,6.104086809420777,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.35562809677511104,0.03760367951691469,9.55024234275833,0.24569449980746488,0.09684713841834214,206b7243,6.104086809420777,518.7,3.8,29.2
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3632368246065512,0.036779213374516034,9.38243560130796,0.24257150809424657,0.09148580993141359,16a0dc66,6.018790061327091,518.6,7.4,29.0
