motor,target_ratio,actual_ratio,gearbox,mass,efficiency,cost,ratio_error
U8,10.9,10.89,CPG,0.713,0.949,-0.3007842016703912,0.0099999999999997
U8,11.0,11.0,CPG,0.668,0.939,-0.4089038060994726,0.0
U8,11.1,11.099099099099098,CPG,0.72,0.941,-0.3838746766511022,0.000900900900902
U8,11.2,11.2,CPG,0.685,0.937,-0.4015743056790092,0.0
U8,11.3,11.302083333333334,CPG,0.734,0.949,-0.3723376478986192,0.0020833333333332
U8,11.4,11.410714285714285,CPG,0.689,0.935,-0.291673880612229,0.0107142857142843
U8,11.5,11.5,CPG,0.738,0.947,-0.3909830770141254,0.0
U8,11.6,11.614617940199336,CPG,0.75,0.948,-0.2416922862075429,0.0146179401993364
U8,11.7,11.700980392156865,CPG,0.727,0.939,-0.3797246784772204,0.0009803921568654
U8,11.8,11.801242236024844,CPG,0.751,0.949,-0.3757626484350724,0.0012422360248436
U8,11.9,11.902597402597404,CPG,0.753,0.949,-0.3613055925529149,0.002597402597404
U8,12.0,12.0,CPG,0.708,0.944,-0.3990202253774983,0.0
U8,12.1,12.088145896656536,CPG,0.754,0.95,-0.2689433802784247,0.0118541033434631
U8,12.2,12.19047619047619,CPG,0.755,0.949,-0.2914181474716479,0.0095238095238094
U8,12.3,12.308970099667777,CPG,0.757,0.948,-0.2959325156394946,0.0089700996677759
U8,12.4,12.4,CPG,0.731,0.941,-0.3891905397137567,0.0
U8,12.5,12.5,CPG,0.721,0.945,-0.3949996430433178,0.0
U8,12.6,12.597402597402596,CPG,0.759,0.949,-0.3590901924921692,0.002597402597404
U8,12.7,12.70408163265306,CPG,0.739,0.939,-0.3444404318226115,0.0040816326530599
U8,12.8,12.7875,CPG,0.756,0.944,-0.257991049057359,0.012500000000001
U8,12.9,12.892857142857142,CPG,0.763,0.947,-0.3110879562087112,0.007142857142858
U8,13.0,13.0,CPG,0.741,0.936,-0.3827710141997848,0.0
U8,13.1,13.090909090909088,CPG,0.738,0.938,-0.2941457081215256,0.0090909090909114
U8,13.2,13.181184668989546,CPG,0.765,0.947,-0.1939608491712506,0.0188153310104528
U8,13.3,13.291666666666666,CPG,0.746,0.934,-0.2964663822627336,0.0083333333333346
