motor,target_ratio,actual_ratio,gearbox,mass,efficiency,cost,ratio_error
U8,11.5,11.5,CPG,0.738,0.947,-0.3909830770141254,0.0
U8,11.6,11.555555555555555,WPG,0.723,0.913,-0.3730888957052506,0.04444444444444429
U8,11.7,11.700980392156865,CPG,0.727,0.939,-0.3797246784772204,0.0009803921568654062
U8,11.8,11.801242236024844,CPG,0.751,0.949,-0.3757626484350724,0.0012422360248436348
U8,11.9,11.815384615384616,WPG,0.728,0.902,-0.3638411615932885,0.08461538461538431
U8,12.0,12.0,CPG,0.708,0.944,-0.3990202253774983,0.0
U8,12.1,12.1,WPG,0.771,0.886,-0.3393777558017696,0.0
U8,12.2,12.212121212121213,WPG,0.727,0.911,-0.370472880527252,0.012121212121213532
U8,12.3,12.212121212121213,WPG,0.727,0.911,-0.370472880527252,0.08787878787878789
U8,12.4,12.4,CPG,0.731,0.941,-0.3891905397137567,0.0
U8,12.5,12.5,CPG,0.721,0.945,-0.3949996430433178,0.0
U8,12.6,12.597402597402596,CPG,0.759,0.949,-0.3590901924921692,0.0025974025974040416
U8,12.7,12.692307692307692,WPG,0.771,0.902,-0.3496000212912637,0.007692307692307665
U8,12.8,12.9,WPG,0.767,0.912,-0.3576887730735849,0.09999999999999964
U8,12.9,12.9,WPG,0.767,0.912,-0.3576887730735849,0.0
U8,13.0,13.0,CPG,0.741,0.936,-0.3827710141997848,0.0
U8,13.1,13.090909090909092,WPG,0.74,0.911,-0.3664422923002559,0.009090909090907928
U8,13.2,13.142857142857142,WPG,0.822,0.881,-0.3188529434845984,0.05714285714285694
U8,13.3,13.333333333333334,WPG,0.738,0.917,-0.3706004110192435,0.033333333333333215
U8,13.4,13.333333333333334,WPG,0.738,0.917,-0.3706004110192435,0.06666666666666643
U8,13.5,13.5,WPG,0.774,0.91,-0.3546954374438504,0.0
U8,13.6,13.6,CPG,0.763,0.944,-0.3807650123877471,0.0
U8,13.7,13.75,WPG,0.749,0.882,-0.3440157451559033,0.05000000000000071
U8,13.8,13.75,WPG,0.749,0.882,-0.3440157451559033,0.05000000000000071
U8,13.9,13.92,WPG,0.702,0.897,-0.369544673647013,0.019999999999999574
U8,14.0,14.0,WPG,0.787,0.892,-0.3381482105508727,0.0
U8,14.1,14.090909090909092,WPG,0.751,0.899,-0.354360934350274,0.009090909090907928
U8,14.2,14.192307692307692,WPG,0.782,0.909,-0.3510151227435629,0.007692307692307665
U8,14.3,14.3,WPG,0.758,0.9,-0.3530962741559441,0.0
U8,14.4,14.425925925925926,WPG,0.784,0.915,-0.3541011160825552,0.02592592592592524
U8,14.5,14.5,WPG,0.712,0.881,-0.3552599419563832,0.0
U8,14.6,14.577777777777778,WPG,0.793,0.891,-0.335285816831708,0.022222222222222143
U8,14.7,14.761904761904765,WPG,0.771,0.857,-0.319675932734338,0.06190476190476524
U8,14.8,14.823529411764708,WPG,0.804,0.878,-0.3227201222468804,0.023529411764707575
U8,14.9,14.909090909090908,WPG,0.79,0.918,-0.3547280964402646,0.009090909090907928
U8,15.0,15.0,WPG,0.715,0.907,-0.3721373657376983,0.0
U8,15.1,15.085714285714284,WPG,0.8,0.903,-0.3407755542814073,0.014285714285716011
U8,15.2,15.238095238095235,WPG,0.757,0.89,-0.3463372380783006,0.038095238095236184
U8,15.3,15.353535353535351,WPG,0.752,0.913,-0.3632945711796206,0.05353535353535044
U8,15.4,15.4,WPG,0.721,0.879,-0.3509231347494415,0.0
U8,15.5,15.494736842105263,WPG,0.85,0.879,-0.3084882958421919,0.005263157894736636
U8,15.6,15.583333333333334,WPG,0.811,0.892,-0.3302915000970606,0.01666666666666572
U8,15.7,15.711538461538462,WPG,0.805,0.909,-0.343329355408674,0.011538461538462386
U8,15.8,15.785714285714286,WPG,0.761,0.899,-0.3508438302565532,0.014285714285714235
U8,15.9,15.954545454545457,WPG,0.762,0.906,-0.3554300424617284,0.05454545454545645
U8,16.0,16.0,WPG,0.761,0.916,-0.3628128538205144,0.0
U8,16.1,16.11111111111111,WPG,0.729,0.895,-0.3592722303236365,0.011111111111109295
U8,16.2,16.2,WPG,0.713,0.893,-0.362788002352385,0.0
U8,16.3,16.244444444444444,WPG,0.818,0.891,-0.3270413591610032,0.055555555555557135
U8,16.4,16.466666666666665,WPG,0.768,0.911,-0.3566116808491906,0.06666666666666643
U8,16.5,16.5,WPG,0.719,0.877,-0.3502787565653618,0.0
U8,16.6,16.615384615384617,WPG,0.819,0.9,-0.3327718115397626,0.01538461538461533
U8,16.7,16.675,WPG,0.738,0.879,-0.3454181543308998,0.02499999999999858
U8,16.8,16.77922077922078,WPG,0.776,0.897,-0.3449029595057061,0.020779220779221674
U8,16.9,16.88888888888889,WPG,0.78,0.887,-0.3368567269708379,0.011111111111109295
U8,17.0,16.96969696969697,WPG,0.776,0.919,-0.3596033197535971,0.030303030303031164
U8,17.1,17.1,WPG,0.779,0.904,-0.3484483063277379,0.0
U8,17.2,17.185185185185187,WPG,0.79,0.908,-0.3473981576730193,0.014814814814812394
U8,17.3,17.333333333333332,WPG,0.781,0.914,-0.3546399968521608,0.03333333333333144
U8,17.4,17.333333333333332,WPG,0.781,0.914,-0.3546399968521608,0.06666666666666643
U8,17.5,17.5,WPG,0.746,0.893,-0.3520055042670869,0.0
U8,17.6,17.571428571428573,WPG,0.788,0.899,-0.341943344274949,0.02857142857142847
U8,17.7,17.704545454545453,WPG,0.789,0.906,-0.3466201229610109,0.004545454545453964
U8,17.8,17.82716049382716,WPG,0.789,0.908,-0.3481683519501596,0.027160493827160792
U8,17.9,17.88888888888889,WPG,0.753,0.877,-0.3392462776527548,0.011111111111109295
U8,18.0,18.0,WPG,0.756,0.879,-0.3395929788988611,0.0
U8,18.1,18.05128205128205,WPG,0.809,0.855,-0.3059737420321525,0.04871794871795032
U8,18.2,18.22222222222222,WPG,0.795,0.911,-0.3477012179105748,0.022222222222222143
U8,18.3,18.22222222222222,WPG,0.795,0.911,-0.3477012179105748,0.07777777777777928
U8,18.4,18.416666666666668,WPG,0.812,0.882,-0.3231486157831378,0.016666666666669272
U8,18.5,18.5,WPG,0.8,0.901,-0.3396394468727667,0.0
U8,18.6,18.6,WPG,0.763,0.895,-0.3479402305383776,0.0
U8,18.7,18.7012987012987,WPG,0.805,0.897,-0.3353346793647984,0.0012987012987011326
U8,18.8,18.742857142857144,WPG,0.812,0.874,-0.317614513495058,0.05714285714285694
U8,18.9,18.88888888888889,WPG,0.81,0.887,-0.3270172359264448,0.011111111111109295
U8,19.0,19.0,WPG,0.807,0.911,-0.3441290864393082,0.0
U8,19.1,19.133333333333333,WPG,0.809,0.914,-0.3454442880845383,0.03333333333333144
U8,19.2,19.2,WPG,0.8,0.883,-0.3275220910297482,0.0
U8,19.3,19.33333333333333,WPG,0.772,0.877,-0.3329056796400454,0.033333333333327886
U8,19.4,19.40625,WPG,0.757,0.875,-0.336155913301585,0.006250000000001421
U8,19.5,19.52777777777778,WPG,0.816,0.905,-0.3373202389133359,0.027777777777778567
U8,19.6,19.6,WPG,0.779,0.851,-0.3127917227245022,0.0
U8,19.7,19.692307692307693,WPG,0.826,0.873,-0.3122566521308914,0.007692307692305889
U8,19.8,19.753086419753085,WPG,0.819,0.908,-0.3384061896159963,0.04691358024691539
U8,19.9,19.91111111111111,WPG,0.826,0.895,-0.3272452796230924,0.011111111111112848
U8,20.0,20.0,WPG,0.786,0.852,-0.3119039441542069,0.0
U8,20.1,20.09090909090909,WPG,0.828,0.885,-0.3198577126651887,0.009090909090911481
U8,20.2,20.25,WPG,0.813,0.898,-0.3333838593104581,0.05000000000000071
U8,20.3,20.25,WPG,0.813,0.898,-0.3333838593104581,0.05000000000000071
U8,20.4,20.428571428571427,WPG,0.829,0.916,-0.3400783853832296,0.02857142857142847
U8,20.5,20.5,WPG,0.845,0.853,-0.2926092056465353,0.0
U8,20.6,20.58333333333333,WPG,0.832,0.901,-0.3291699077972821,0.016666666666672825
U8,20.7,20.727272727272727,WPG,0.834,0.912,-0.3358309014861806,0.027272727272727337
U8,20.8,20.8,WPG,0.842,0.871,-0.3057494219346983,0.0
U8,20.9,20.88571428571429,WPG,0.889,0.874,-0.2924245764602317,0.014285714285708906
U8,21.0,21.0,WPG,0.838,0.911,-0.3339251609599253,0.0
U8,21.1,21.142857142857142,WPG,0.841,0.907,-0.3302966443468918,0.04285714285714093
U8,21.2,21.25,WPG,0.799,0.889,-0.332258864391168,0.05000000000000071
U8,21.3,21.25,WPG,0.799,0.889,-0.332258864391168,0.05000000000000071
U8,21.4,21.357142857142858,WPG,0.762,0.871,-0.3323421362732734,0.04285714285714093
U8,21.5,21.53333333333333,WPG,0.851,0.883,-0.3109909578568501,0.03333333333333144
U8,21.6,21.60606060606061,WPG,0.807,0.852,-0.3049266430574713,0.006060606060607654
U8,21.7,21.714285714285715,WPG,0.836,0.901,-0.3281050361447465,0.014285714285716011
U8,21.8,21.77777777777778,WPG,0.851,0.908,-0.327877026166204,0.022222222222222143
U8,21.9,21.923076923076923,WPG,0.902,0.889,-0.2976197403772326,0.02307692307692477
U8,22.0,22.0,WPG,0.795,0.829,-0.29329397580139,0.0
U8,22.1,22.10909090909091,WPG,0.863,0.869,-0.2977903879374363,0.009090909090907928
U8,22.2,22.257142857142856,WPG,0.86,0.895,-0.3159081748304094,0.05714285714285694
U8,22.3,22.275,WPG,0.859,0.879,-0.3054950181980498,0.02500000000000213
U8,22.4,22.38888888888889,WPG,0.814,0.877,-0.3190837333448836,0.011111111111109295
U8,22.5,22.5,WPG,0.851,0.894,-0.3185329210843633,0.0
U8,22.6,22.5625,WPG,0.864,0.898,-0.3167077404610797,0.03750000000000142
U8,22.7,22.666666666666668,WPG,0.818,0.878,-0.3180019354552209,0.03333333333333144
U8,22.8,22.77777777777778,WPG,0.867,0.901,-0.3178569072196728,0.022222222222222143
U8,22.9,22.857142857142858,WPG,0.867,0.912,-0.3249097957394167,0.04285714285714093
U8,23.0,23.0,WPG,0.824,0.851,-0.2981569288811415,0.0
U8,23.1,23.142857142857142,WPG,0.923,0.874,-0.2809389082682822,0.04285714285714093
U8,23.2,23.22222222222222,WPG,0.921,0.887,-0.2903517154922759,0.022222222222222143
U8,23.3,23.296296296296298,WPG,0.864,0.881,-0.3049114099881891,0.0037037037037030984
U8,23.4,23.4,WPG,0.876,0.907,-0.3187853173228467,0.0
U8,23.5,23.5,WPG,0.968,0.855,-0.2532949768313486,0.0
U8,23.6,23.59183673469388,WPG,0.829,0.885,-0.3195377315810165,0.008163265306119882
U8,23.7,23.68,WPG,0.873,0.867,-0.2930060243770037,0.019999999999999574
U8,23.8,23.785714285714285,WPG,0.87,0.889,-0.3086753482976974,0.014285714285716011
U8,23.9,23.916666666666668,WPG,0.884,0.905,-0.3147851719591337,0.016666666666669272
U8,24.0,24.0,WPG,0.873,0.902,-0.3165538282187352,0.0
U8,24.1,24.126984126984127,WPG,0.889,0.902,-0.3108250256924534,0.026984126984125112
U8,24.2,24.126984126984127,WPG,0.889,0.902,-0.3108250256924534,0.07301587301587276
U8,24.3,24.369230769230768,WPG,0.941,0.873,-0.2741916655163336,0.06923076923076721
U8,24.4,24.369230769230768,WPG,0.941,0.873,-0.2741916655163336,0.03076923076923066
U8,24.5,24.571428571428573,WPG,0.896,0.895,-0.3037949038415197,0.07142857142857295
U8,24.6,24.571428571428573,WPG,0.896,0.895,-0.3037949038415197,0.02857142857142847
U8,24.7,24.703703703703702,WPG,0.846,0.849,-0.2894465396670204,0.0037037037037030984
U8,24.8,24.8,WPG,0.848,0.851,-0.2901807506044025,0.0
U8,24.9,24.88888888888889,WPG,0.92,0.818,-0.2441473303555445,0.011111111111109295
U8,25.0,25.0,WPG,0.902,0.898,-0.3041330128867133,0.0
U8,25.1,25.107142857142858,WPG,0.891,0.895,-0.3054047709858681,0.007142857142856229
U8,25.2,25.142857142857142,WPG,0.852,0.874,-0.3044125196465854,0.05714285714285694
U8,25.3,25.27777777777778,WPG,0.866,0.813,-0.2590093473655096,0.022222222222222143
U8,25.5,25.5,WPG,0.855,0.89,-0.3138005538294951,0.0
U8,25.6,25.6,WPG,0.859,0.865,-0.2959024195907921,0.0
U8,25.7,25.666666666666668,WPG,0.864,0.842,-0.2790186152259454,0.03333333333333144
U8,25.8,25.8,WPG,0.919,0.871,-0.2805920077494877,0.0
U8,25.9,25.88235294117647,WPG,0.979,0.82,-0.2260572934679273,0.017647058823527573
U8,26.0,26.0,WPG,0.921,0.881,-0.2861997296338845,0.0
U8,26.1,26.133333333333333,WPG,0.935,0.732,-0.1815229438249557,0.03333333333333144
U8,26.2,26.133333333333333,WPG,0.935,0.732,-0.1815229438249557,0.06666666666666643
U8,26.3,26.363636363636363,WPG,0.875,0.801,-0.2476289481791614,0.0636363636363626
U8,26.4,26.363636363636363,WPG,0.875,0.801,-0.2476289481791614,0.036363636363635266
U8,26.5,26.52,WPG,0.931,0.867,-0.2738074820671546,0.019999999999999574
U8,26.6,26.6,WPG,0.929,0.883,-0.2850931339878364,0.0
U8,26.7,26.714285714285715,WPG,0.872,0.881,-0.3021293947747551,0.014285714285716011
U8,26.8,26.78787878787879,WPG,0.922,0.852,-0.2669490154432624,0.012121212121211755
U8,26.9,26.892307692307693,WPG,0.981,0.873,-0.261025229222903,0.007692307692305889
U8,27.0,27.0,WPG,0.881,0.845,-0.2752572962009091,0.0
U8,27.1,27.125,WPG,0.885,0.802,-0.2454026855685942,0.02499999999999858
U8,27.2,27.23809523809524,WPG,0.831,0.843,-0.2904986423572894,0.03809523809524151
U8,27.3,27.272727272727277,WPG,0.985,0.885,-0.2681486745795308,0.027272727272723785
U8,27.4,27.40740740740741,WPG,0.928,0.897,-0.2946350964664603,0.00740740740740975
U8,27.5,27.49090909090909,WPG,0.945,0.87,-0.2706770000923265,0.009090909090911481
U8,27.6,27.5625,WPG,0.944,0.898,-0.2905678832124855,0.03750000000000142
U8,27.8,27.857142857142858,WPG,0.949,0.895,-0.2861456715007682,0.05714285714285694
U8,27.9,27.857142857142858,WPG,0.949,0.895,-0.2861456715007682,0.04285714285714093
U8,28.0,28.0,WPG,0.892,0.862,-0.2832711624953103,0.0
U8,28.1,28.115384615384617,WPG,0.958,0.85,-0.2534261537518659,0.01538461538461533
U8,28.2,28.2,WPG,1.005,0.853,-0.2395341431990088,0.0
U8,28.3,28.33333333333333,WPG,0.895,0.874,-0.2902336914080795,0.033333333333327886
U8,28.4,28.444444444444443,WPG,0.883,0.869,-0.2908965145857965,0.04444444444444429
U8,28.5,28.5,WPG,0.948,0.89,-0.2832405439932404,0.0
U8,28.6,28.6,WPG,0.91,0.809,-0.241865746336641,0.0
U8,28.7,28.703703703703702,WPG,0.9,0.849,-0.2715001550924026,0.0037037037037030984
U8,28.8,28.85185185185185,WPG,0.966,0.881,-0.2714120048702083,0.05185185185185048
U8,28.9,28.85185185185185,WPG,0.966,0.881,-0.2714120048702083,0.048148148148147385
U8,29.0,29.0,WPG,0.889,0.846,-0.273497953281507,0.0
U8,29.1,29.166666666666668,WPG,0.91,0.842,-0.2640433026147841,0.06666666666666643
U8,29.2,29.166666666666668,WPG,0.91,0.842,-0.2640433026147841,0.03333333333333144
U8,29.3,29.285714285714285,WPG,0.972,0.89,-0.2751164255604677,0.014285714285716011
U8,29.4,29.33333333333333,WPG,0.972,0.902,-0.2833751878531891,0.06666666666666998
U8,29.5,29.46938775510204,WPG,0.962,0.886,-0.2758884385519006,0.03061224489795933
U8,29.6,29.571428571428573,WPG,0.86,0.843,-0.2811926716528318,0.02857142857142847
U8,29.7,29.6875,WPG,0.863,0.794,-0.247223491962191,0.01249999999999929
U8,29.8,29.75,WPG,0.984,0.849,-0.2439355680409121,0.05000000000000071
U8,30.0,30.0,WPG,0.918,0.881,-0.2873077779197926,0.0
U8,30.3,30.4,WPG,0.991,0.87,-0.2554539826339531,0.09999999999999787
U8,30.4,30.4,WPG,0.991,0.87,-0.2554539826339531,0.0
U8,30.5,30.545454545454547,WPG,0.933,0.811,-0.235707908544264,0.045454545454546746
U8,30.6,30.6,WPG,0.973,0.851,-0.2488318162841503,0.0
U8,30.7,30.75,WPG,0.996,0.895,-0.2708056912297836,0.05000000000000071
U8,30.8,30.814814814814813,WPG,0.93,0.849,-0.2617261753847164,0.014814814814812394
U8,30.9,30.814814814814813,WPG,0.93,0.849,-0.2617261753847164,0.08518518518518547
U8,31.0,31.0,WPG,0.922,0.853,-0.2673645549865909,0.0
U8,31.1,31.085714285714285,WPG,0.935,0.858,-0.2665962551207996,0.014285714285716011
U8,31.2,31.25,WPG,0.936,0.846,-0.2582154693288525,0.05000000000000071
U8,31.3,31.25,WPG,0.936,0.846,-0.2582154693288525,0.05000000000000071
U8,31.4,31.45,WPG,0.939,0.862,-0.2677433114266649,0.05000000000000071
U8,31.5,31.45,WPG,0.939,0.862,-0.2677433114266649,0.05000000000000071
U8,31.6,31.666666666666668,WPG,0.998,0.89,-0.2668347902407682,0.06666666666666643
U8,31.7,31.714285714285715,WPG,1.003,0.874,-0.2548737798280232,0.014285714285716011
U8,31.8,31.85185185185185,WPG,1.015,0.881,-0.255449231371416,0.05185185185185048
U8,31.9,31.875,WPG,0.947,0.839,-0.2496093504049768,0.02499999999999858
U8,32.0,32.0,WPG,1.019,0.865,-0.2432333482596883,0.0
U8,32.1,32.111111111111114,WPG,0.948,0.869,-0.2695293004856563,0.011111111111112848
U8,32.2,32.25,WPG,1.021,0.89,-0.2591528246286543,0.04999999999999716
U8,32.3,32.25,WPG,1.021,0.89,-0.2591528246286543,0.04999999999999716
U8,32.5,32.5,WPG,0.895,0.794,-0.2367220603634,0.0
U8,32.6,32.57142857142857,WPG,0.882,0.791,-0.2388321732134627,0.028571428571432023
U8,32.7,32.68,WPG,1.028,0.868,-0.2418976051070569,0.020000000000003126
U8,32.8,32.76190476190476,WPG,1.036,0.816,-0.2049257641704893,0.03809523809523796
U8,32.9,32.888888888888886,WPG,0.96,0.842,-0.247637743786735,0.011111111111112848
U8,33.0,33.0,WPG,0.961,0.849,-0.2513923969487844,0.0
U8,33.1,33.1578947368421,WPG,1.107,0.759,-0.14325775519323,0.057894736842101224
U8,33.2,33.1578947368421,WPG,1.107,0.759,-0.14325775519323,0.0421052631579002
U8,33.3,33.291666666666664,WPG,1.089,0.818,-0.189086237004968,0.00833333333333286
U8,33.4,33.476190476190474,WPG,1.031,0.881,-0.2500594143243286,0.07619047619047592
U8,33.5,33.476190476190474,WPG,1.031,0.881,-0.2500594143243286,0.0238095238095255
U8,33.6,33.583333333333336,WPG,0.92,0.803,-0.2347819156532018,0.01666666666666572
U8,33.7,33.785714285714285,WPG,1.046,0.895,-0.2542923151395759,0.08571428571428186
U8,33.8,33.785714285714285,WPG,1.046,0.895,-0.2542923151395759,0.014285714285712459
U8,34.0,34.0,WPG,1.054,0.845,-0.2182672529015515,0.0
U8,34.2,34.22222222222222,WPG,0.919,0.722,-0.180703213763864,0.02222222222221859
U8,34.3,34.34615384615385,WPG,1.1,0.85,-0.2064709793607212,0.04615384615384954
U8,34.4,34.34615384615385,WPG,1.1,0.85,-0.2064709793607212,0.05384615384615188
U8,34.5,34.46153846153846,WPG,1.063,0.815,-0.195109787148989,0.0384615384615401
U8,34.6,34.61538461538461,WPG,1.062,0.803,-0.1878635204254918,0.015384615384611777
U8,34.7,34.75555555555555,WPG,1.11,0.817,-0.1812239120569684,0.05555555555555003
U8,34.8,34.75555555555555,WPG,1.11,0.817,-0.1812239120569684,0.04444444444444429
U8,34.9,34.97142857142857,WPG,0.988,0.858,-0.2490733570936884,0.0714285714285694
U8,35.0,35.0,WPG,0.935,0.83,-0.2479749491452239,0.0
U8,35.1,35.1,WPG,1.057,0.862,-0.2288825893068212,0.0
U8,35.2,35.2,WPG,0.979,0.854,-0.2489374782878084,0.0
U8,35.3,35.285714285714285,WPG,1.059,0.874,-0.2362331705842951,0.014285714285712459
U8,35.4,35.357142857142854,WPG,0.982,0.836,-0.2356527927756476,0.04285714285714448
U8,35.5,35.46666666666667,WPG,1.075,0.865,-0.2249907951919767,0.03333333333333144
U8,35.6,35.65,WPG,0.996,0.799,-0.2063931607771356,0.04999999999999716
U8,35.7,35.714285714285715,WPG,0.932,0.791,-0.2222523277411148,0.014285714285712459
U8,35.8,35.714285714285715,WPG,0.932,0.791,-0.2222523277411148,0.08571428571428186
U8,36.0,36.0,WPG,1.077,0.869,-0.2270013033799265,0.0
U8,36.4,36.41666666666666,WPG,0.894,0.787,-0.2322210629506601,0.016666666666658614
U8,36.5,36.41666666666666,WPG,0.894,0.787,-0.2322210629506601,0.08333333333334281
U8,36.7,36.75,WPG,0.902,0.72,-0.1845670368862511,0.04999999999999716
U8,36.8,36.833333333333336,WPG,1.087,0.842,-0.2056812508956952,0.033333333333338544
U8,36.9,36.833333333333336,WPG,1.087,0.842,-0.2056812508956952,0.06666666666666288
U8,37.0,37.0,WPG,1.019,0.809,-0.2062354135769545,0.0
U8,37.1,37.142857142857146,WPG,1.09,0.881,-0.2306917348846523,0.04285714285714448
U8,37.2,37.142857142857146,WPG,1.09,0.881,-0.2306917348846523,0.05714285714285694
U8,37.5,37.5925925925926,WPG,1.073,0.849,-0.2144324659701923,0.09259259259260233
U8,37.6,37.5925925925926,WPG,1.073,0.849,-0.2144324659701923,0.007407407407399091
U8,37.7,37.8,WPG,1.114,0.845,-0.1985963291626802,0.09999999999999432
U8,37.8,37.8,WPG,1.114,0.845,-0.1985963291626802,0.0
U8,38.0,38.0,WPG,1.136,0.686,-0.0844966525901174,0.0
U8,38.2,38.266666666666666,WPG,1.139,0.755,-0.1301374534685676,0.06666666666666288
U8,38.3,38.266666666666666,WPG,1.139,0.755,-0.1301374534685676,0.03333333333333144
U8,38.4,38.4,WPG,1.034,0.799,-0.1941076240789279,0.0
