iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
4 , 10.29810298102981 , 0.5 , 0.5 , 27 , 73 , 41 , 141 , 3 , 9.206 , 9.206 , 13.319 , 13.319 , 0.725 , 0.954 , 23.733 , -0.3808186490403861 , 32.735 , 0.103 , 82.02477789077673
5 , 10.4 , 0.5 , 0.5 , 24 , 72 , 45 , 141 , 3 , 10.816 , 10.816 , 13.192 , 13.192 , 0.731 , 0.953 , 23.967 , -0.39731234454972353 , 32.787 , 0.103 , 83.50807209469434
4 , 10.5 , 0.5 , 0.5 , 24 , 60 , 30 , 114 , 3 , 10.902 , 10.902 , 18.257 , 18.257 , 0.66 , 0.944 , 24.198 , -0.4151643311277651 , 36.664 , 0.081 , 87.65899724044097
6 , 10.595238095238095 , 0.5 , 0.5 , 27 , 62 , 28 , 117 , 3 , 9.27 , 9.27 , 18.416 , 18.416 , 0.663 , 0.945 , 24.417 , -0.36712239637174027 , 36.828 , 0.081 , 86.1860026943736
4 , 10.703448275862069 , 0.5 , 0.5 , 30 , 67 , 29 , 126 , 3 , 8.015 , 8.015 , 17.144 , 17.144 , 0.714 , 0.948 , 24.667 , -0.365243933059542 , 34.548 , 0.103 , 84.65922833942444
6 , 10.799999999999999 , 0.6 , 0.6 , 18 , 63 , 45 , 126 , 3 , 11.206 , 11.206 , 10.641 , 10.641 , 0.735 , 0.945 , 24.889 , -0.39052569055551245 , 33.863 , 0.103 , 81.3467734055696
6 , 10.904255319148936 , 0.5 , 0.5 , 24 , 76 , 47 , 147 , 3 , 10.793 , 10.793 , 13.239 , 13.239 , 0.748 , 0.953 , 25.13 , -0.3495386070768098 , 33.596 , 0.103 , 83.53229693539288
1 , 11.0 , 0.5 , 0.5 , 21 , 56 , 28 , 105 , 3 , 13.136 , 13.136 , 21.269 , 21.269 , 0.628 , 0.939 , 25.35 , -0.4221978454846127 , 40.366 , 0.05 , 90.90446585825512
5 , 11.099099099099098 , 0.6 , 0.6 , 18 , 59 , 37 , 114 , 3 , 11.24 , 11.24 , 12.642 , 12.642 , 0.722 , 0.941 , 25.579 , -0.38330368983364105 , 35.428 , 0.103 , 83.38175215176483
7 , 11.2 , 0.6 , 0.6 , 18 , 54 , 30 , 102 , 3 , 11.288 , 11.288 , 15.125 , 15.125 , 0.666 , 0.937 , 25.811 , -0.40786323392833634 , 38.755 , 0.081 , 84.91365539028061
5 , 11.302083333333334 , 0.5 , 0.5 , 24 , 69 , 36 , 129 , 3 , 10.835 , 10.835 , 16.628 , 16.628 , 0.732 , 0.949 , 26.046 , -0.37316961708402496 , 35.582 , 0.103 , 86.9633032360519
8 , 11.410714285714285 , 0.6 , 0.6 , 18 , 53 , 28 , 99 , 3 , 11.299 , 11.299 , 16.253 , 16.253 , 0.665 , 0.935 , 26.297 , -0.2996925960823579 , 39.544 , 0.081 , 86.05241512241557
7 , 11.5 , 0.5 , 0.5 , 24 , 68 , 34 , 126 , 3 , 10.842 , 10.842 , 17.626 , 17.626 , 0.732 , 0.947 , 26.502 , -0.3931871247375384 , 36.205 , 0.103 , 87.96784071341207
5 , 11.614617940199336 , 0.5 , 0.5 , 21 , 71 , 43 , 135 , 3 , 12.997 , 12.997 , 15.683 , 15.683 , 0.75 , 0.948 , 26.767 , -0.24182803509823247 , 35.689 , 0.103 , 88.1799120088836
8 , 11.700980392156863 , 0.6 , 0.6 , 18 , 59 , 34 , 111 , 3 , 11.24 , 11.24 , 14.077 , 14.077 , 0.728 , 0.939 , 26.966 , -0.37941577310558317 , 37.041 , 0.103 , 84.8172502792548
2 , 11.801242236024844 , 0.5 , 0.5 , 21 , 74 , 46 , 141 , 3 , 12.975 , 12.975 , 15.092 , 15.092 , 0.761 , 0.949 , 27.197 , -0.37243588074518846 , 35.739 , 0.103 , 87.5675697856588
4 , 11.902597402597403 , 0.5 , 0.5 , 21 , 73 , 44 , 138 , 3 , 12.982 , 12.982 , 15.694 , 15.694 , 0.759 , 0.949 , 27.43 , -0.3591735025653275 , 36.14 , 0.103 , 88.17584432870476
7 , 12.0 , 0.5 , 0.5 , 24 , 66 , 30 , 120 , 3 , 10.855 , 10.855 , 20.132 , 20.132 , 0.692 , 0.944 , 27.655 , -0.40430641768043696 , 39.964 , 0.081 , 89.48755238888819
4 , 12.098412698412698 , 0.5 , 0.5 , 27 , 76 , 35 , 138 , 3 , 9.192 , 9.192 , 16.927 , 16.927 , 0.794 , 0.951 , 27.882 , -0.35882112069192873 , 35.116 , 0.128 , 85.6182206730025
5 , 12.19047619047619 , 0.5 , 0.5 , 21 , 75 , 45 , 141 , 3 , 12.968 , 12.968 , 15.705 , 15.705 , 0.769 , 0.949 , 28.094 , -0.28698186045397095 , 36.533 , 0.103 , 88.17285396014321
6 , 12.308970099667775 , 0.5 , 0.5 , 21 , 74 , 43 , 138 , 3 , 12.975 , 12.975 , 16.359 , 16.359 , 0.766 , 0.948 , 28.367 , -0.29270406937723104 , 37.033 , 0.103 , 88.83433571994303
2 , 12.4 , 0.5 , 0.5 , 21 , 63 , 30 , 114 , 3 , 13.064 , 13.064 , 21.909 , 21.909 , 0.695 , 0.941 , 28.577 , -0.4009164109801968 , 41.118 , 0.081 , 93.47298906239313
5 , 12.5 , 0.5 , 0.5 , 21 , 69 , 36 , 126 , 3 , 13.012 , 13.012 , 18.985 , 18.985 , 0.712 , 0.945 , 28.807 , -0.39821716133715923 , 40.459 , 0.081 , 90.49748941151435
5 , 12.597402597402597 , 0.5 , 0.5 , 21 , 76 , 44 , 141 , 3 , 12.961 , 12.961 , 16.351 , 16.351 , 0.776 , 0.949 , 29.032 , -0.35349019307978014 , 37.412 , 0.103 , 88.81288729263224
1 , 12.704081632653061 , 0.5 , 0.5 , 21 , 62 , 28 , 111 , 3 , 13.073 , 13.073 , 23.617 , 23.617 , 0.697 , 0.939 , 29.277 , -0.3582610744493103 , 42.004 , 0.081 , 95.19027980028449
4 , 12.7875 , 0.5 , 0.5 , 24 , 69 , 30 , 123 , 3 , 10.835 , 10.835 , 21.071 , 21.071 , 0.751 , 0.944 , 29.47 , -0.2597262169368675 , 39.241 , 0.103 , 91.40563430131594
4 , 12.892857142857142 , 0.5 , 0.5 , 21 , 74 , 40 , 135 , 3 , 12.975 , 12.975 , 17.87 , 17.87 , 0.773 , 0.947 , 29.712 , -0.30797631701619 , 38.437 , 0.103 , 90.34494607707602
4 , 13.0 , 0.6 , 0.6 , 18 , 60 , 30 , 108 , 3 , 11.231 , 11.231 , 16.859 , 16.859 , 0.744 , 0.936 , 29.959 , -0.38157618139151817 , 40.267 , 0.103 , 87.58959485061368
5 , 13.090909090909088 , 0.6 , 0.6 , 18 , 63 , 33 , 114 , 3 , 11.206 , 11.206 , 15.65 , 15.65 , 0.755 , 0.938 , 30.169 , -0.28868613420734524 , 39.959 , 0.103 , 86.35543620024686
6 , 13.214285714285714 , 0.5 , 0.5 , 24 , 76 , 35 , 135 , 3 , 10.793 , 10.793 , 19.026 , 19.026 , 0.774 , 0.948 , 30.453 , -0.2367319664281286 , 39.345 , 0.103 , 89.3193215951776
6 , 13.291666666666666 , 0.6 , 0.6 , 18 , 59 , 28 , 105 , 3 , 11.24 , 11.24 , 18.155 , 18.155 , 0.745 , 0.934 , 30.631 , -0.296900154142593 , 41.115 , 0.103 , 88.89443878645305
9 , 13.426470588235295 , 0.6 , 0.6 , 18 , 65 , 34 , 117 , 3 , 11.19 , 11.19 , 15.549 , 15.549 , 0.765 , 0.939 , 30.942 , -0.11189583111824125 , 40.447 , 0.103 , 86.23886075463649
4 , 13.5 , 0.5 , 0.5 , 24 , 75 , 33 , 132 , 3 , 10.799 , 10.799 , 20.252 , 20.252 , 0.775 , 0.946 , 31.112 , -0.37828213553024514 , 40.145 , 0.103 , 90.55061561193787
2 , 13.6 , 0.5 , 0.5 , 24 , 72 , 30 , 126 , 3 , 10.816 , 10.816 , 22.01 , 22.01 , 0.769 , 0.944 , 31.342 , -0.3786529413515643 , 40.757 , 0.103 , 92.32591301618446
4 , 13.666666666666666 , 0.6 , 0.6 , 18 , 64 , 32 , 114 , 3 , 11.198 , 11.198 , 16.554 , 16.554 , 0.764 , 0.938 , 31.496 , -0.04258258365437745 , 41.225 , 0.103 , 87.25162756630073
4 , 13.812244897959184 , 0.5 , 0.5 , 21 , 73 , 35 , 129 , 3 , 12.982 , 12.982 , 20.848 , 20.848 , 0.781 , 0.944 , 31.831 , -0.25242638976884074 , 40.757 , 0.103 , 93.33036233402666
2 , 13.87192118226601 , 0.5 , 0.5 , 21 , 67 , 29 , 117 , 3 , 13.029 , 13.029 , 24.41 , 24.41 , 0.724 , 0.94 , 31.969 , -0.1097286766045919 , 44.156 , 0.081 , 95.9389664817808
6 , 14.000000000000002 , 0.6 , 0.6 , 18 , 66 , 33 , 117 , 3 , 11.182 , 11.182 , 16.415 , 16.415 , 0.815 , 0.938 , 32.264 , -0.35970979302824735 , 39.588 , 0.128 , 87.09783318778769
5 , 14.095238095238095 , 0.5 , 0.5 , 21 , 75 , 36 , 132 , 3 , 12.968 , 12.968 , 20.675 , 20.675 , 0.79 , 0.945 , 32.483 , -0.32454344158430687 , 41.118 , 0.103 , 93.14363086990019
3 , 14.21551724137931 , 0.5 , 0.5 , 24 , 73 , 29 , 126 , 3 , 10.81 , 10.81 , 23.35 , 23.35 , 0.78 , 0.943 , 32.761 , -0.2191600429340949 , 42.001 , 0.103 , 93.6597826081221
